N1|N2|QID|Time|Degree|Overtime|Heu
9|12|321|2,896,147|6|0|0
9|12|321|2,855,950|6|0|0
9|12|321|2,820,546|6|0|0
9|12|321|2,785,230|6|0|0
9|12|321|2,749,961|6|0|0
9|12|321|2,714,744|6|0|0
9|12|321|2,679,488|6|0|0
9|12|321|2,644,294|6|0|0
9|12|321|2,609,085|6|0|0
9|12|321|2,573,870|6|0|0
9|12|321|2,538,628|6|0|0
9|12|321|2,503,380|6|0|0
9|12|321|2,467,739|6|0|0
9|12|321|2,432,456|6|0|0
9|12|321|2,397,248|6|0|0
9|12|321|2,362,010|6|0|0
9|12|321|2,325,677|6|0|0
9|12|321|2,290,012|6|0|0
9|12|321|2,254,783|6|0|0
9|12|321|2,219,585|6|0|0
9|12|321|2,184,118|6|0|0
9|12|321|2,148,874|6|0|0
9|12|321|2,113,713|6|0|0
9|12|321|2,078,541|6|0|0
9|12|321|2,043,259|6|0|0
9|12|321|2,008,069|6|0|0
9|12|321|1,972,805|6|0|0
9|12|321|1,937,579|6|0|0
9|12|321|1,902,398|6|0|0
9|12|321|1,867,138|6|0|0
9|12|321|1,831,887|6|0|0
9|12|321|1,796,672|6|0|0
9|12|321|1,761,437|6|0|0
9|12|321|1,724,372|6|0|0
9|12|321|1,688,766|6|0|0
9|12|321|1,653,482|6|0|0
9|12|321|1,618,233|6|0|0
9|12|321|1,583,014|6|0|0
9|12|321|1,547,526|6|0|0
9|12|321|1,509,319|6|0|0
9|12|321|1,474,066|6|0|0
9|12|321|1,438,836|6|0|0
9|12|321|1,403,564|6|0|0
9|12|321|1,368,360|6|0|0
9|12|321|1,333,103|6|0|0
9|12|321|1,297,875|6|0|0
9|12|321|1,262,540|6|0|0
9|12|321|1,227,209|6|0|0
9|12|321|1,191,763|6|0|0
9|12|321|1,156,166|6|0|0
9|12|321|1,120,935|6|0|0
9|12|321|1,085,653|6|0|0
9|12|321|1,050,123|6|0|0
9|12|321|1,014,707|6|0|0
9|12|321|979,477|6|0|0
9|12|321|944,102|6|0|0
9|12|321|908,693|6|0|0
9|12|321|873,227|6|0|0
9|12|321|837,770|6|0|0
9|12|321|802,421|6|0|0
9|12|321|767,142|6|0|0
9|12|321|731,749|6|0|0
9|12|321|696,456|6|0|0
9|12|321|661,044|6|0|0
9|12|321|625,646|6|0|0
9|12|321|590,446|6|0|0
9|12|321|555,180|6|0|0
9|12|321|519,642|6|0|0
9|12|321|482,698|6|0|0
9|12|321|447,316|6|0|0
9|12|321|411,898|6|0|0
9|12|321|376,566|6|0|0
9|12|321|341,362|6|0|0
9|12|321|306,130|6|0|0
9|12|321|270,947|6|0|0
9|12|321|235,687|6|0|0
9|12|321|200,477|6|0|0
9|12|321|165,107|6|0|0
9|12|321|129,871|6|0|0
9|12|321|94,660|6|0|0
9|12|321|765,808|6|0|0
9|12|321|730,423|6|0|0
9|12|321|695,180|6|0|0
9|12|321|658,039|6|0|0
9|12|321|622,564|6|0|0
9|12|321|587,339|6|0|0
9|12|321|551,962|6|0|0
9|12|321|516,675|6|0|0
9|12|321|481,230|6|0|0
9|12|321|446,001|6|0|0
9|12|321|410,657|6|0|0
9|12|321|375,378|6|0|0
9|12|321|340,096|6|0|0
9|12|321|304,812|6|0|0
9|12|321|269,543|6|0|0
9|12|321|234,308|6|0|0
9|12|321|198,856|6|0|0
9|12|321|163,655|6|0|0
9|12|321|126,577|6|0|0
9|12|321|91,255|6|0|0
