N1|N2|QID|Time|Degree|Overtime|Heu|TotalTime
9|12|321|2,146,205|6|0|0|0
9|12|321|2,107,179|6|0|0|0
9|12|321|2,072,462|6|0|0|0
9|12|321|2,037,807|6|0|0|0
9|12|321|2,003,197|6|0|0|0
9|12|321|1,968,536|6|0|0|0
9|12|321|1,933,908|6|0|0|0
9|12|321|1,899,272|6|0|0|0
9|12|321|1,864,644|6|0|0|0
9|12|321|1,830,007|6|0|0|0
9|12|321|1,793,518|6|0|0|0
9|12|321|1,758,724|6|0|0|0
9|12|321|1,724,012|6|0|0|0
9|12|321|1,689,340|6|0|0|0
9|12|321|1,654,676|6|0|0|0
9|12|321|1,620,063|6|0|0|0
9|12|321|1,585,437|6|0|0|0
9|12|321|1,550,791|6|0|0|0
9|12|321|1,516,114|6|0|0|0
9|12|321|1,481,450|6|0|0|0
9|12|321|1,446,810|6|0|0|0
9|12|321|1,412,201|6|0|0|0
9|12|321|1,377,518|6|0|0|0
9|12|321|1,342,854|6|0|0|0
9|12|321|1,308,236|6|0|0|0
9|12|321|1,273,559|6|0|0|0
9|12|321|1,238,899|6|0|0|0
9|12|321|1,204,299|6|0|0|0
9|12|321|1,169,690|6|0|0|0
9|12|321|1,134,391|6|0|0|0
9|12|321|1,099,516|6|0|0|0
9|12|321|1,064,905|6|0|0|0
9|12|321|1,030,238|6|0|0|0
9|12|321|995,635|6|0|0|0
9|12|321|960,930|6|0|0|0
9|12|321|926,311|6|0|0|0
9|12|321|891,670|6|0|0|0
9|12|321|857,024|6|0|0|0
9|12|321|821,475|6|0|0|0
9|12|321|785,933|6|0|0|0
9|12|321|751,298|6|0|0|0
9|12|321|716,637|6|0|0|0
9|12|321|682,029|6|0|0|0
9|12|321|647,333|6|0|0|0
9|12|321|612,723|6|0|0|0
9|12|321|578,049|6|0|0|0
9|12|321|543,399|6|0|0|0
9|12|321|508,806|6|0|0|0
9|12|321|474,180|6|0|0|0
9|12|321|439,532|6|0|0|0
9|12|321|404,846|6|0|0|0
9|12|321|370,145|6|0|0|0
9|12|321|335,453|6|0|0|0
9|12|321|300,790|6|0|0|0
9|12|321|266,135|6|0|0|0
9|12|321|231,469|6|0|0|0
9|12|321|196,846|6|0|0|0
9|12|321|162,204|6|0|0|0
9|12|321|127,499|6|0|0|0
9|12|321|92,880|6|0|0|0
9|12|321|1,449,966|6|0|0|0
9|12|321|1,412,692|6|0|0|0
9|12|321|1,377,414|6|0|0|0
9|12|321|1,342,732|6|0|0|0
9|12|321|1,308,125|6|0|0|0
9|12|321|1,273,457|6|0|0|0
9|12|321|1,238,799|6|0|0|0
9|12|321|1,204,122|6|0|0|0
9|12|321|1,169,430|6|0|0|0
9|12|321|1,134,810|6|0|0|0
9|12|321|1,100,114|6|0|0|0
9|12|321|1,065,511|6|0|0|0
9|12|321|1,030,856|6|0|0|0
9|12|321|996,202|6|0|0|0
9|12|321|961,593|6|0|0|0
9|12|321|926,831|6|0|0|0
9|12|321|891,689|6|0|0|0
9|12|321|855,407|6|0|0|0
9|12|321|820,559|6|0|0|0
9|12|321|785,891|6|0|0|0
9|12|321|751,152|6|0|0|0
9|12|321|716,342|6|0|0|0
9|12|321|681,678|6|0|0|0
9|12|321|647,030|6|0|0|0
9|12|321|612,231|6|0|0|0
9|12|321|577,568|6|0|0|0
9|12|321|542,952|6|0|0|0
9|12|321|508,287|6|0|0|0
9|12|321|473,618|6|0|0|0
9|12|321|438,933|6|0|0|0
9|12|321|404,195|6|0|0|0
9|12|321|369,423|6|0|0|0
9|12|321|334,710|6|0|0|0
9|12|321|300,047|6|0|0|0
9|12|321|265,187|6|0|0|0
9|12|321|230,495|6|0|0|0
9|12|321|195,800|6|0|0|0
9|12|321|161,133|6|0|0|0
9|12|321|126,490|6|0|0|0
9|12|321|91,754|6|0|0|0
-1|-1|-1|-1|-1|-1|-1|3,614,067
