N1|N2|QID|Time|Degree|Overtime|Heu
9|12|79920|1,111|11|0|1
9|12|79920|485|11|0|1
9|12|79920|476|11|0|1
9|12|79920|451|11|0|1
9|12|79920|452|11|0|1
9|12|79920|436|11|0|1
9|12|79920|456|11|0|1
9|12|79920|442|11|0|1
9|12|79920|452|11|0|1
9|12|79920|446|11|0|1
9|12|79920|453|11|0|1
9|12|79920|437|11|0|1
9|12|79920|541|11|0|1
9|12|79920|462|11|0|1
9|12|79920|457|11|0|1
9|12|79920|448|11|0|1
9|12|79920|450|11|0|1
9|12|79920|435|11|0|1
9|12|79920|439|11|0|1
9|12|79920|432|11|0|1
9|12|79920|447|11|0|1
9|12|79920|437|11|0|1
9|12|79920|441|11|0|1
9|12|79920|438|11|0|1
9|12|79920|437|11|0|1
9|12|79920|441|11|0|1
9|12|79920|438|11|0|1
9|12|79920|439|11|0|1
9|12|79920|431|11|0|1
9|12|79920|445|11|0|1
9|12|79920|442|11|0|1
9|12|79920|452|11|0|1
9|12|79920|445|11|0|1
9|12|79920|454|11|0|1
9|12|79920|444|11|0|1
9|12|79920|505|11|0|1
9|12|79920|458|11|0|1
9|12|79920|461|11|0|1
9|12|79920|445|11|0|1
9|12|79920|448|11|0|1
9|12|79920|438|11|0|1
9|12|79920|442|11|0|1
9|12|79920|443|11|0|1
9|12|79920|445|11|0|1
9|12|79920|439|11|0|1
9|12|79920|433|11|0|1
9|12|79920|450|11|0|1
9|12|79920|438|11|0|1
9|12|79920|445|11|0|1
9|12|79920|435|11|0|1
9|12|79920|444|11|0|1
9|12|79920|433|11|0|1
9|12|79920|444|11|0|1
9|12|79920|437|11|0|1
9|12|79920|445|11|0|1
9|12|79920|442|11|0|1
9|12|79920|449|11|0|1
9|12|79920|436|11|0|1
9|12|79920|508|11|0|1
9|12|79920|453|11|0|1
9|12|79920|450|11|0|1
9|12|79920|438|11|0|1
9|12|79920|443|11|0|1
9|12|79920|432|11|0|1
9|12|79920|439|11|0|1
9|12|79920|439|11|0|1
9|12|79920|437|11|0|1
9|12|79920|445|11|0|1
9|12|79920|431|11|0|1
9|12|79920|441|11|0|1
9|12|79920|445|11|0|1
9|12|79920|441|11|0|1
9|12|79920|433|11|0|1
9|12|79920|442|11|0|1
9|12|79920|439|11|0|1
9|12|79920|443|11|0|1
9|12|79920|435|11|0|1
9|12|79920|440|11|0|1
9|12|79920|432|11|0|1
9|12|79920|433|11|0|1
9|12|79920|433|11|0|1
9|12|79920|432|11|0|1
9|12|79920|515|11|0|1
9|12|79920|437|11|0|1
9|12|79920|447|11|0|1
9|12|79920|437|11|0|1
9|12|79920|443|11|0|1
9|12|79920|447|11|0|1
9|12|79920|448|11|0|1
9|12|79920|440|11|0|1
9|12|79920|450|11|0|1
9|12|79920|444|11|0|1
9|12|79920|827|11|0|1
9|12|79920|579|11|0|1
9|12|79920|438|11|0|1
9|12|79920|447|11|0|1
9|12|79920|439|11|0|1
9|12|79920|442|11|0|1
9|12|79920|439|11|0|1
9|12|79920|446|11|0|1
