N1|N2|QID|Time|Degree|Overtime|Heu
9|12|1127|3,713,059|9|0|0
9|12|1127|3,710,886|9|0|0
9|12|1127|3,709,109|9|0|0
9|12|1127|3,707,343|9|0|0
9|12|1127|3,705,593|9|0|0
9|12|1127|3,703,822|9|0|0
9|12|1127|3,702,065|9|0|0
9|12|1127|3,700,302|9|0|0
9|12|1127|3,698,551|9|0|0
9|12|1127|3,696,796|9|0|0
9|12|1127|3,695,034|9|0|0
9|12|1127|3,693,268|9|0|0
9|12|1127|3,691,518|9|0|0
9|12|1127|3,689,772|9|0|0
9|12|1127|3,688,020|9|0|0
9|12|1127|3,686,274|9|0|0
9|12|1127|3,684,674|9|0|0
9|12|1127|3,682,956|9|0|0
9|12|1127|3,681,217|9|0|0
9|12|1127|3,679,478|9|0|0
