N1|N2|QID|Time|Degree|Overtime|Heu|TotalTime
9|12|1127|3,975,263|9|0|0|0
9|12|1127|3,974,405|9|0|0|0
9|12|1127|3,972,554|9|0|0|0
9|12|1127|3,970,751|9|0|0|0
9|12|1127|3,968,943|9|0|0|0
9|12|1127|3,967,169|9|0|0|0
9|12|1127|3,965,377|9|0|0|0
9|12|1127|3,963,587|9|0|0|0
9|12|1127|3,961,792|9|0|0|0
9|12|1127|3,960,014|9|0|0|0
9|12|1127|3,958,246|9|0|0|0
9|12|1127|3,956,454|9|0|0|0
9|12|1127|3,954,670|9|0|0|0
9|12|1127|3,952,890|9|0|0|0
9|12|1127|3,951,098|9|0|0|0
9|12|1127|3,949,311|9|0|0|0
9|12|1127|3,947,522|9|0|0|0
9|12|1127|3,945,744|9|0|0|0
9|12|1127|3,943,956|9|0|0|0
9|12|1127|3,942,176|9|0|0|0
9|12|1127|3,940,385|9|0|0|0
9|12|1127|3,938,599|9|0|0|0
9|12|1127|3,936,837|9|0|0|0
9|12|1127|3,935,050|9|0|0|0
9|12|1127|3,933,264|9|0|0|0
9|12|1127|3,931,488|9|0|0|0
9|12|1127|3,929,700|9|0|0|0
9|12|1127|3,927,907|9|0|0|0
9|12|1127|3,926,126|9|0|0|0
9|12|1127|3,924,338|9|0|0|0
9|12|1127|3,922,563|9|0|0|0
9|12|1127|3,920,771|9|0|0|0
9|12|1127|3,918,986|9|0|0|0
9|12|1127|3,917,208|9|0|0|0
9|12|1127|3,915,422|9|0|0|0
9|12|1127|3,913,659|9|0|0|0
9|12|1127|3,911,884|9|0|0|0
9|12|1127|3,910,088|9|0|0|0
9|12|1127|3,908,299|9|0|0|0
9|12|1127|3,906,513|9|0|0|0
9|12|1127|3,904,733|9|0|0|0
9|12|1127|3,902,946|9|0|0|0
9|12|1127|3,901,165|9|0|0|0
9|12|1127|3,899,384|9|0|0|0
9|12|1127|3,897,597|9|0|0|0
9|12|1127|3,895,804|9|0|0|0
9|12|1127|3,894,017|9|0|0|0
9|12|1127|3,892,226|9|0|0|0
9|12|1127|3,890,425|9|0|0|0
9|12|1127|3,888,629|9|0|0|0
9|12|1127|3,886,825|9|0|0|0
9|12|1127|3,885,026|9|0|0|0
9|12|1127|3,883,231|9|0|0|0
9|12|1127|3,881,435|9|0|0|0
9|12|1127|3,879,651|9|0|0|0
9|12|1127|3,877,853|9|0|0|0
9|12|1127|3,876,054|9|0|0|0
9|12|1127|3,874,252|9|0|0|0
9|12|1127|3,872,472|9|0|0|0
9|12|1127|3,870,694|9|0|0|0
9|12|1127|3,868,914|9|0|0|0
9|12|1127|3,867,146|9|0|0|0
9|12|1127|3,865,363|9|0|0|0
9|12|1127|3,863,580|9|0|0|0
9|12|1127|3,861,798|9|0|0|0
9|12|1127|3,860,015|9|0|0|0
9|12|1127|3,858,233|9|0|0|0
9|12|1127|3,856,444|9|0|0|0
9|12|1127|3,854,652|9|0|0|0
9|12|1127|3,852,863|9|0|0|0
9|12|1127|3,837,219|9|0|0|0
9|12|1127|3,837,355|9|0|0|0
9|12|1127|3,835,543|9|0|0|0
9|12|1127|3,833,740|9|0|0|0
9|12|1127|3,831,937|9|0|0|0
9|12|1127|3,830,137|9|0|0|0
9|12|1127|3,828,334|9|0|0|0
9|12|1127|3,826,561|9|0|0|0
9|12|1127|3,824,746|9|0|0|0
9|12|1127|3,822,942|9|0|0|0
9|12|1127|3,821,142|9|0|0|0
9|12|1127|3,819,343|9|0|0|0
9|12|1127|3,817,547|9|0|0|0
9|12|1127|3,815,751|9|0|0|0
9|12|1127|3,813,950|9|0|0|0
9|12|1127|3,812,131|9|0|0|0
9|12|1127|3,810,333|9|0|0|0
9|12|1127|3,808,537|9|0|0|0
9|12|1127|3,806,736|9|0|0|0
9|12|1127|3,804,944|9|0|0|0
9|12|1127|3,803,156|9|0|0|0
9|12|1127|3,801,362|9|0|0|0
9|12|1127|3,799,559|9|0|0|0
9|12|1127|3,797,755|9|0|0|0
9|12|1127|3,795,888|9|0|0|0
9|12|1127|3,794,076|9|0|0|0
9|12|1127|3,792,285|9|0|0|0
9|12|1127|3,790,501|9|0|0|0
9|12|1127|3,788,703|9|0|0|0
9|12|1127|3,786,907|9|0|0|0
-1|-1|-1|-1|-1|-1|-1|7,833,731
