N1|N2|QID|Time|Degree|Overtime|Heu|TotalTime
9|12|6876|179,158|8|0|0|0
9|12|6876|177,501|8|0|0|0
9|12|6876|176,112|8|0|0|0
9|12|6876|174,767|8|0|0|0
9|12|6876|173,425|8|0|0|0
9|12|6876|172,094|8|0|0|0
9|12|6876|170,757|8|0|0|0
9|12|6876|169,431|8|0|0|0
9|12|6876|168,107|8|0|0|0
9|12|6876|166,785|8|0|0|0
9|12|6876|165,456|8|0|0|0
9|12|6876|164,133|8|0|0|0
9|12|6876|162,823|8|0|0|0
9|12|6876|161,509|8|0|0|0
9|12|6876|160,196|8|0|0|0
9|12|6876|158,877|8|0|0|0
9|12|6876|157,557|8|0|0|0
9|12|6876|156,233|8|0|0|0
9|12|6876|154,913|8|0|0|0
9|12|6876|153,593|8|0|0|0
9|12|6876|152,271|8|0|0|0
9|12|6876|150,951|8|0|0|0
9|12|6876|149,629|8|0|0|0
9|12|6876|148,305|8|0|0|0
9|12|6876|146,985|8|0|0|0
9|12|6876|145,667|8|0|0|0
9|12|6876|144,345|8|0|0|0
9|12|6876|143,024|8|0|0|0
9|12|6876|141,704|8|0|0|0
9|12|6876|140,386|8|0|0|0
9|12|6876|139,067|8|0|0|0
9|12|6876|137,747|8|0|0|0
9|12|6876|136,430|8|0|0|0
9|12|6876|135,119|8|0|0|0
9|12|6876|133,801|8|0|0|0
9|12|6876|132,481|8|0|0|0
9|12|6876|131,156|8|0|0|0
9|12|6876|129,835|8|0|0|0
9|12|6876|128,505|8|0|0|0
9|12|6876|127,152|8|0|0|0
9|12|6876|178,829|8|0|0|0
9|12|6876|177,457|8|0|0|0
9|12|6876|176,106|8|0|0|0
9|12|6876|174,754|8|0|0|0
9|12|6876|173,408|8|0|0|0
9|12|6876|172,069|8|0|0|0
9|12|6876|170,729|8|0|0|0
9|12|6876|169,399|8|0|0|0
9|12|6876|168,064|8|0|0|0
9|12|6876|166,726|8|0|0|0
9|12|6876|165,392|8|0|0|0
9|12|6876|164,061|8|0|0|0
9|12|6876|162,741|8|0|0|0
9|12|6876|161,412|8|0|0|0
9|12|6876|160,082|8|0|0|0
9|12|6876|158,757|8|0|0|0
9|12|6876|157,430|8|0|0|0
9|12|6876|156,091|8|0|0|0
9|12|6876|154,762|8|0|0|0
9|12|6876|153,435|8|0|0|0
9|12|6876|152,102|8|0|0|0
9|12|6876|150,767|8|0|0|0
9|12|6876|149,412|8|0|0|0
9|12|6876|148,086|8|0|0|0
9|12|6876|146,752|8|0|0|0
9|12|6876|145,419|8|0|0|0
9|12|6876|144,086|8|0|0|0
9|12|6876|142,752|8|0|0|0
9|12|6876|141,423|8|0|0|0
9|12|6876|140,089|8|0|0|0
9|12|6876|138,761|8|0|0|0
9|12|6876|137,434|8|0|0|0
9|12|6876|136,104|8|0|0|0
9|12|6876|134,769|8|0|0|0
9|12|6876|133,437|8|0|0|0
9|12|6876|132,107|8|0|0|0
9|12|6876|130,776|8|0|0|0
9|12|6876|129,443|8|0|0|0
9|12|6876|128,117|8|0|0|0
9|12|6876|126,787|8|0|0|0
9|12|6876|149,549|8|0|0|0
9|12|6876|148,192|8|0|0|0
9|12|6876|146,840|8|0|0|0
9|12|6876|145,491|8|0|0|0
9|12|6876|144,143|8|0|0|0
9|12|6876|142,792|8|0|0|0
9|12|6876|141,458|8|0|0|0
9|12|6876|140,119|8|0|0|0
9|12|6876|138,784|8|0|0|0
9|12|6876|137,452|8|0|0|0
9|12|6876|136,122|8|0|0|0
9|12|6876|134,789|8|0|0|0
9|12|6876|133,451|8|0|0|0
9|12|6876|132,122|8|0|0|0
9|12|6876|130,791|8|0|0|0
9|12|6876|129,460|8|0|0|0
9|12|6876|128,046|8|0|0|0
9|12|6876|126,717|8|0|0|0
9|12|6876|125,390|8|0|0|0
9|12|6876|124,066|8|0|0|0
-1|-1|-1|-1|-1|-1|-1|547,663
