N1|N2|QID|Time|Degree|Overtime|Heu
9|12|6876|265,909|8|0|0
9|12|6876|263,661|8|0|0
9|12|6876|262,112|8|0|0
9|12|6876|260,577|8|0|0
9|12|6876|259,057|8|0|0
9|12|6876|257,542|8|0|0
9|12|6876|256,018|8|0|0
9|12|6876|254,504|8|0|0
9|12|6876|253,004|8|0|0
9|12|6876|251,581|8|0|0
9|12|6876|250,087|8|0|0
9|12|6876|248,577|8|0|0
9|12|6876|247,069|8|0|0
9|12|6876|245,575|8|0|0
9|12|6876|244,078|8|0|0
9|12|6876|242,579|8|0|0
9|12|6876|241,073|8|0|0
9|12|6876|239,569|8|0|0
9|12|6876|238,062|8|0|0
9|12|6876|236,559|8|0|0
9|12|6876|235,064|8|0|0
9|12|6876|233,565|8|0|0
9|12|6876|232,066|8|0|0
9|12|6876|230,566|8|0|0
9|12|6876|229,074|8|0|0
9|12|6876|227,573|8|0|0
9|12|6876|226,074|8|0|0
9|12|6876|224,570|8|0|0
9|12|6876|223,068|8|0|0
9|12|6876|221,580|8|0|0
9|12|6876|220,085|8|0|0
9|12|6876|218,583|8|0|0
9|12|6876|217,082|8|0|0
9|12|6876|215,580|8|0|0
9|12|6876|214,076|8|0|0
9|12|6876|212,581|8|0|0
9|12|6876|211,088|8|0|0
9|12|6876|209,591|8|0|0
9|12|6876|208,087|8|0|0
9|12|6876|206,584|8|0|0
9|12|6876|205,105|8|0|0
9|12|6876|203,616|8|0|0
9|12|6876|202,126|8|0|0
9|12|6876|200,622|8|0|0
9|12|6876|199,131|8|0|0
9|12|6876|197,641|8|0|0
9|12|6876|196,155|8|0|0
9|12|6876|194,654|8|0|0
9|12|6876|193,163|8|0|0
9|12|6876|191,657|8|0|0
9|12|6876|190,171|8|0|0
9|12|6876|188,664|8|0|0
9|12|6876|187,169|8|0|0
9|12|6876|185,680|8|0|0
9|12|6876|184,185|8|0|0
9|12|6876|182,694|8|0|0
9|12|6876|181,194|8|0|0
9|12|6876|179,703|8|0|0
9|12|6876|178,203|8|0|0
9|12|6876|176,712|8|0|0
9|12|6876|175,220|8|0|0
9|12|6876|173,727|8|0|0
9|12|6876|172,228|8|0|0
9|12|6876|170,741|8|0|0
9|12|6876|169,235|8|0|0
9|12|6876|167,743|8|0|0
9|12|6876|166,244|8|0|0
9|12|6876|164,750|8|0|0
9|12|6876|163,261|8|0|0
9|12|6876|161,770|8|0|0
9|12|6876|160,311|8|0|0
9|12|6876|158,803|8|0|0
9|12|6876|157,319|8|0|0
9|12|6876|155,815|8|0|0
9|12|6876|154,325|8|0|0
9|12|6876|152,824|8|0|0
9|12|6876|151,336|8|0|0
9|12|6876|149,841|8|0|0
9|12|6876|148,356|8|0|0
9|12|6876|146,865|8|0|0
9|12|6876|145,373|8|0|0
9|12|6876|143,878|8|0|0
9|12|6876|142,385|8|0|0
9|12|6876|140,890|8|0|0
9|12|6876|139,398|8|0|0
9|12|6876|137,909|8|0|0
9|12|6876|136,410|8|0|0
9|12|6876|134,920|8|0|0
9|12|6876|133,416|8|0|0
9|12|6876|131,917|8|0|0
