N1|N2|QID|Time|Degree|Overtime|Heu|TotalTime
9|12|1452|2,266,192|9|0|0|0
9|12|1452|2,264,848|9|0|0|0
9|12|1452|2,264,698|9|0|0|0
9|12|1452|2,264,912|9|0|0|0
9|12|1452|2,264,897|9|0|0|0
9|12|1452|2,264,659|9|0|0|0
9|12|1452|2,264,735|9|0|0|0
9|12|1452|2,264,869|9|0|0|0
9|12|1452|2,264,623|9|0|0|0
9|12|1452|2,264,592|9|0|0|0
9|12|1452|2,264,711|9|0|0|0
9|12|1452|2,264,806|9|0|0|0
9|12|1452|2,264,589|9|0|0|0
9|12|1452|2,264,591|9|0|0|0
9|12|1452|2,264,694|9|0|0|0
9|12|1452|2,264,612|9|0|0|0
9|12|1452|2,264,669|9|0|0|0
9|12|1452|2,264,676|9|0|0|0
9|12|1452|2,264,802|9|0|0|0
9|12|1452|2,264,601|9|0|0|0
9|12|1452|2,264,635|9|0|0|0
9|12|1452|2,264,622|9|0|0|0
9|12|1452|2,264,657|9|0|0|0
9|12|1452|2,264,656|9|0|0|0
9|12|1452|2,264,581|9|0|0|0
9|12|1452|2,264,618|9|0|0|0
9|12|1452|2,264,606|9|0|0|0
9|12|1452|2,264,639|9|0|0|0
9|12|1452|2,264,607|9|0|0|0
9|12|1452|2,264,627|9|0|0|0
9|12|1452|2,264,682|9|0|0|0
9|12|1452|2,264,842|9|0|0|0
9|12|1452|2,264,598|9|0|0|0
9|12|1452|2,264,702|9|0|0|0
9|12|1452|2,264,647|9|0|0|0
9|12|1452|2,264,656|9|0|0|0
9|12|1452|2,264,587|9|0|0|0
9|12|1452|2,264,627|9|0|0|0
9|12|1452|2,264,621|9|0|0|0
9|12|1452|2,264,645|9|0|0|0
9|12|1452|2,264,613|9|0|0|0
9|12|1452|2,264,644|9|0|0|0
9|12|1452|2,264,570|9|0|0|0
9|12|1452|2,264,615|9|0|0|0
9|12|1452|2,264,624|9|0|0|0
9|12|1452|2,264,628|9|0|0|0
9|12|1452|2,264,610|9|0|0|0
9|12|1452|2,264,597|9|0|0|0
9|12|1452|2,264,651|9|0|0|0
9|12|1452|2,264,630|9|0|0|0
9|12|1452|2,264,634|9|0|0|0
9|12|1452|2,264,718|9|0|0|0
9|12|1452|2,264,754|9|0|0|0
9|12|1452|2,264,595|9|0|0|0
9|12|1452|2,264,600|9|0|0|0
9|12|1452|2,264,599|9|0|0|0
9|12|1452|2,264,606|9|0|0|0
9|12|1452|2,264,622|9|0|0|0
9|12|1452|2,264,626|9|0|0|0
9|12|1452|2,264,575|9|0|0|0
9|12|1452|2,264,610|9|0|0|0
9|12|1452|2,264,644|9|0|0|0
9|12|1452|2,264,606|9|0|0|0
9|12|1452|2,264,612|9|0|0|0
9|12|1452|2,264,602|9|0|0|0
9|12|1452|2,264,648|9|0|0|0
9|12|1452|2,264,648|9|0|0|0
9|12|1452|2,264,617|9|0|0|0
9|12|1452|2,264,611|9|0|0|0
9|12|1452|2,264,665|9|0|0|0
9|12|1452|2,264,614|9|0|0|0
9|12|1452|2,264,650|9|0|0|0
9|12|1452|2,264,616|9|0|0|0
9|12|1452|2,264,644|9|0|0|0
9|12|1452|2,264,638|9|0|0|0
9|12|1452|2,264,646|9|0|0|0
9|12|1452|2,264,645|9|0|0|0
9|12|1452|2,264,602|9|0|0|0
9|12|1452|2,264,702|9|0|0|0
9|12|1452|2,264,845|9|0|0|0
9|12|1452|2,264,651|9|0|0|0
9|12|1452|2,264,651|9|0|0|0
9|12|1452|2,264,643|9|0|0|0
9|12|1452|2,264,623|9|0|0|0
9|12|1452|2,264,659|9|0|0|0
9|12|1452|2,264,642|9|0|0|0
9|12|1452|2,264,597|9|0|0|0
9|12|1452|2,264,657|9|0|0|0
9|12|1452|2,264,622|9|0|0|0
9|12|1452|2,264,639|9|0|0|0
9|12|1452|2,264,592|9|0|0|0
9|12|1452|2,264,614|9|0|0|0
9|12|1452|2,264,604|9|0|0|0
9|12|1452|2,264,657|9|0|0|0
9|12|1452|2,264,598|9|0|0|0
9|12|1452|2,264,605|9|0|0|0
9|12|1452|2,264,601|9|0|0|0
9|12|1452|2,264,638|9|0|0|0
9|12|1452|2,264,694|9|0|0|0
9|12|1452|2,264,620|9|0|0|0
-1|-1|-1|-1|-1|-1|-1|226,580,952
