N1|N2|QID|Time|Degree|Overtime|Heu
9|12|1452|3,674,872|9|0|0
9|12|1452|3,667,657|9|0|0
9|12|1452|3,660,832|9|0|0
9|12|1452|3,653,997|9|0|0
9|12|1452|3,647,189|9|0|0
9|12|1452|3,640,374|9|0|0
9|12|1452|3,633,506|9|0|0
9|12|1452|3,626,700|9|0|0
9|12|1452|3,619,902|9|0|0
9|12|1452|3,613,061|9|0|0
9|12|1452|3,606,256|9|0|0
9|12|1452|3,599,413|9|0|0
9|12|1452|3,592,560|9|0|0
9|12|1452|3,585,756|9|0|0
9|12|1452|3,578,927|9|0|0
9|12|1452|3,572,111|9|0|0
9|12|1452|3,565,285|9|0|0
9|12|1452|3,558,414|9|0|0
9|12|1452|3,551,592|9|0|0
9|12|1452|3,544,924|9|0|0
9|12|1452|3,538,160|9|0|0
9|12|1452|3,531,360|9|0|0
9|12|1452|3,524,569|9|0|0
9|12|1452|3,517,734|9|0|0
9|12|1452|3,510,902|9|0|0
9|12|1452|3,504,051|9|0|0
9|12|1452|3,497,224|9|0|0
9|12|1452|3,490,380|9|0|0
9|12|1452|3,483,581|9|0|0
9|12|1452|3,476,741|9|0|0
9|12|1452|3,469,951|9|0|0
9|12|1452|3,463,154|9|0|0
9|12|1452|3,456,360|9|0|0
9|12|1452|3,449,553|9|0|0
9|12|1452|3,442,714|9|0|0
9|12|1452|3,435,861|9|0|0
9|12|1452|3,429,048|9|0|0
9|12|1452|3,422,246|9|0|0
9|12|1452|3,415,443|9|0|0
9|12|1452|3,408,630|9|0|0
9|12|1452|3,401,807|9|0|0
9|12|1452|3,394,978|9|0|0
9|12|1452|3,388,141|9|0|0
9|12|1452|3,381,319|9|0|0
9|12|1452|3,374,510|9|0|0
9|12|1452|3,367,701|9|0|0
9|12|1452|3,360,902|9|0|0
9|12|1452|3,354,087|9|0|0
9|12|1452|3,347,292|9|0|0
9|12|1452|3,340,476|9|0|0
9|12|1452|3,333,658|9|0|0
9|12|1452|3,326,832|9|0|0
9|12|1452|3,320,038|9|0|0
9|12|1452|3,313,215|9|0|0
9|12|1452|3,306,393|9|0|0
9|12|1452|3,299,545|9|0|0
9|12|1452|3,292,678|9|0|0
9|12|1452|3,285,857|9|0|0
9|12|1452|3,279,033|9|0|0
9|12|1452|3,272,195|9|0|0
9|12|1452|3,265,395|9|0|0
9|12|1452|3,258,595|9|0|0
9|12|1452|3,251,803|9|0|0
9|12|1452|3,244,976|9|0|0
9|12|1452|3,238,148|9|0|0
9|12|1452|3,231,290|9|0|0
9|12|1452|3,224,494|9|0|0
9|12|1452|3,217,668|9|0|0
9|12|1452|3,210,856|9|0|0
9|12|1452|3,204,017|9|0|0
9|12|1452|3,197,198|9|0|0
9|12|1452|3,190,398|9|0|0
9|12|1452|3,183,576|9|0|0
9|12|1452|3,176,752|9|0|0
9|12|1452|3,169,906|9|0|0
9|12|1452|3,163,081|9|0|0
9|12|1452|3,156,267|9|0|0
9|12|1452|3,149,453|9|0|0
9|12|1452|3,142,644|9|0|0
9|12|1452|3,135,832|9|0|0
