N1|N2|QID|Time|Degree|Overtime|Heu|TotalTime
9|12|12443|1,052|10|0|1|0
9|12|12443|495|10|0|1|0
9|12|12443|487|10|0|1|0
9|12|12443|465|10|0|1|0
9|12|12443|476|10|0|1|0
9|12|12443|460|10|0|1|0
9|12|12443|464|10|0|1|0
9|12|12443|456|10|0|1|0
9|12|12443|463|10|0|1|0
9|12|12443|451|10|0|1|0
9|12|12443|459|10|0|1|0
9|12|12443|461|10|0|1|0
9|12|12443|463|10|0|1|0
9|12|12443|451|10|0|1|0
9|12|12443|457|10|0|1|0
9|12|12443|451|10|0|1|0
9|12|12443|458|10|0|1|0
9|12|12443|457|10|0|1|0
9|12|12443|461|10|0|1|0
9|12|12443|452|10|0|1|0
9|12|12443|606|10|0|1|0
9|12|12443|478|10|0|1|0
9|12|12443|478|10|0|1|0
9|12|12443|459|10|0|1|0
9|12|12443|467|10|0|1|0
9|12|12443|459|10|0|1|0
9|12|12443|466|10|0|1|0
9|12|12443|453|10|0|1|0
9|12|12443|459|10|0|1|0
9|12|12443|451|10|0|1|0
9|12|12443|458|10|0|1|0
9|12|12443|450|10|0|1|0
9|12|12443|453|10|0|1|0
9|12|12443|451|10|0|1|0
9|12|12443|454|10|0|1|0
9|12|12443|450|10|0|1|0
9|12|12443|456|10|0|1|0
9|12|12443|450|10|0|1|0
9|12|12443|456|10|0|1|0
9|12|12443|452|10|0|1|0
9|12|12443|468|10|0|1|0
9|12|12443|449|10|0|1|0
9|12|12443|513|10|0|1|0
9|12|12443|473|10|0|1|0
9|12|12443|475|10|0|1|0
9|12|12443|458|10|0|1|0
9|12|12443|461|10|0|1|0
9|12|12443|460|10|0|1|0
9|12|12443|465|10|0|1|0
9|12|12443|456|10|0|1|0
9|12|12443|458|10|0|1|0
9|12|12443|452|10|0|1|0
9|12|12443|449|10|0|1|0
9|12|12443|449|10|0|1|0
9|12|12443|452|10|0|1|0
9|12|12443|460|10|0|1|0
9|12|12443|449|10|0|1|0
9|12|12443|457|10|0|1|0
9|12|12443|451|10|0|1|0
9|12|12443|455|10|0|1|0
9|12|12443|453|10|0|1|0
9|12|12443|457|10|0|1|0
9|12|12443|451|10|0|1|0
9|12|12443|470|10|0|1|0
9|12|12443|450|10|0|1|0
9|12|12443|532|10|0|1|0
9|12|12443|466|10|0|1|0
9|12|12443|469|10|0|1|0
9|12|12443|453|10|0|1|0
9|12|12443|460|10|0|1|0
9|12|12443|458|10|0|1|0
9|12|12443|459|10|0|1|0
9|12|12443|455|10|0|1|0
9|12|12443|467|10|0|1|0
9|12|12443|454|10|0|1|0
9|12|12443|460|10|0|1|0
9|12|12443|451|10|0|1|0
9|12|12443|457|10|0|1|0
9|12|12443|450|10|0|1|0
9|12|12443|458|10|0|1|0
9|12|12443|450|10|0|1|0
9|12|12443|460|10|0|1|0
9|12|12443|452|10|0|1|0
9|12|12443|459|10|0|1|0
9|12|12443|450|10|0|1|0
9|12|12443|468|10|0|1|0
9|12|12443|450|10|0|1|0
9|12|12443|652|10|0|1|0
9|12|12443|479|10|0|1|0
9|12|12443|474|10|0|1|0
9|12|12443|460|10|0|1|0
9|12|12443|465|10|0|1|0
9|12|12443|455|10|0|1|0
9|12|12443|462|10|0|1|0
9|12|12443|452|10|0|1|0
9|12|12443|456|10|0|1|0
9|12|12443|449|10|0|1|0
9|12|12443|457|10|0|1|0
9|12|12443|451|10|0|1|0
9|12|12443|459|10|0|1|0
-1|-1|-1|-1|-1|-1|-1|73,688
