N1|N2|QID|Time|Degree|Overtime|Heu|TotalTime
3|18|238357|895|1|0|1|0
3|18|238357|200|1|0|1|0
3|18|238357|196|1|0|1|0
3|18|238357|191|1|0|1|0
3|18|238357|200|1|0|1|0
3|18|238357|187|1|0|1|0
3|18|238357|188|1|0|1|0
3|18|238357|187|1|0|1|0
3|18|238357|190|1|0|1|0
3|18|238357|194|1|0|1|0
3|18|238357|189|1|0|1|0
3|18|238357|186|1|0|1|0
3|18|238357|187|1|0|1|0
3|18|238357|187|1|0|1|0
3|18|238357|189|1|0|1|0
3|18|238357|187|1|0|1|0
3|18|238357|188|1|0|1|0
3|18|238357|189|1|0|1|0
3|18|238357|197|1|0|1|0
3|18|238357|188|1|0|1|0
3|18|238357|189|1|0|1|0
3|18|238357|188|1|0|1|0
3|18|238357|187|1|0|1|0
3|18|238357|197|1|0|1|0
3|18|238357|187|1|0|1|0
3|18|238357|187|1|0|1|0
3|18|238357|189|1|0|1|0
3|18|238357|194|1|0|1|0
3|18|238357|187|1|0|1|0
3|18|238357|187|1|0|1|0
3|18|238357|187|1|0|1|0
3|18|238357|189|1|0|1|0
3|18|238357|211|1|0|1|0
3|18|238357|191|1|0|1|0
3|18|238357|190|1|0|1|0
3|18|238357|188|1|0|1|0
3|18|238357|195|1|0|1|0
3|18|238357|188|1|0|1|0
3|18|238357|190|1|0|1|0
3|18|238357|189|1|0|1|0
3|18|238357|189|1|0|1|0
3|18|238357|197|1|0|1|0
3|18|238357|189|1|0|1|0
3|18|238357|189|1|0|1|0
3|18|238357|189|1|0|1|0
3|18|238357|196|1|0|1|0
3|18|238357|189|1|0|1|0
3|18|238357|188|1|0|1|0
3|18|238357|188|1|0|1|0
3|18|238357|189|1|0|1|0
3|18|238357|195|1|0|1|0
3|18|238357|188|1|0|1|0
3|18|238357|187|1|0|1|0
3|18|238357|189|1|0|1|0
3|18|238357|194|1|0|1|0
3|18|238357|187|1|0|1|0
3|18|238357|187|1|0|1|0
3|18|238357|199|1|0|1|0
3|18|238357|192|1|0|1|0
3|18|238357|201|1|0|1|0
3|18|238357|187|1|0|1|0
3|18|238357|188|1|0|1|0
3|18|238357|188|1|0|1|0
3|18|238357|194|1|0|1|0
3|18|238357|187|1|0|1|0
3|18|238357|187|1|0|1|0
3|18|238357|187|1|0|1|0
3|18|238357|185|1|0|1|0
3|18|238357|196|1|0|1|0
3|18|238357|187|1|0|1|0
3|18|238357|186|1|0|1|0
3|18|238357|187|1|0|1|0
3|18|238357|188|1|0|1|0
3|18|238357|188|1|0|1|0
3|18|238357|188|1|0|1|0
3|18|238357|187|1|0|1|0
3|18|238357|186|1|0|1|0
3|18|238357|194|1|0|1|0
3|18|238357|187|1|0|1|0
3|18|238357|195|1|0|1|0
3|18|238357|189|1|0|1|0
3|18|238357|187|1|0|1|0
3|18|238357|189|1|0|1|0
3|18|238357|195|1|0|1|0
3|18|238357|189|1|0|1|0
3|18|238357|191|1|0|1|0
3|18|238357|188|1|0|1|0
3|18|238357|187|1|0|1|0
3|18|238357|188|1|0|1|0
3|18|238357|189|1|0|1|0
3|18|238357|196|1|0|1|0
3|18|238357|188|1|0|1|0
3|18|238357|189|1|0|1|0
3|18|238357|187|1|0|1|0
3|18|238357|187|1|0|1|0
3|18|238357|193|1|0|1|0
3|18|238357|187|1|0|1|0
3|18|238357|188|1|0|1|0
3|18|238357|188|1|0|1|0
3|18|238357|198|1|0|1|0
-1|-1|-1|-1|-1|-1|-1|57,207
