N1|N2|QID|Time|Degree|Overtime|Heu|TotalTime
3|12|5367|2,896|11|0|1|0
3|12|5367|2,041|11|0|1|0
3|12|5367|2,043|11|0|1|0
3|12|5367|1,990|11|0|1|0
3|12|5367|2,128|11|0|1|0
3|12|5367|2,026|11|0|1|0
3|12|5367|2,030|11|0|1|0
3|12|5367|2,020|11|0|1|0
3|12|5367|1,997|11|0|1|0
3|12|5367|2,010|11|0|1|0
3|12|5367|2,028|11|0|1|0
3|12|5367|1,986|11|0|1|0
3|12|5367|2,019|11|0|1|0
3|12|5367|2,025|11|0|1|0
3|12|5367|1,994|11|0|1|0
3|12|5367|2,021|11|0|1|0
3|12|5367|1,970|11|0|1|0
3|12|5367|1,973|11|0|1|0
3|12|5367|2,018|11|0|1|0
3|12|5367|1,990|11|0|1|0
3|12|5367|2,030|11|0|1|0
3|12|5367|2,009|11|0|1|0
3|12|5367|1,989|11|0|1|0
3|12|5367|1,969|11|0|1|0
3|12|5367|2,010|11|0|1|0
3|12|5367|2,014|11|0|1|0
3|12|5367|2,062|11|0|1|0
3|12|5367|1,995|11|0|1|0
3|12|5367|1,965|11|0|1|0
3|12|5367|1,981|11|0|1|0
3|12|5367|2,013|11|0|1|0
3|12|5367|2,017|11|0|1|0
3|12|5367|1,985|11|0|1|0
3|12|5367|1,977|11|0|1|0
3|12|5367|1,976|11|0|1|0
3|12|5367|1,976|11|0|1|0
3|12|5367|1,979|11|0|1|0
3|12|5367|2,019|11|0|1|0
3|12|5367|1,979|11|0|1|0
3|12|5367|2,031|11|0|1|0
3|12|5367|2,031|11|0|1|0
3|12|5367|1,982|11|0|1|0
3|12|5367|2,057|11|0|1|0
3|12|5367|1,975|11|0|1|0
3|12|5367|1,978|11|0|1|0
3|12|5367|1,998|11|0|1|0
3|12|5367|1,988|11|0|1|0
3|12|5367|2,029|11|0|1|0
3|12|5367|1,988|11|0|1|0
3|12|5367|2,028|11|0|1|0
3|12|5367|2,008|11|0|1|0
3|12|5367|2,013|11|0|1|0
3|12|5367|2,003|11|0|1|0
3|12|5367|2,052|11|0|1|0
3|12|5367|1,994|11|0|1|0
3|12|5367|2,010|11|0|1|0
3|12|5367|1,979|11|0|1|0
3|12|5367|1,981|11|0|1|0
3|12|5367|2,057|11|0|1|0
3|12|5367|1,987|11|0|1|0
3|12|5367|2,021|11|0|1|0
3|12|5367|2,003|11|0|1|0
3|12|5367|2,006|11|0|1|0
3|12|5367|2,005|11|0|1|0
3|12|5367|2,029|11|0|1|0
3|12|5367|2,020|11|0|1|0
3|12|5367|1,978|11|0|1|0
3|12|5367|1,981|11|0|1|0
3|12|5367|1,984|11|0|1|0
3|12|5367|2,024|11|0|1|0
3|12|5367|1,992|11|0|1|0
3|12|5367|1,998|11|0|1|0
3|12|5367|2,061|11|0|1|0
3|12|5367|2,020|11|0|1|0
3|12|5367|1,988|11|0|1|0
3|12|5367|2,009|11|0|1|0
3|12|5367|1,998|11|0|1|0
3|12|5367|2,019|11|0|1|0
3|12|5367|2,028|11|0|1|0
3|12|5367|1,986|11|0|1|0
3|12|5367|1,985|11|0|1|0
3|12|5367|1,977|11|0|1|0
3|12|5367|1,981|11|0|1|0
3|12|5367|2,040|11|0|1|0
3|12|5367|2,002|11|0|1|0
3|12|5367|1,979|11|0|1|0
3|12|5367|1,971|11|0|1|0
3|12|5367|1,976|11|0|1|0
3|12|5367|1,994|11|0|1|0
3|12|5367|2,033|11|0|1|0
3|12|5367|2,006|11|0|1|0
3|12|5367|1,985|11|0|1|0
3|12|5367|2,014|11|0|1|0
3|12|5367|2,016|11|0|1|0
3|12|5367|2,015|11|0|1|0
3|12|5367|1,978|11|0|1|0
3|12|5367|1,976|11|0|1|0
3|12|5367|2,006|11|0|1|0
3|12|5367|1,997|11|0|1|0
3|12|5367|1,984|11|0|1|0
-1|-1|-1|-1|-1|-1|-1|250,865
