N1|N2|QID|Time|Degree|Overtime|Heu|TotalTime
3|12|1473|1,485|11|0|1|0
3|12|1473|1,504|11|0|1|0
3|12|1473|1,371|11|0|1|0
3|12|1473|1,378|11|0|1|0
3|12|1473|1,360|11|0|1|0
3|12|1473|1,367|11|0|1|0
3|12|1473|1,514|11|0|1|0
3|12|1473|1,368|11|0|1|0
3|12|1473|1,361|11|0|1|0
3|12|1473|1,349|11|0|1|0
3|12|1473|1,356|11|0|1|0
3|12|1473|1,344|11|0|1|0
3|12|1473|1,414|11|0|1|0
3|12|1473|1,363|11|0|1|0
3|12|1473|1,349|11|0|1|0
3|12|1473|1,356|11|0|1|0
3|12|1473|1,435|11|0|1|0
3|12|1473|1,360|11|0|1|0
3|12|1473|1,360|11|0|1|0
3|12|1473|1,363|11|0|1|0
3|12|1473|1,363|11|0|1|0
3|12|1473|1,353|11|0|1|0
3|12|1473|1,350|11|0|1|0
3|12|1473|1,422|11|0|1|0
3|12|1473|1,359|11|0|1|0
3|12|1473|1,361|11|0|1|0
3|12|1473|1,352|11|0|1|0
3|12|1473|1,344|11|0|1|0
3|12|1473|1,356|11|0|1|0
3|12|1473|1,419|11|0|1|0
3|12|1473|1,363|11|0|1|0
3|12|1473|1,352|11|0|1|0
3|12|1473|1,346|11|0|1|0
3|12|1473|1,359|11|0|1|0
3|12|1473|1,359|11|0|1|0
3|12|1473|1,427|11|0|1|0
3|12|1473|1,369|11|0|1|0
3|12|1473|1,356|11|0|1|0
3|12|1473|1,350|11|0|1|0
3|12|1473|1,351|11|0|1|0
3|12|1473|1,358|11|0|1|0
3|12|1473|1,348|11|0|1|0
3|12|1473|1,421|11|0|1|0
3|12|1473|1,358|11|0|1|0
3|12|1473|1,364|11|0|1|0
3|12|1473|1,363|11|0|1|0
3|12|1473|1,350|11|0|1|0
3|12|1473|1,350|11|0|1|0
3|12|1473|1,432|11|0|1|0
3|12|1473|1,353|11|0|1|0
3|12|1473|1,362|11|0|1|0
3|12|1473|1,346|11|0|1|0
3|12|1473|1,354|11|0|1|0
3|12|1473|1,351|11|0|1|0
3|12|1473|1,407|11|0|1|0
3|12|1473|1,367|11|0|1|0
3|12|1473|1,357|11|0|1|0
3|12|1473|1,355|11|0|1|0
3|12|1473|1,356|11|0|1|0
3|12|1473|1,348|11|0|1|0
3|12|1473|1,407|11|0|1|0
3|12|1473|1,366|11|0|1|0
3|12|1473|1,360|11|0|1|0
3|12|1473|1,351|11|0|1|0
3|12|1473|1,349|11|0|1|0
3|12|1473|1,347|11|0|1|0
3|12|1473|1,351|11|0|1|0
3|12|1473|1,414|11|0|1|0
3|12|1473|1,359|11|0|1|0
3|12|1473|1,361|11|0|1|0
3|12|1473|1,363|11|0|1|0
3|12|1473|1,349|11|0|1|0
3|12|1473|1,348|11|0|1|0
3|12|1473|1,414|11|0|1|0
3|12|1473|1,365|11|0|1|0
3|12|1473|1,355|11|0|1|0
3|12|1473|1,345|11|0|1|0
3|12|1473|1,352|11|0|1|0
3|12|1473|1,354|11|0|1|0
3|12|1473|1,342|11|0|1|0
3|12|1473|1,423|11|0|1|0
3|12|1473|1,359|11|0|1|0
3|12|1473|1,351|11|0|1|0
3|12|1473|1,351|11|0|1|0
3|12|1473|1,347|11|0|1|0
3|12|1473|1,402|11|0|1|0
3|12|1473|1,360|11|0|1|0
3|12|1473|1,350|11|0|1|0
3|12|1473|1,354|11|0|1|0
3|12|1473|1,417|11|0|1|0
3|12|1473|1,376|11|0|1|0
3|12|1473|1,355|11|0|1|0
3|12|1473|1,356|11|0|1|0
3|12|1473|1,348|11|0|1|0
3|12|1473|1,346|11|0|1|0
3|12|1473|1,404|11|0|1|0
3|12|1473|1,358|11|0|1|0
3|12|1473|1,358|11|0|1|0
3|12|1473|1,353|11|0|1|0
3|12|1473|1,348|11|0|1|0
-1|-1|-1|-1|-1|-1|-1|314,159
