N1|N2|QID|Time|Degree|Overtime|Heu|TotalTime
3|15|5387|10,133,017|12|0|0|0
3|15|5387|10,129,790|12|0|0|0
3|15|5387|10,126,747|12|0|0|0
3|15|5387|10,123,775|12|0|0|0
3|15|5387|10,120,810|12|0|0|0
3|15|5387|10,117,848|12|0|0|0
3|15|5387|10,114,891|12|0|0|0
3|15|5387|10,111,939|12|0|0|0
3|15|5387|10,108,966|12|0|0|0
3|15|5387|10,106,007|12|0|0|0
3|15|5387|10,103,051|12|0|0|0
3|15|5387|10,099,934|12|0|0|0
3|15|5387|10,096,985|12|0|0|0
3|15|5387|10,094,028|12|0|0|0
3|15|5387|10,091,235|12|0|0|0
3|15|5387|10,088,319|12|0|0|0
3|15|5387|10,085,378|12|0|0|0
3|15|5387|10,082,422|12|0|0|0
3|15|5387|10,079,465|12|0|0|0
3|15|5387|10,076,509|12|0|0|0
3|15|5387|10,073,555|12|0|0|0
3|15|5387|10,070,596|12|0|0|0
3|15|5387|10,067,642|12|0|0|0
3|15|5387|10,064,689|12|0|0|0
3|15|5387|10,061,733|12|0|0|0
3|15|5387|10,058,785|12|0|0|0
3|15|5387|10,055,833|12|0|0|0
3|15|5387|10,052,888|12|0|0|0
3|15|5387|10,049,940|12|0|0|0
3|15|5387|10,046,990|12|0|0|0
3|15|5387|10,044,037|12|0|0|0
3|15|5387|10,041,106|12|0|0|0
3|15|5387|10,038,155|12|0|0|0
3|15|5387|10,035,202|12|0|0|0
3|15|5387|10,032,250|12|0|0|0
3|15|5387|10,029,301|12|0|0|0
3|15|5387|10,026,356|12|0|0|0
3|15|5387|10,023,406|12|0|0|0
3|15|5387|10,020,459|12|0|0|0
3|15|5387|10,017,509|12|0|0|0
3|15|5387|10,014,567|12|0|0|0
3|15|5387|10,011,617|12|0|0|0
3|15|5387|10,008,642|12|0|0|0
3|15|5387|10,005,695|12|0|0|0
3|15|5387|10,002,746|12|0|0|0
3|15|5387|9,999,616|12|0|0|0
3|15|5387|9,996,693|12|0|0|0
3|15|5387|9,993,756|12|0|0|0
3|15|5387|9,990,815|12|0|0|0
3|15|5387|9,987,869|12|0|0|0
3|15|5387|9,984,939|12|0|0|0
3|15|5387|9,981,995|12|0|0|0
3|15|5387|9,979,060|12|0|0|0
3|15|5387|9,976,115|12|0|0|0
3|15|5387|9,973,166|12|0|0|0
3|15|5387|9,970,227|12|0|0|0
3|15|5387|9,967,283|12|0|0|0
3|15|5387|9,964,344|12|0|0|0
3|15|5387|9,961,390|12|0|0|0
3|15|5387|9,958,374|12|0|0|0
3|15|5387|9,955,434|12|0|0|0
3|15|5387|9,952,489|12|0|0|0
3|15|5387|9,949,550|12|0|0|0
3|15|5387|9,946,604|12|0|0|0
3|15|5387|9,943,653|12|0|0|0
3|15|5387|9,940,711|12|0|0|0
3|15|5387|9,937,772|12|0|0|0
3|15|5387|9,934,834|12|0|0|0
3|15|5387|9,931,890|12|0|0|0
3|15|5387|9,928,948|12|0|0|0
3|15|5387|9,925,992|12|0|0|0
3|15|5387|9,923,043|12|0|0|0
3|15|5387|9,920,094|12|0|0|0
3|15|5387|9,917,142|12|0|0|0
3|15|5387|9,914,236|12|0|0|0
3|15|5387|9,911,322|12|0|0|0
3|15|5387|9,908,405|12|0|0|0
3|15|5387|9,905,458|12|0|0|0
3|15|5387|9,902,512|12|0|0|0
3|15|5387|9,899,564|12|0|0|0
3|15|5387|9,896,615|12|0|0|0
3|15|5387|9,893,666|12|0|0|0
3|15|5387|9,890,729|12|0|0|0
3|15|5387|9,887,781|12|0|0|0
3|15|5387|9,884,836|12|0|0|0
3|15|5387|9,881,884|12|0|0|0
3|15|5387|9,878,941|12|0|0|0
3|15|5387|9,875,988|12|0|0|0
3|15|5387|9,873,053|12|0|0|0
3|15|5387|9,870,107|12|0|0|0
3|15|5387|9,867,156|12|0|0|0
3|15|5387|9,864,210|12|0|0|0
3|15|5387|9,861,268|12|0|0|0
3|15|5387|9,858,324|12|0|0|0
3|15|5387|9,855,387|12|0|0|0
3|15|5387|9,852,437|12|0|0|0
3|15|5387|9,849,494|12|0|0|0
3|15|5387|9,846,552|12|0|0|0
3|15|5387|9,843,597|12|0|0|0
3|15|5387|9,840,651|12|0|0|0
-1|-1|-1|-1|-1|-1|-1|10,206,407
