N1|N2|QID|Time|Degree|Overtime|Heu|TotalTime
3|15|1266|33,837,494|3|0|0|0
3|15|1266|33,830,989|3|0|0|0
3|15|1266|33,822,693|3|0|0|0
3|15|1266|33,814,449|3|0|0|0
3|15|1266|33,806,327|3|0|0|0
3|15|1266|33,798,217|3|0|0|0
3|15|1266|33,790,075|3|0|0|0
3|15|1266|33,781,881|3|0|0|0
3|15|1266|33,773,684|3|0|0|0
3|15|1266|33,765,544|3|0|0|0
3|15|1266|33,757,374|3|0|0|0
3|15|1266|33,749,237|3|0|0|0
3|15|1266|33,741,064|3|0|0|0
3|15|1266|33,732,914|3|0|0|0
3|15|1266|33,724,742|3|0|0|0
3|15|1266|33,716,552|3|0|0|0
3|15|1266|33,708,395|3|0|0|0
3|15|1266|33,700,255|3|0|0|0
3|15|1266|33,692,064|3|0|0|0
3|15|1266|33,683,852|3|0|0|0
3|15|1266|33,675,691|3|0|0|0
3|15|1266|33,667,488|3|0|0|0
3|15|1266|33,659,350|3|0|0|0
3|15|1266|33,651,215|3|0|0|0
3|15|1266|33,642,995|3|0|0|0
3|15|1266|33,634,854|3|0|0|0
3|15|1266|33,626,715|3|0|0|0
3|15|1266|33,618,527|3|0|0|0
3|15|1266|33,610,409|3|0|0|0
3|15|1266|33,602,189|3|0|0|0
3|15|1266|33,593,990|3|0|0|0
3|15|1266|33,585,867|3|0|0|0
3|15|1266|33,577,782|3|0|0|0
3|15|1266|33,569,409|3|0|0|0
3|15|1266|33,561,271|3|0|0|0
3|15|1266|33,553,072|3|0|0|0
3|15|1266|33,544,939|3|0|0|0
3|15|1266|33,536,794|3|0|0|0
3|15|1266|33,528,623|3|0|0|0
3|15|1266|33,520,472|3|0|0|0
3|15|1266|33,512,359|3|0|0|0
3|15|1266|33,504,225|3|0|0|0
3|15|1266|33,496,089|3|0|0|0
3|15|1266|33,487,977|3|0|0|0
3|15|1266|33,479,814|3|0|0|0
3|15|1266|33,471,704|3|0|0|0
3|15|1266|33,463,561|3|0|0|0
3|15|1266|33,455,432|3|0|0|0
3|15|1266|33,447,319|3|0|0|0
3|15|1266|33,439,176|3|0|0|0
3|15|1266|33,430,989|3|0|0|0
3|15|1266|33,422,837|3|0|0|0
3|15|1266|33,414,658|3|0|0|0
3|15|1266|33,406,498|3|0|0|0
3|15|1266|33,398,342|3|0|0|0
3|15|1266|33,390,234|3|0|0|0
3|15|1266|33,382,111|3|0|0|0
3|15|1266|33,373,976|3|0|0|0
3|15|1266|33,365,793|3|0|0|0
3|15|1266|33,357,618|3|0|0|0
3|15|1266|33,349,402|3|0|0|0
3|15|1266|33,341,278|3|0|0|0
3|15|1266|33,333,078|3|0|0|0
3|15|1266|33,324,801|3|0|0|0
3|15|1266|33,316,644|3|0|0|0
3|15|1266|33,308,509|3|0|0|0
3|15|1266|33,300,383|3|0|0|0
3|15|1266|33,292,228|3|0|0|0
3|15|1266|33,284,092|3|0|0|0
3|15|1266|33,275,839|3|0|0|0
3|15|1266|33,267,632|3|0|0|0
3|15|1266|33,259,495|3|0|0|0
3|15|1266|33,251,269|3|0|0|0
3|15|1266|33,243,090|3|0|0|0
3|15|1266|33,234,896|3|0|0|0
3|15|1266|33,226,718|3|0|0|0
3|15|1266|33,218,620|3|0|0|0
3|15|1266|33,210,484|3|0|0|0
3|15|1266|33,202,359|3|0|0|0
3|15|1266|33,194,246|3|0|0|0
3|15|1266|33,185,981|3|0|0|0
3|15|1266|33,177,807|3|0|0|0
3|15|1266|33,169,653|3|0|0|0
3|15|1266|33,161,534|3|0|0|0
3|15|1266|33,153,355|3|0|0|0
3|15|1266|33,145,229|3|0|0|0
3|15|1266|33,137,083|3|0|0|0
3|15|1266|33,128,920|3|0|0|0
3|15|1266|33,120,789|3|0|0|0
3|15|1266|33,112,631|3|0|0|0
3|15|1266|33,104,510|3|0|0|0
3|15|1266|33,096,381|3|0|0|0
3|15|1266|33,088,201|3|0|0|0
3|15|1266|33,080,095|3|0|0|0
3|15|1266|33,071,873|3|0|0|0
3|15|1266|33,063,640|3|0|0|0
3|15|1266|33,055,467|3|0|0|0
3|15|1266|33,047,280|3|0|0|0
3|15|1266|33,039,042|3|0|0|0
3|15|1266|33,030,827|3|0|0|0
-1|-1|-1|-1|-1|-1|-1|33,880,245
