N1|N2|QID|Time|Degree|Overtime|Heu|TotalTime
3|21|238357|954|1|0|1|0
3|21|238357|221|1|0|1|0
3|21|238357|209|1|0|1|0
3|21|238357|206|1|0|1|0
3|21|238357|207|1|0|1|0
3|21|238357|204|1|0|1|0
3|21|238357|202|1|0|1|0
3|21|238357|204|1|0|1|0
3|21|238357|209|1|0|1|0
3|21|238357|207|1|0|1|0
3|21|238357|204|1|0|1|0
3|21|238357|202|1|0|1|0
3|21|238357|211|1|0|1|0
3|21|238357|203|1|0|1|0
3|21|238357|201|1|0|1|0
3|21|238357|201|1|0|1|0
3|21|238357|211|1|0|1|0
3|21|238357|204|1|0|1|0
3|21|238357|203|1|0|1|0
3|21|238357|205|1|0|1|0
3|21|238357|203|1|0|1|0
3|21|238357|208|1|0|1|0
3|21|238357|203|1|0|1|0
3|21|238357|202|1|0|1|0
3|21|238357|202|1|0|1|0
3|21|238357|208|1|0|1|0
3|21|238357|202|1|0|1|0
3|21|238357|202|1|0|1|0
3|21|238357|201|1|0|1|0
3|21|238357|211|1|0|1|0
3|21|238357|203|1|0|1|0
3|21|238357|217|1|0|1|0
3|21|238357|208|1|0|1|0
3|21|238357|213|1|0|1|0
3|21|238357|206|1|0|1|0
3|21|238357|204|1|0|1|0
3|21|238357|203|1|0|1|0
3|21|238357|204|1|0|1|0
3|21|238357|205|1|0|1|0
3|21|238357|203|1|0|1|0
3|21|238357|202|1|0|1|0
3|21|238357|202|1|0|1|0
3|21|238357|210|1|0|1|0
3|21|238357|203|1|0|1|0
3|21|238357|200|1|0|1|0
3|21|238357|202|1|0|1|0
3|21|238357|208|1|0|1|0
3|21|238357|203|1|0|1|0
3|21|238357|202|1|0|1|0
3|21|238357|203|1|0|1|0
3|21|238357|209|1|0|1|0
3|21|238357|202|1|0|1|0
3|21|238357|201|1|0|1|0
3|21|238357|203|1|0|1|0
3|21|238357|202|1|0|1|0
3|21|238357|209|1|0|1|0
3|21|238357|203|1|0|1|0
3|21|238357|215|1|0|1|0
3|21|238357|205|1|0|1|0
3|21|238357|211|1|0|1|0
3|21|238357|203|1|0|1|0
3|21|238357|202|1|0|1|0
3|21|238357|201|1|0|1|0
3|21|238357|208|1|0|1|0
3|21|238357|201|1|0|1|0
3|21|238357|201|1|0|1|0
3|21|238357|200|1|0|1|0
3|21|238357|208|1|0|1|0
3|21|238357|201|1|0|1|0
3|21|238357|202|1|0|1|0
3|21|238357|202|1|0|1|0
3|21|238357|210|1|0|1|0
3|21|238357|204|1|0|1|0
3|21|238357|203|1|0|1|0
3|21|238357|202|1|0|1|0
3|21|238357|200|1|0|1|0
3|21|238357|208|1|0|1|0
3|21|238357|203|1|0|1|0
3|21|238357|201|1|0|1|0
3|21|238357|201|1|0|1|0
3|21|238357|210|1|0|1|0
3|21|238357|204|1|0|1|0
3|21|238357|203|1|0|1|0
3|21|238357|210|1|0|1|0
3|21|238357|213|1|0|1|0
3|21|238357|203|1|0|1|0
3|21|238357|202|1|0|1|0
3|21|238357|202|1|0|1|0
3|21|238357|208|1|0|1|0
3|21|238357|201|1|0|1|0
3|21|238357|201|1|0|1|0
3|21|238357|202|1|0|1|0
3|21|238357|202|1|0|1|0
3|21|238357|209|1|0|1|0
3|21|238357|201|1|0|1|0
3|21|238357|202|1|0|1|0
3|21|238357|201|1|0|1|0
3|21|238357|220|1|0|1|0
3|21|238357|206|1|0|1|0
3|21|238357|202|1|0|1|0
-1|-1|-1|-1|-1|-1|-1|47,650
