N1|N2|QID|Time|Degree|Overtime|Heu|TotalTime
9|21|5367|3,133|20|0|1|0
9|21|5367|2,207|20|0|1|0
9|21|5367|2,185|20|0|1|0
9|21|5367|2,207|20|0|1|0
9|21|5367|2,313|20|0|1|0
9|21|5367|2,199|20|0|1|0
9|21|5367|2,205|20|0|1|0
9|21|5367|2,169|20|0|1|0
9|21|5367|2,197|20|0|1|0
9|21|5367|2,209|20|0|1|0
9|21|5367|2,176|20|0|1|0
9|21|5367|2,183|20|0|1|0
9|21|5367|2,219|20|0|1|0
9|21|5367|2,277|20|0|1|0
9|21|5367|2,204|20|0|1|0
9|21|5367|2,214|20|0|1|0
9|21|5367|2,252|20|0|1|0
9|21|5367|2,176|20|0|1|0
9|21|5367|2,179|20|0|1|0
9|21|5367|2,246|20|0|1|0
9|21|5367|2,174|20|0|1|0
9|21|5367|2,179|20|0|1|0
9|21|5367|2,213|20|0|1|0
9|21|5367|2,190|20|0|1|0
9|21|5367|2,241|20|0|1|0
9|21|5367|2,208|20|0|1|0
9|21|5367|2,188|20|0|1|0
9|21|5367|2,251|20|0|1|0
9|21|5367|2,174|20|0|1|0
9|21|5367|2,243|20|0|1|0
9|21|5367|2,219|20|0|1|0
9|21|5367|2,189|20|0|1|0
9|21|5367|2,216|20|0|1|0
9|21|5367|2,206|20|0|1|0
9|21|5367|2,176|20|0|1|0
9|21|5367|2,204|20|0|1|0
9|21|5367|2,222|20|0|1|0
9|21|5367|2,192|20|0|1|0
9|21|5367|2,211|20|0|1|0
9|21|5367|2,196|20|0|1|0
9|21|5367|2,192|20|0|1|0
9|21|5367|2,207|20|0|1|0
9|21|5367|2,216|20|0|1|0
9|21|5367|2,200|20|0|1|0
9|21|5367|2,228|20|0|1|0
9|21|5367|2,198|20|0|1|0
9|21|5367|2,214|20|0|1|0
9|21|5367|2,204|20|0|1|0
9|21|5367|2,234|20|0|1|0
9|21|5367|2,240|20|0|1|0
9|21|5367|2,209|20|0|1|0
9|21|5367|2,205|20|0|1|0
9|21|5367|2,243|20|0|1|0
9|21|5367|2,178|20|0|1|0
9|21|5367|2,161|20|0|1|0
9|21|5367|2,171|20|0|1|0
9|21|5367|2,252|20|0|1|0
9|21|5367|2,208|20|0|1|0
9|21|5367|2,170|20|0|1|0
9|21|5367|2,216|20|0|1|0
9|21|5367|2,176|20|0|1|0
9|21|5367|2,158|20|0|1|0
9|21|5367|2,250|20|0|1|0
9|21|5367|2,183|20|0|1|0
9|21|5367|2,189|20|0|1|0
9|21|5367|2,173|20|0|1|0
9|21|5367|2,251|20|0|1|0
9|21|5367|2,180|20|0|1|0
9|21|5367|2,193|20|0|1|0
9|21|5367|2,224|20|0|1|0
9|21|5367|2,161|20|0|1|0
9|21|5367|2,161|20|0|1|0
9|21|5367|2,218|20|0|1|0
9|21|5367|2,242|20|0|1|0
9|21|5367|2,170|20|0|1|0
9|21|5367|2,194|20|0|1|0
9|21|5367|2,162|20|0|1|0
9|21|5367|2,217|20|0|1|0
9|21|5367|2,172|20|0|1|0
9|21|5367|2,185|20|0|1|0
9|21|5367|2,210|20|0|1|0
9|21|5367|2,251|20|0|1|0
9|21|5367|2,183|20|0|1|0
9|21|5367|2,162|20|0|1|0
9|21|5367|2,154|20|0|1|0
9|21|5367|2,190|20|0|1|0
9|21|5367|2,250|20|0|1|0
9|21|5367|2,208|20|0|1|0
9|21|5367|2,192|20|0|1|0
9|21|5367|2,169|20|0|1|0
9|21|5367|2,201|20|0|1|0
9|21|5367|2,178|20|0|1|0
9|21|5367|2,160|20|0|1|0
9|21|5367|2,167|20|0|1|0
9|21|5367|2,165|20|0|1|0
9|21|5367|2,152|20|0|1|0
9|21|5367|2,171|20|0|1|0
9|21|5367|2,157|20|0|1|0
9|21|5367|2,182|20|0|1|0
9|21|5367|2,190|20|0|1|0
-1|-1|-1|-1|-1|-1|-1|259,043
