N1|N2|QID|Time|Degree|Overtime|Heu|TotalTime
9|21|1473|117,102,832|13|0|0|0
9|21|1473|117,100,906|13|0|0|0
9|21|1473|117,098,437|13|0|0|0
9|21|1473|117,096,027|13|0|0|0
9|21|1473|117,093,622|13|0|0|0
9|21|1473|117,091,221|13|0|0|0
9|21|1473|117,088,803|13|0|0|0
9|21|1473|117,086,399|13|0|0|0
9|21|1473|117,083,998|13|0|0|0
9|21|1473|117,081,597|13|0|0|0
9|21|1473|117,079,192|13|0|0|0
9|21|1473|117,076,798|13|0|0|0
9|21|1473|117,074,396|13|0|0|0
9|21|1473|117,072,000|13|0|0|0
9|21|1473|117,069,594|13|0|0|0
9|21|1473|117,067,197|13|0|0|0
9|21|1473|117,064,796|13|0|0|0
9|21|1473|117,062,390|13|0|0|0
9|21|1473|117,059,994|13|0|0|0
9|21|1473|117,057,602|13|0|0|0
9|21|1473|117,055,207|13|0|0|0
9|21|1473|117,052,804|13|0|0|0
9|21|1473|117,050,408|13|0|0|0
9|21|1473|117,048,021|13|0|0|0
9|21|1473|117,035,810|13|0|0|0
9|21|1473|117,033,412|13|0|0|0
9|21|1473|117,031,017|13|0|0|0
9|21|1473|117,028,621|13|0|0|0
9|21|1473|117,026,219|13|0|0|0
9|21|1473|117,023,820|13|0|0|0
9|21|1473|117,021,423|13|0|0|0
9|21|1473|117,019,027|13|0|0|0
9|21|1473|117,006,895|13|0|0|0
9|21|1473|117,004,518|13|0|0|0
9|21|1473|117,002,124|13|0|0|0
9|21|1473|116,999,730|13|0|0|0
9|21|1473|116,997,321|13|0|0|0
9|21|1473|116,994,919|13|0|0|0
9|21|1473|116,992,515|13|0|0|0
9|21|1473|116,990,120|13|0|0|0
9|21|1473|116,987,718|13|0|0|0
9|21|1473|116,985,315|13|0|0|0
9|21|1473|116,982,934|13|0|0|0
9|21|1473|116,980,538|13|0|0|0
9|21|1473|116,978,132|13|0|0|0
9|21|1473|116,975,732|13|0|0|0
9|21|1473|116,973,348|13|0|0|0
9|21|1473|116,970,956|13|0|0|0
9|21|1473|116,968,567|13|0|0|0
9|21|1473|116,966,172|13|0|0|0
9|21|1473|116,963,781|13|0|0|0
9|21|1473|116,961,381|13|0|0|0
9|21|1473|116,958,992|13|0|0|0
9|21|1473|116,956,602|13|0|0|0
9|21|1473|116,954,205|13|0|0|0
9|21|1473|116,951,807|13|0|0|0
9|21|1473|116,949,414|13|0|0|0
9|21|1473|116,947,014|13|0|0|0
9|21|1473|116,944,621|13|0|0|0
9|21|1473|116,942,238|13|0|0|0
9|21|1473|116,939,895|13|0|0|0
9|21|1473|116,937,542|13|0|0|0
9|21|1473|116,935,134|13|0|0|0
9|21|1473|116,932,742|13|0|0|0
9|21|1473|116,920,587|13|0|0|0
9|21|1473|116,918,199|13|0|0|0
9|21|1473|116,915,813|13|0|0|0
9|21|1473|116,913,432|13|0|0|0
9|21|1473|116,911,051|13|0|0|0
9|21|1473|116,908,667|13|0|0|0
9|21|1473|116,906,269|13|0|0|0
9|21|1473|116,903,883|13|0|0|0
9|21|1473|116,901,486|13|0|0|0
9|21|1473|116,899,094|13|0|0|0
9|21|1473|116,896,704|13|0|0|0
9|21|1473|116,894,316|13|0|0|0
9|21|1473|116,891,921|13|0|0|0
9|21|1473|116,889,530|13|0|0|0
9|21|1473|116,887,137|13|0|0|0
9|21|1473|116,884,741|13|0|0|0
9|21|1473|116,872,580|13|0|0|0
9|21|1473|116,870,228|13|0|0|0
9|21|1473|116,867,861|13|0|0|0
9|21|1473|116,865,472|13|0|0|0
9|21|1473|117,012,589|13|0|0|0
9|21|1473|117,010,232|13|0|0|0
9|21|1473|117,007,844|13|0|0|0
9|21|1473|117,005,453|13|0|0|0
9|21|1473|117,211,965|13|0|0|0
9|21|1473|117,209,596|13|0|0|0
9|21|1473|117,207,192|13|0|0|0
9|21|1473|117,204,791|13|0|0|0
9|21|1473|117,182,817|13|0|0|0
9|21|1473|117,180,411|13|0|0|0
9|21|1473|117,178,021|13|0|0|0
9|21|1473|117,175,618|13|0|0|0
9|21|1473|117,046,251|13|0|0|0
9|21|1473|117,043,861|13|0|0|0
9|21|1473|117,041,465|13|0|0|0
9|21|1473|117,039,134|13|0|0|0
-1|-1|-1|-1|-1|-1|-1|117,295,620
