N1|N2|QID|Time|Degree|Overtime|Heu|TotalTime
6|21|5387|126,708,750|13|0|0|0
6|21|5387|126,706,527|13|0|0|0
6|21|5387|126,703,269|13|0|0|0
6|21|5387|126,699,995|13|0|0|0
6|21|5387|126,696,706|13|0|0|0
6|21|5387|126,693,436|13|0|0|0
6|21|5387|126,690,163|13|0|0|0
6|21|5387|126,686,912|13|0|0|0
6|21|5387|126,670,348|13|0|0|0
6|21|5387|126,667,078|13|0|0|0
6|21|5387|126,663,800|13|0|0|0
6|21|5387|126,660,528|13|0|0|0
6|21|5387|126,657,254|13|0|0|0
6|21|5387|126,653,989|13|0|0|0
6|21|5387|126,650,708|13|0|0|0
6|21|5387|126,647,437|13|0|0|0
6|21|5387|127,016,376|13|0|0|0
6|21|5387|127,012,683|13|0|0|0
6|21|5387|127,009,293|13|0|0|0
6|21|5387|127,005,906|13|0|0|0
6|21|5387|127,002,590|13|0|0|0
6|21|5387|126,999,303|13|0|0|0
6|21|5387|126,996,015|13|0|0|0
6|21|5387|126,992,738|13|0|0|0
6|21|5387|126,989,456|13|0|0|0
6|21|5387|126,986,160|13|0|0|0
6|21|5387|126,982,952|13|0|0|0
6|21|5387|126,979,701|13|0|0|0
6|21|5387|126,976,420|13|0|0|0
6|21|5387|126,973,147|13|0|0|0
6|21|5387|126,969,857|13|0|0|0
6|21|5387|126,966,570|13|0|0|0
6|21|5387|126,963,287|13|0|0|0
6|21|5387|126,960,002|13|0|0|0
6|21|5387|126,956,727|13|0|0|0
6|21|5387|126,953,456|13|0|0|0
6|21|5387|126,950,172|13|0|0|0
6|21|5387|126,946,893|13|0|0|0
6|21|5387|126,943,610|13|0|0|0
6|21|5387|126,940,338|13|0|0|0
6|21|5387|126,937,060|13|0|0|0
6|21|5387|126,933,779|13|0|0|0
6|21|5387|126,930,498|13|0|0|0
6|21|5387|126,927,221|13|0|0|0
6|21|5387|126,923,938|13|0|0|0
6|21|5387|126,920,679|13|0|0|0
6|21|5387|126,917,407|13|0|0|0
6|21|5387|126,914,121|13|0|0|0
6|21|5387|126,910,842|13|0|0|0
6|21|5387|126,907,426|13|0|0|0
6|21|5387|126,904,104|13|0|0|0
6|21|5387|126,900,797|13|0|0|0
6|21|5387|126,897,383|13|0|0|0
6|21|5387|126,894,112|13|0|0|0
6|21|5387|126,890,826|13|0|0|0
6|21|5387|126,887,537|13|0|0|0
6|21|5387|126,884,270|13|0|0|0
6|21|5387|126,881,015|13|0|0|0
6|21|5387|126,877,690|13|0|0|0
6|21|5387|126,874,415|13|0|0|0
6|21|5387|126,871,146|13|0|0|0
6|21|5387|126,867,871|13|0|0|0
6|21|5387|126,864,608|13|0|0|0
6|21|5387|126,861,327|13|0|0|0
6|21|5387|126,858,062|13|0|0|0
6|21|5387|126,854,790|13|0|0|0
6|21|5387|126,851,521|13|0|0|0
6|21|5387|126,848,248|13|0|0|0
6|21|5387|126,844,974|13|0|0|0
6|21|5387|126,841,698|13|0|0|0
6|21|5387|126,838,429|13|0|0|0
6|21|5387|126,835,157|13|0|0|0
6|21|5387|126,831,885|13|0|0|0
6|21|5387|126,828,615|13|0|0|0
6|21|5387|126,825,339|13|0|0|0
6|21|5387|126,822,038|13|0|0|0
6|21|5387|126,792,159|13|0|0|0
6|21|5387|126,788,877|13|0|0|0
6|21|5387|126,785,602|13|0|0|0
6|21|5387|126,782,329|13|0|0|0
6|21|5387|126,752,485|13|0|0|0
6|21|5387|126,749,211|13|0|0|0
6|21|5387|126,745,944|13|0|0|0
6|21|5387|126,742,660|13|0|0|0
6|21|5387|126,739,394|13|0|0|0
6|21|5387|126,736,114|13|0|0|0
6|21|5387|126,732,865|13|0|0|0
6|21|5387|126,729,615|13|0|0|0
6|21|5387|126,726,342|13|0|0|0
6|21|5387|126,723,069|13|0|0|0
6|21|5387|126,719,793|13|0|0|0
6|21|5387|126,716,535|13|0|0|0
6|21|5387|126,713,290|13|0|0|0
6|21|5387|126,710,014|13|0|0|0
6|21|5387|126,706,730|13|0|0|0
6|21|5387|126,703,430|13|0|0|0
6|21|5387|126,700,151|13|0|0|0
6|21|5387|126,696,881|13|0|0|0
6|21|5387|126,693,592|13|0|0|0
6|21|5387|126,690,311|13|0|0|0
-1|-1|-1|-1|-1|-1|-1|127,110,148
