N1|N2|QID|Time|Degree|Overtime|Heu|TotalTime
6|21|1266|32,450,551|3|0|0|0
6|21|1266|32,442,198|3|0|0|0
6|21|1266|32,430,386|3|0|0|0
6|21|1266|32,418,817|3|0|0|0
6|21|1266|32,407,174|3|0|0|0
6|21|1266|32,395,570|3|0|0|0
6|21|1266|32,383,886|3|0|0|0
6|21|1266|32,372,263|3|0|0|0
6|21|1266|32,360,677|3|0|0|0
6|21|1266|32,349,041|3|0|0|0
6|21|1266|32,337,460|3|0|0|0
6|21|1266|32,325,905|3|0|0|0
6|21|1266|32,314,286|3|0|0|0
6|21|1266|32,302,608|3|0|0|0
6|21|1266|32,290,955|3|0|0|0
6|21|1266|32,279,270|3|0|0|0
6|21|1266|32,267,577|3|0|0|0
6|21|1266|32,255,808|3|0|0|0
6|21|1266|32,244,135|3|0|0|0
6|21|1266|32,232,388|3|0|0|0
6|21|1266|32,220,706|3|0|0|0
6|21|1266|32,209,005|3|0|0|0
6|21|1266|32,197,324|3|0|0|0
6|21|1266|32,185,657|3|0|0|0
6|21|1266|32,174,027|3|0|0|0
6|21|1266|32,162,349|3|0|0|0
6|21|1266|32,150,543|3|0|0|0
6|21|1266|32,138,743|3|0|0|0
6|21|1266|32,127,159|3|0|0|0
6|21|1266|32,115,502|3|0|0|0
6|21|1266|32,103,770|3|0|0|0
6|21|1266|32,092,078|3|0|0|0
6|21|1266|32,080,426|3|0|0|0
6|21|1266|32,068,840|3|0|0|0
6|21|1266|32,057,242|3|0|0|0
6|21|1266|32,045,613|3|0|0|0
6|21|1266|32,033,982|3|0|0|0
6|21|1266|32,022,418|3|0|0|0
6|21|1266|32,010,782|3|0|0|0
6|21|1266|31,999,025|3|0|0|0
6|21|1266|31,987,356|3|0|0|0
6|21|1266|31,975,652|3|0|0|0
6|21|1266|31,964,043|3|0|0|0
6|21|1266|31,952,459|3|0|0|0
6|21|1266|31,940,820|3|0|0|0
6|21|1266|31,929,228|3|0|0|0
6|21|1266|31,917,454|3|0|0|0
6|21|1266|31,905,838|3|0|0|0
6|21|1266|31,894,125|3|0|0|0
6|21|1266|31,882,560|3|0|0|0
6|21|1266|31,870,890|3|0|0|0
6|21|1266|31,859,175|3|0|0|0
6|21|1266|31,847,505|3|0|0|0
6|21|1266|31,835,792|3|0|0|0
6|21|1266|31,824,050|3|0|0|0
6|21|1266|31,812,394|3|0|0|0
6|21|1266|31,800,693|3|0|0|0
6|21|1266|31,789,101|3|0|0|0
6|21|1266|31,777,441|3|0|0|0
6|21|1266|31,765,721|3|0|0|0
6|21|1266|31,754,038|3|0|0|0
6|21|1266|31,742,337|3|0|0|0
6|21|1266|31,730,635|3|0|0|0
6|21|1266|31,719,019|3|0|0|0
6|21|1266|31,707,445|3|0|0|0
6|21|1266|31,695,782|3|0|0|0
6|21|1266|31,684,214|3|0|0|0
6|21|1266|31,672,537|3|0|0|0
6|21|1266|31,660,907|3|0|0|0
6|21|1266|31,649,312|3|0|0|0
6|21|1266|31,637,698|3|0|0|0
6|21|1266|31,626,083|3|0|0|0
6|21|1266|31,614,462|3|0|0|0
6|21|1266|31,602,795|3|0|0|0
6|21|1266|31,591,018|3|0|0|0
6|21|1266|31,579,428|3|0|0|0
6|21|1266|31,567,791|3|0|0|0
6|21|1266|31,556,109|3|0|0|0
6|21|1266|31,544,431|3|0|0|0
6|21|1266|31,532,781|3|0|0|0
6|21|1266|31,521,153|3|0|0|0
6|21|1266|31,508,793|3|0|0|0
6|21|1266|31,497,196|3|0|0|0
6|21|1266|31,485,407|3|0|0|0
6|21|1266|31,473,803|3|0|0|0
6|21|1266|31,462,224|3|0|0|0
6|21|1266|31,450,583|3|0|0|0
6|21|1266|31,438,929|3|0|0|0
6|21|1266|31,427,352|3|0|0|0
6|21|1266|31,415,711|3|0|0|0
6|21|1266|31,404,141|3|0|0|0
6|21|1266|31,392,541|3|0|0|0
6|21|1266|31,380,706|3|0|0|0
6|21|1266|31,369,085|3|0|0|0
6|21|1266|31,357,445|3|0|0|0
6|21|1266|31,345,828|3|0|0|0
6|21|1266|31,334,035|3|0|0|0
6|21|1266|31,322,313|3|0|0|0
6|21|1266|31,310,718|3|0|0|0
6|21|1266|31,298,971|3|0|0|0
-1|-1|-1|-1|-1|-1|-1|32,514,657
