N1|N2|QID|Time|Degree|Overtime|Heu|TotalTime
9|12|321|3,561,436|6|0|0|0
9|12|321|3,521,746|6|0|0|0
9|12|321|3,479,290|6|0|0|0
9|12|321|3,443,631|6|0|0|0
9|12|321|3,407,830|6|0|0|0
9|12|321|3,371,973|6|0|0|0
9|12|321|3,337,202|6|0|0|0
9|12|321|3,302,306|6|0|0|0
9|12|321|3,267,575|6|0|0|0
9|12|321|3,232,835|6|0|0|0
9|12|321|3,198,113|6|0|0|0
9|12|321|3,163,405|6|0|0|0
9|12|321|3,128,732|6|0|0|0
9|12|321|3,094,010|6|0|0|0
9|12|321|3,059,230|6|0|0|0
9|12|321|3,024,490|6|0|0|0
9|12|321|2,989,767|6|0|0|0
9|12|321|2,955,011|6|0|0|0
9|12|321|2,920,187|6|0|0|0
9|12|321|2,885,192|6|0|0|0
9|12|321|2,850,475|6|0|0|0
9|12|321|2,815,748|6|0|0|0
9|12|321|2,781,020|6|0|0|0
9|12|321|2,746,241|6|0|0|0
9|12|321|2,711,529|6|0|0|0
9|12|321|2,676,816|6|0|0|0
9|12|321|2,641,367|6|0|0|0
9|12|321|2,607,786|6|0|0|0
9|12|321|2,572,944|6|0|0|0
9|12|321|2,536,648|6|0|0|0
9|12|321|2,501,876|6|0|0|0
9|12|321|2,467,148|6|0|0|0
9|12|321|2,432,388|6|0|0|0
9|12|321|2,397,686|6|0|0|0
9|12|321|2,362,967|6|0|0|0
9|12|321|2,328,141|6|0|0|0
9|12|321|2,293,394|6|0|0|0
9|12|321|2,258,674|6|0|0|0
9|12|321|2,223,843|6|0|0|0
9|12|321|2,188,882|6|0|0|0
9|12|321|2,153,902|6|0|0|0
9|12|321|2,119,175|6|0|0|0
9|12|321|2,084,303|6|0|0|0
9|12|321|2,049,355|6|0|0|0
9|12|321|2,014,801|6|0|0|0
9|12|321|1,980,040|6|0|0|0
9|12|321|1,944,989|6|0|0|0
9|12|321|1,910,207|6|0|0|0
9|12|321|1,875,504|6|0|0|0
9|12|321|1,840,415|6|0|0|0
9|12|321|1,805,632|6|0|0|0
9|12|321|1,770,838|6|0|0|0
9|12|321|1,736,038|6|0|0|0
9|12|321|1,701,299|6|0|0|0
9|12|321|1,666,568|6|0|0|0
9|12|321|1,631,650|6|0|0|0
9|12|321|1,596,923|6|0|0|0
9|12|321|1,562,188|6|0|0|0
9|12|321|1,527,446|6|0|0|0
9|12|321|1,492,693|6|0|0|0
9|12|321|1,457,977|6|0|0|0
9|12|321|1,423,214|6|0|0|0
9|12|321|1,388,307|6|0|0|0
9|12|321|1,353,536|6|0|0|0
9|12|321|1,318,794|6|0|0|0
9|12|321|1,284,058|6|0|0|0
9|12|321|1,248,145|6|0|0|0
9|12|321|1,213,139|6|0|0|0
9|12|321|1,178,379|6|0|0|0
9|12|321|1,143,386|6|0|0|0
9|12|321|1,108,645|6|0|0|0
9|12|321|1,073,896|6|0|0|0
9|12|321|1,039,067|6|0|0|0
9|12|321|1,004,387|6|0|0|0
9|12|321|969,651|6|0|0|0
9|12|321|934,890|6|0|0|0
9|12|321|899,995|6|0|0|0
9|12|321|865,238|6|0|0|0
9|12|321|830,269|6|0|0|0
9|12|321|795,518|6|0|0|0
9|12|321|760,814|6|0|0|0
9|12|321|726,052|6|0|0|0
9|12|321|691,313|6|0|0|0
9|12|321|656,589|6|0|0|0
9|12|321|621,628|6|0|0|0
9|12|321|586,886|6|0|0|0
9|12|321|552,138|6|0|0|0
9|12|321|517,172|6|0|0|0
9|12|321|482,453|6|0|0|0
9|12|321|447,723|6|0|0|0
9|12|321|411,746|6|0|0|0
9|12|321|374,905|6|0|0|0
9|12|321|340,070|6|0|0|0
9|12|321|305,255|6|0|0|0
9|12|321|270,485|6|0|0|0
9|12|321|235,716|6|0|0|0
9|12|321|200,981|6|0|0|0
9|12|321|166,205|6|0|0|0
9|12|321|131,452|6|0|0|0
9|12|321|96,742|6|0|0|0
-1|-1|-1|-1|-1|-1|-1|3,660,783
