N1|N2|QID|Time|Degree|Overtime|Heu|TotalTime
9|12|321|3,545,606|6|0|0|0
9|12|321|3,506,846|6|0|0|0
9|12|321|3,471,994|6|0|0|0
9|12|321|3,437,238|6|0|0|0
9|12|321|3,402,429|6|0|0|0
9|12|321|3,367,673|6|0|0|0
9|12|321|3,332,986|6|0|0|0
9|12|321|3,298,276|6|0|0|0
9|12|321|3,263,503|6|0|0|0
9|12|321|3,228,784|6|0|0|0
9|12|321|3,193,988|6|0|0|0
9|12|321|3,159,080|6|0|0|0
9|12|321|3,124,390|6|0|0|0
9|12|321|3,089,498|6|0|0|0
9|12|321|3,054,752|6|0|0|0
9|12|321|3,020,035|6|0|0|0
9|12|321|2,985,304|6|0|0|0
9|12|321|2,950,560|6|0|0|0
9|12|321|2,915,829|6|0|0|0
9|12|321|2,880,869|6|0|0|0
9|12|321|2,846,147|6|0|0|0
9|12|321|2,811,456|6|0|0|0
9|12|321|2,776,486|6|0|0|0
9|12|321|2,741,759|6|0|0|0
9|12|321|2,707,054|6|0|0|0
9|12|321|2,672,359|6|0|0|0
9|12|321|2,637,631|6|0|0|0
9|12|321|2,602,912|6|0|0|0
9|12|321|2,568,135|6|0|0|0
9|12|321|2,532,602|6|0|0|0
9|12|321|2,497,603|6|0|0|0
9|12|321|2,462,914|6|0|0|0
9|12|321|2,428,171|6|0|0|0
9|12|321|2,392,932|6|0|0|0
9|12|321|2,357,261|6|0|0|0
9|12|321|2,322,514|6|0|0|0
9|12|321|2,287,814|6|0|0|0
9|12|321|2,253,109|6|0|0|0
9|12|321|2,218,364|6|0|0|0
9|12|321|2,183,677|6|0|0|0
9|12|321|2,148,952|6|0|0|0
9|12|321|2,114,221|6|0|0|0
9|12|321|2,079,510|6|0|0|0
9|12|321|2,044,760|6|0|0|0
9|12|321|2,010,083|6|0|0|0
9|12|321|1,975,410|6|0|0|0
9|12|321|1,940,711|6|0|0|0
9|12|321|1,905,989|6|0|0|0
9|12|321|1,871,314|6|0|0|0
9|12|321|1,836,601|6|0|0|0
9|12|321|1,801,879|6|0|0|0
9|12|321|1,767,175|6|0|0|0
9|12|321|1,732,473|6|0|0|0
9|12|321|1,697,770|6|0|0|0
9|12|321|1,663,077|6|0|0|0
9|12|321|1,628,178|6|0|0|0
9|12|321|1,593,490|6|0|0|0
9|12|321|1,557,784|6|0|0|0
9|12|321|1,521,746|6|0|0|0
9|12|321|1,486,743|6|0|0|0
9|12|321|1,452,034|6|0|0|0
9|12|321|1,417,178|6|0|0|0
9|12|321|1,382,457|6|0|0|0
9|12|321|1,347,737|6|0|0|0
9|12|321|1,313,042|6|0|0|0
9|12|321|1,278,367|6|0|0|0
9|12|321|1,243,622|6|0|0|0
9|12|321|1,208,909|6|0|0|0
9|12|321|1,174,217|6|0|0|0
9|12|321|1,139,486|6|0|0|0
9|12|321|1,104,775|6|0|0|0
9|12|321|1,068,522|6|0|0|0
9|12|321|1,033,677|6|0|0|0
9|12|321|998,959|6|0|0|0
9|12|321|964,207|6|0|0|0
9|12|321|929,482|6|0|0|0
9|12|321|894,736|6|0|0|0
9|12|321|860,034|6|0|0|0
9|12|321|825,306|6|0|0|0
9|12|321|790,580|6|0|0|0
9|12|321|755,718|6|0|0|0
9|12|321|720,996|6|0|0|0
9|12|321|686,304|6|0|0|0
9|12|321|651,414|6|0|0|0
9|12|321|616,685|6|0|0|0
9|12|321|582,006|6|0|0|0
9|12|321|547,303|6|0|0|0
9|12|321|512,550|6|0|0|0
9|12|321|477,869|6|0|0|0
9|12|321|442,971|6|0|0|0
9|12|321|408,264|6|0|0|0
9|12|321|373,575|6|0|0|0
9|12|321|338,673|6|0|0|0
9|12|321|303,977|6|0|0|0
9|12|321|269,287|6|0|0|0
9|12|321|234,567|6|0|0|0
9|12|321|199,871|6|0|0|0
9|12|321|165,199|6|0|0|0
9|12|321|130,467|6|0|0|0
9|12|321|95,739|6|0|0|0
-1|-1|-1|-1|-1|-1|-1|3,563,989
