N1|N2|QID|Time|Degree|Overtime|Heu|TotalTime
9|12|1127|4,038,372|9|0|0|0
9|12|1127|4,036,115|9|0|0|0
9|12|1127|4,034,256|9|0|0|0
9|12|1127|4,032,431|9|0|0|0
9|12|1127|4,030,628|9|0|0|0
9|12|1127|4,028,830|9|0|0|0
9|12|1127|4,027,037|9|0|0|0
9|12|1127|4,025,258|9|0|0|0
9|12|1127|4,023,460|9|0|0|0
9|12|1127|4,021,662|9|0|0|0
9|12|1127|4,019,867|9|0|0|0
9|12|1127|4,018,087|9|0|0|0
9|12|1127|4,016,300|9|0|0|0
9|12|1127|4,014,512|9|0|0|0
9|12|1127|4,012,724|9|0|0|0
9|12|1127|4,010,927|9|0|0|0
9|12|1127|4,009,130|9|0|0|0
9|12|1127|4,007,337|9|0|0|0
9|12|1127|4,005,544|9|0|0|0
9|12|1127|4,003,768|9|0|0|0
9|12|1127|4,001,970|9|0|0|0
9|12|1127|4,000,174|9|0|0|0
9|12|1127|3,998,381|9|0|0|0
9|12|1127|3,996,586|9|0|0|0
9|12|1127|3,994,797|9|0|0|0
9|12|1127|3,993,002|9|0|0|0
9|12|1127|3,991,212|9|0|0|0
9|12|1127|3,989,430|9|0|0|0
9|12|1127|3,987,638|9|0|0|0
9|12|1127|3,985,863|9|0|0|0
9|12|1127|3,984,069|9|0|0|0
9|12|1127|3,982,279|9|0|0|0
9|12|1127|3,980,481|9|0|0|0
9|12|1127|3,978,667|9|0|0|0
9|12|1127|3,976,867|9|0|0|0
9|12|1127|3,975,078|9|0|0|0
9|12|1127|3,973,285|9|0|0|0
9|12|1127|3,971,488|9|0|0|0
9|12|1127|3,969,697|9|0|0|0
9|12|1127|3,968,100|9|0|0|0
9|12|1127|3,966,318|9|0|0|0
9|12|1127|3,964,519|9|0|0|0
9|12|1127|3,962,725|9|0|0|0
9|12|1127|3,960,942|9|0|0|0
9|12|1127|3,959,174|9|0|0|0
9|12|1127|3,957,375|9|0|0|0
9|12|1127|3,955,582|9|0|0|0
9|12|1127|3,953,789|9|0|0|0
9|12|1127|3,952,001|9|0|0|0
9|12|1127|3,950,222|9|0|0|0
9|12|1127|3,948,436|9|0|0|0
9|12|1127|3,946,642|9|0|0|0
9|12|1127|3,944,845|9|0|0|0
9|12|1127|3,943,052|9|0|0|0
9|12|1127|3,941,267|9|0|0|0
9|12|1127|3,939,484|9|0|0|0
9|12|1127|3,937,696|9|0|0|0
9|12|1127|3,935,924|9|0|0|0
9|12|1127|3,934,132|9|0|0|0
9|12|1127|3,932,339|9|0|0|0
9|12|1127|3,930,552|9|0|0|0
9|12|1127|3,928,770|9|0|0|0
9|12|1127|3,926,980|9|0|0|0
9|12|1127|3,925,193|9|0|0|0
9|12|1127|3,923,406|9|0|0|0
9|12|1127|3,921,627|9|0|0|0
9|12|1127|3,919,835|9|0|0|0
9|12|1127|3,918,054|9|0|0|0
9|12|1127|3,916,264|9|0|0|0
9|12|1127|3,914,465|9|0|0|0
9|12|1127|3,912,672|9|0|0|0
9|12|1127|3,910,883|9|0|0|0
9|12|1127|3,909,087|9|0|0|0
9|12|1127|3,907,308|9|0|0|0
9|12|1127|3,905,519|9|0|0|0
9|12|1127|3,903,725|9|0|0|0
9|12|1127|3,901,927|9|0|0|0
9|12|1127|3,900,134|9|0|0|0
9|12|1127|3,898,345|9|0|0|0
9|12|1127|3,896,554|9|0|0|0
9|12|1127|3,894,758|9|0|0|0
9|12|1127|3,892,969|9|0|0|0
9|12|1127|3,891,166|9|0|0|0
9|12|1127|3,889,375|9|0|0|0
9|12|1127|3,887,598|9|0|0|0
9|12|1127|3,885,806|9|0|0|0
9|12|1127|3,884,016|9|0|0|0
9|12|1127|3,882,230|9|0|0|0
9|12|1127|3,880,415|9|0|0|0
9|12|1127|3,878,629|9|0|0|0
9|12|1127|3,876,828|9|0|0|0
9|12|1127|3,875,042|9|0|0|0
9|12|1127|3,873,251|9|0|0|0
9|12|1127|3,871,466|9|0|0|0
9|12|1127|3,869,670|9|0|0|0
9|12|1127|3,867,868|9|0|0|0
9|12|1127|3,866,066|9|0|0|0
9|12|1127|3,864,278|9|0|0|0
9|12|1127|3,862,495|9|0|0|0
9|12|1127|3,860,726|9|0|0|0
-1|-1|-1|-1|-1|-1|-1|4,111,610
