N1|N2|QID|Time|Degree|Overtime|Heu|TotalTime
9|12|1127|4,445,979|9|0|0|0
9|12|1127|4,444,193|9|0|0|0
9|12|1127|4,442,327|9|0|0|0
9|12|1127|4,440,522|9|0|0|0
9|12|1127|4,438,719|9|0|0|0
9|12|1127|4,436,922|9|0|0|0
9|12|1127|4,435,123|9|0|0|0
9|12|1127|4,433,322|9|0|0|0
9|12|1127|4,431,527|9|0|0|0
9|12|1127|4,429,740|9|0|0|0
9|12|1127|4,427,962|9|0|0|0
9|12|1127|4,426,174|9|0|0|0
9|12|1127|4,424,350|9|0|0|0
9|12|1127|4,422,551|9|0|0|0
9|12|1127|4,420,756|9|0|0|0
9|12|1127|4,418,961|9|0|0|0
9|12|1127|4,417,171|9|0|0|0
9|12|1127|4,415,403|9|0|0|0
9|12|1127|4,413,612|9|0|0|0
9|12|1127|4,411,836|9|0|0|0
9|12|1127|4,410,046|9|0|0|0
9|12|1127|4,408,255|9|0|0|0
9|12|1127|4,406,462|9|0|0|0
9|12|1127|4,404,666|9|0|0|0
9|12|1127|4,402,876|9|0|0|0
9|12|1127|4,401,083|9|0|0|0
9|12|1127|4,399,286|9|0|0|0
9|12|1127|4,397,494|9|0|0|0
9|12|1127|4,395,705|9|0|0|0
9|12|1127|4,393,912|9|0|0|0
9|12|1127|4,392,126|9|0|0|0
9|12|1127|4,390,349|9|0|0|0
9|12|1127|4,388,560|9|0|0|0
9|12|1127|4,386,768|9|0|0|0
9|12|1127|4,384,972|9|0|0|0
9|12|1127|4,383,191|9|0|0|0
9|12|1127|4,381,409|9|0|0|0
9|12|1127|4,379,624|9|0|0|0
9|12|1127|4,377,830|9|0|0|0
9|12|1127|4,376,044|9|0|0|0
9|12|1127|4,374,267|9|0|0|0
9|12|1127|4,372,484|9|0|0|0
9|12|1127|4,370,702|9|0|0|0
9|12|1127|4,368,919|9|0|0|0
9|12|1127|4,367,136|9|0|0|0
9|12|1127|4,365,342|9|0|0|0
9|12|1127|4,363,561|9|0|0|0
9|12|1127|4,361,779|9|0|0|0
9|12|1127|4,359,989|9|0|0|0
9|12|1127|4,358,198|9|0|0|0
9|12|1127|4,356,599|9|0|0|0
9|12|1127|4,354,807|9|0|0|0
9|12|1127|4,353,019|9|0|0|0
9|12|1127|4,351,228|9|0|0|0
9|12|1127|4,349,439|9|0|0|0
9|12|1127|4,347,642|9|0|0|0
9|12|1127|4,345,841|9|0|0|0
9|12|1127|4,344,056|9|0|0|0
9|12|1127|4,342,257|9|0|0|0
9|12|1127|4,340,475|9|0|0|0
9|12|1127|4,338,707|9|0|0|0
9|12|1127|4,336,915|9|0|0|0
9|12|1127|4,335,121|9|0|0|0
9|12|1127|4,333,336|9|0|0|0
9|12|1127|4,331,545|9|0|0|0
9|12|1127|4,329,767|9|0|0|0
9|12|1127|4,327,988|9|0|0|0
9|12|1127|4,326,178|9|0|0|0
9|12|1127|4,324,396|9|0|0|0
9|12|1127|4,322,611|9|0|0|0
9|12|1127|4,320,825|9|0|0|0
9|12|1127|4,319,034|9|0|0|0
9|12|1127|4,317,249|9|0|0|0
9|12|1127|4,315,453|9|0|0|0
9|12|1127|4,313,669|9|0|0|0
9|12|1127|4,311,870|9|0|0|0
9|12|1127|4,310,085|9|0|0|0
9|12|1127|4,308,297|9|0|0|0
9|12|1127|4,306,502|9|0|0|0
9|12|1127|4,304,717|9|0|0|0
9|12|1127|4,302,928|9|0|0|0
9|12|1127|4,301,142|9|0|0|0
9|12|1127|4,299,363|9|0|0|0
9|12|1127|4,297,581|9|0|0|0
9|12|1127|4,295,802|9|0|0|0
9|12|1127|4,294,012|9|0|0|0
9|12|1127|4,292,238|9|0|0|0
9|12|1127|4,290,443|9|0|0|0
9|12|1127|4,288,650|9|0|0|0
9|12|1127|4,286,877|9|0|0|0
9|12|1127|4,285,092|9|0|0|0
9|12|1127|4,283,309|9|0|0|0
9|12|1127|4,281,516|9|0|0|0
9|12|1127|4,279,725|9|0|0|0
9|12|1127|4,277,938|9|0|0|0
9|12|1127|4,276,171|9|0|0|0
9|12|1127|4,274,389|9|0|0|0
9|12|1127|4,272,610|9|0|0|0
9|12|1127|4,270,822|9|0|0|0
9|12|1127|4,269,029|9|0|0|0
-1|-1|-1|-1|-1|-1|-1|4,548,036
