N1|N2|QID|Time|Degree|Overtime|Heu|TotalTime
9|12|6876|282,461|8|0|0|0
9|12|6876|280,544|8|0|0|0
9|12|6876|278,987|8|0|0|0
9|12|6876|277,454|8|0|0|0
9|12|6876|275,938|8|0|0|0
9|12|6876|274,428|8|0|0|0
9|12|6876|272,919|8|0|0|0
9|12|6876|271,576|8|0|0|0
9|12|6876|270,097|8|0|0|0
9|12|6876|268,603|8|0|0|0
9|12|6876|267,100|8|0|0|0
9|12|6876|265,603|8|0|0|0
9|12|6876|264,108|8|0|0|0
9|12|6876|262,608|8|0|0|0
9|12|6876|261,108|8|0|0|0
9|12|6876|259,609|8|0|0|0
9|12|6876|258,112|8|0|0|0
9|12|6876|256,612|8|0|0|0
9|12|6876|255,112|8|0|0|0
9|12|6876|253,607|8|0|0|0
9|12|6876|252,111|8|0|0|0
9|12|6876|250,625|8|0|0|0
9|12|6876|249,131|8|0|0|0
9|12|6876|247,629|8|0|0|0
9|12|6876|245,928|8|0|0|0
9|12|6876|244,429|8|0|0|0
9|12|6876|242,935|8|0|0|0
9|12|6876|241,437|8|0|0|0
9|12|6876|239,934|8|0|0|0
9|12|6876|238,433|8|0|0|0
9|12|6876|236,933|8|0|0|0
9|12|6876|235,435|8|0|0|0
9|12|6876|233,933|8|0|0|0
9|12|6876|232,619|8|0|0|0
9|12|6876|231,118|8|0|0|0
9|12|6876|229,609|8|0|0|0
9|12|6876|228,104|8|0|0|0
9|12|6876|226,603|8|0|0|0
9|12|6876|225,126|8|0|0|0
9|12|6876|223,629|8|0|0|0
9|12|6876|222,125|8|0|0|0
9|12|6876|220,618|8|0|0|0
9|12|6876|219,115|8|0|0|0
9|12|6876|217,617|8|0|0|0
9|12|6876|216,116|8|0|0|0
9|12|6876|214,620|8|0|0|0
9|12|6876|213,117|8|0|0|0
9|12|6876|211,627|8|0|0|0
9|12|6876|210,131|8|0|0|0
9|12|6876|208,633|8|0|0|0
9|12|6876|207,128|8|0|0|0
9|12|6876|205,627|8|0|0|0
9|12|6876|204,121|8|0|0|0
9|12|6876|202,621|8|0|0|0
9|12|6876|201,125|8|0|0|0
9|12|6876|199,626|8|0|0|0
9|12|6876|198,125|8|0|0|0
9|12|6876|196,623|8|0|0|0
9|12|6876|195,128|8|0|0|0
9|12|6876|193,625|8|0|0|0
9|12|6876|192,130|8|0|0|0
9|12|6876|190,637|8|0|0|0
9|12|6876|189,140|8|0|0|0
9|12|6876|187,646|8|0|0|0
9|12|6876|186,144|8|0|0|0
9|12|6876|184,648|8|0|0|0
9|12|6876|183,156|8|0|0|0
9|12|6876|181,656|8|0|0|0
9|12|6876|180,189|8|0|0|0
9|12|6876|178,695|8|0|0|0
9|12|6876|177,193|8|0|0|0
9|12|6876|175,695|8|0|0|0
9|12|6876|174,197|8|0|0|0
9|12|6876|172,701|8|0|0|0
9|12|6876|171,191|8|0|0|0
9|12|6876|169,698|8|0|0|0
9|12|6876|168,202|8|0|0|0
9|12|6876|166,694|8|0|0|0
9|12|6876|165,190|8|0|0|0
9|12|6876|163,692|8|0|0|0
9|12|6876|162,199|8|0|0|0
9|12|6876|160,698|8|0|0|0
9|12|6876|159,199|8|0|0|0
9|12|6876|157,707|8|0|0|0
9|12|6876|156,210|8|0|0|0
9|12|6876|154,706|8|0|0|0
9|12|6876|153,206|8|0|0|0
9|12|6876|151,718|8|0|0|0
9|12|6876|150,240|8|0|0|0
9|12|6876|148,748|8|0|0|0
9|12|6876|147,226|8|0|0|0
9|12|6876|145,724|8|0|0|0
9|12|6876|144,224|8|0|0|0
9|12|6876|142,724|8|0|0|0
9|12|6876|141,228|8|0|0|0
9|12|6876|139,730|8|0|0|0
9|12|6876|138,232|8|0|0|0
9|12|6876|136,774|8|0|0|0
9|12|6876|135,293|8|0|0|0
9|12|6876|133,795|8|0|0|0
-1|-1|-1|-1|-1|-1|-1|338,136
