N1|N2|QID|Time|Degree|Overtime|Heu|TotalTime
9|12|1452|3,857,006|9|0|0|0
9|12|1452|3,851,104|9|0|0|0
9|12|1452|3,843,944|9|0|0|0
9|12|1452|3,836,844|9|0|0|0
9|12|1452|3,829,769|9|0|0|0
9|12|1452|3,822,737|9|0|0|0
9|12|1452|3,815,698|9|0|0|0
9|12|1452|3,808,655|9|0|0|0
9|12|1452|3,801,601|9|0|0|0
9|12|1452|3,794,543|9|0|0|0
9|12|1452|3,787,469|9|0|0|0
9|12|1452|3,780,248|9|0|0|0
9|12|1452|3,773,181|9|0|0|0
9|12|1452|3,766,113|9|0|0|0
9|12|1452|3,759,064|9|0|0|0
9|12|1452|3,752,041|9|0|0|0
9|12|1452|3,744,948|9|0|0|0
9|12|1452|3,737,872|9|0|0|0
9|12|1452|3,730,830|9|0|0|0
9|12|1452|3,723,755|9|0|0|0
9|12|1452|3,716,712|9|0|0|0
9|12|1452|3,709,676|9|0|0|0
9|12|1452|3,702,628|9|0|0|0
9|12|1452|3,695,615|9|0|0|0
9|12|1452|3,688,554|9|0|0|0
9|12|1452|3,681,512|9|0|0|0
9|12|1452|3,674,437|9|0|0|0
9|12|1452|3,667,710|9|0|0|0
9|12|1452|3,660,657|9|0|0|0
9|12|1452|3,653,619|9|0|0|0
9|12|1452|3,646,576|9|0|0|0
9|12|1452|3,639,562|9|0|0|0
9|12|1452|3,632,509|9|0|0|0
9|12|1452|3,625,456|9|0|0|0
9|12|1452|3,618,431|9|0|0|0
9|12|1452|3,611,348|9|0|0|0
9|12|1452|3,604,310|9|0|0|0
9|12|1452|3,597,259|9|0|0|0
9|12|1452|3,590,220|9|0|0|0
9|12|1452|3,583,169|9|0|0|0
9|12|1452|3,576,130|9|0|0|0
9|12|1452|3,569,090|9|0|0|0
9|12|1452|3,562,055|9|0|0|0
9|12|1452|3,555,029|9|0|0|0
9|12|1452|3,547,974|9|0|0|0
9|12|1452|3,540,940|9|0|0|0
9|12|1452|3,533,914|9|0|0|0
9|12|1452|3,526,912|9|0|0|0
9|12|1452|3,519,890|9|0|0|0
9|12|1452|3,512,825|9|0|0|0
9|12|1452|3,505,795|9|0|0|0
9|12|1452|3,498,733|9|0|0|0
9|12|1452|3,491,687|9|0|0|0
9|12|1452|3,484,655|9|0|0|0
9|12|1452|3,477,601|9|0|0|0
9|12|1452|3,470,538|9|0|0|0
9|12|1452|3,463,498|9|0|0|0
9|12|1452|3,456,451|9|0|0|0
9|12|1452|3,449,441|9|0|0|0
9|12|1452|3,442,371|9|0|0|0
9|12|1452|3,435,303|9|0|0|0
9|12|1452|3,428,240|9|0|0|0
9|12|1452|3,421,174|9|0|0|0
9|12|1452|3,414,170|9|0|0|0
9|12|1452|3,407,111|9|0|0|0
9|12|1452|3,400,082|9|0|0|0
9|12|1452|3,393,012|9|0|0|0
9|12|1452|3,385,977|9|0|0|0
9|12|1452|3,378,954|9|0|0|0
9|12|1452|3,371,904|9|0|0|0
9|12|1452|3,364,855|9|0|0|0
9|12|1452|3,357,817|9|0|0|0
9|12|1452|3,350,785|9|0|0|0
9|12|1452|3,343,736|9|0|0|0
9|12|1452|3,336,701|9|0|0|0
9|12|1452|3,329,642|9|0|0|0
9|12|1452|3,322,621|9|0|0|0
9|12|1452|3,315,566|9|0|0|0
9|12|1452|3,308,540|9|0|0|0
9|12|1452|3,301,499|9|0|0|0
9|12|1452|3,294,452|9|0|0|0
9|12|1452|3,287,421|9|0|0|0
9|12|1452|3,280,366|9|0|0|0
9|12|1452|3,273,316|9|0|0|0
9|12|1452|3,266,289|9|0|0|0
9|12|1452|3,259,247|9|0|0|0
9|12|1452|3,252,172|9|0|0|0
9|12|1452|3,245,094|9|0|0|0
9|12|1452|3,238,036|9|0|0|0
9|12|1452|3,231,004|9|0|0|0
9|12|1452|3,223,923|9|0|0|0
9|12|1452|3,216,857|9|0|0|0
9|12|1452|3,209,813|9|0|0|0
9|12|1452|3,202,769|9|0|0|0
9|12|1452|3,195,734|9|0|0|0
9|12|1452|3,188,665|9|0|0|0
9|12|1452|3,181,605|9|0|0|0
9|12|1452|3,174,593|9|0|0|0
9|12|1452|3,167,555|9|0|0|0
9|12|1452|3,160,497|9|0|0|0
-1|-1|-1|-1|-1|-1|-1|3,942,184
