N1|N2|QID|Time|Degree|Overtime|Heu|TotalTime
9|12|1452|3,855,185|9|0|0|0
9|12|1452|3,849,141|9|0|0|0
9|12|1452|3,841,973|9|0|0|0
9|12|1452|3,834,882|9|0|0|0
9|12|1452|3,827,802|9|0|0|0
9|12|1452|3,820,753|9|0|0|0
9|12|1452|3,813,713|9|0|0|0
9|12|1452|3,806,688|9|0|0|0
9|12|1452|3,799,671|9|0|0|0
9|12|1452|3,792,642|9|0|0|0
9|12|1452|3,785,469|9|0|0|0
9|12|1452|3,778,356|9|0|0|0
9|12|1452|3,771,286|9|0|0|0
9|12|1452|3,764,228|9|0|0|0
9|12|1452|3,757,203|9|0|0|0
9|12|1452|3,750,153|9|0|0|0
9|12|1452|3,743,040|9|0|0|0
9|12|1452|3,735,918|9|0|0|0
9|12|1452|3,728,856|9|0|0|0
9|12|1452|3,721,798|9|0|0|0
9|12|1452|3,714,762|9|0|0|0
9|12|1452|3,707,702|9|0|0|0
9|12|1452|3,700,682|9|0|0|0
9|12|1452|3,693,653|9|0|0|0
9|12|1452|3,686,615|9|0|0|0
9|12|1452|3,679,563|9|0|0|0
9|12|1452|3,672,478|9|0|0|0
9|12|1452|3,665,452|9|0|0|0
9|12|1452|3,658,422|9|0|0|0
9|12|1452|3,651,360|9|0|0|0
9|12|1452|3,644,306|9|0|0|0
9|12|1452|3,637,248|9|0|0|0
9|12|1452|3,630,221|9|0|0|0
9|12|1452|3,623,161|9|0|0|0
9|12|1452|3,616,094|9|0|0|0
9|12|1452|3,609,053|9|0|0|0
9|12|1452|3,601,982|9|0|0|0
9|12|1452|3,594,944|9|0|0|0
9|12|1452|3,587,862|9|0|0|0
9|12|1452|3,580,841|9|0|0|0
9|12|1452|3,573,786|9|0|0|0
9|12|1452|3,566,732|9|0|0|0
9|12|1452|3,559,693|9|0|0|0
9|12|1452|3,552,653|9|0|0|0
9|12|1452|3,545,596|9|0|0|0
9|12|1452|3,538,514|9|0|0|0
9|12|1452|3,531,451|9|0|0|0
9|12|1452|3,524,440|9|0|0|0
9|12|1452|3,517,420|9|0|0|0
9|12|1452|3,510,358|9|0|0|0
9|12|1452|3,503,306|9|0|0|0
9|12|1452|3,496,234|9|0|0|0
9|12|1452|3,489,149|9|0|0|0
9|12|1452|3,482,082|9|0|0|0
9|12|1452|3,475,033|9|0|0|0
9|12|1452|3,467,967|9|0|0|0
9|12|1452|3,460,941|9|0|0|0
9|12|1452|3,453,899|9|0|0|0
9|12|1452|3,446,858|9|0|0|0
9|12|1452|3,439,731|9|0|0|0
9|12|1452|3,432,694|9|0|0|0
9|12|1452|3,425,668|9|0|0|0
9|12|1452|3,418,619|9|0|0|0
9|12|1452|3,411,592|9|0|0|0
9|12|1452|3,404,537|9|0|0|0
9|12|1452|3,397,510|9|0|0|0
9|12|1452|3,390,475|9|0|0|0
9|12|1452|3,383,448|9|0|0|0
9|12|1452|3,376,403|9|0|0|0
9|12|1452|3,369,365|9|0|0|0
9|12|1452|3,362,321|9|0|0|0
9|12|1452|3,355,236|9|0|0|0
9|12|1452|3,348,171|9|0|0|0
9|12|1452|3,341,128|9|0|0|0
9|12|1452|3,334,054|9|0|0|0
9|12|1452|3,327,034|9|0|0|0
9|12|1452|3,319,975|9|0|0|0
9|12|1452|3,312,930|9|0|0|0
9|12|1452|3,305,879|9|0|0|0
9|12|1452|3,298,845|9|0|0|0
9|12|1452|3,291,790|9|0|0|0
9|12|1452|3,284,733|9|0|0|0
9|12|1452|3,277,714|9|0|0|0
9|12|1452|3,270,654|9|0|0|0
9|12|1452|3,263,618|9|0|0|0
9|12|1452|3,256,583|9|0|0|0
9|12|1452|3,249,559|9|0|0|0
9|12|1452|3,242,506|9|0|0|0
9|12|1452|3,235,465|9|0|0|0
9|12|1452|3,228,402|9|0|0|0
9|12|1452|3,221,346|9|0|0|0
9|12|1452|3,214,305|9|0|0|0
9|12|1452|3,207,276|9|0|0|0
9|12|1452|3,200,237|9|0|0|0
9|12|1452|3,193,222|9|0|0|0
9|12|1452|3,186,160|9|0|0|0
9|12|1452|3,179,101|9|0|0|0
9|12|1452|3,172,033|9|0|0|0
9|12|1452|3,164,974|9|0|0|0
9|12|1452|3,157,908|9|0|0|0
-1|-1|-1|-1|-1|-1|-1|3,968,538
