N1|N2|QID|Time|Degree|Overtime|Heu|TotalTime
9|12|321|3,543,054|6|0|0|0
9|12|321|3,504,034|6|0|0|0
9|12|321|3,469,233|6|0|0|0
9|12|321|3,434,371|6|0|0|0
9|12|321|3,399,686|6|0|0|0
9|12|321|3,365,004|6|0|0|0
9|12|321|3,330,126|6|0|0|0
9|12|321|3,295,421|6|0|0|0
9|12|321|3,260,668|6|0|0|0
9|12|321|3,225,777|6|0|0|0
9|12|321|3,191,072|6|0|0|0
9|12|321|3,156,421|6|0|0|0
9|12|321|3,121,600|6|0|0|0
9|12|321|3,086,892|6|0|0|0
9|12|321|3,052,211|6|0|0|0
9|12|321|3,017,477|6|0|0|0
9|12|321|2,982,809|6|0|0|0
9|12|321|2,948,145|6|0|0|0
9|12|321|2,913,375|6|0|0|0
9|12|321|2,878,685|6|0|0|0
9|12|321|2,843,981|6|0|0|0
9|12|321|2,809,234|6|0|0|0
9|12|321|2,774,403|6|0|0|0
9|12|321|2,739,701|6|0|0|0
9|12|321|2,704,950|6|0|0|0
9|12|321|2,670,259|6|0|0|0
9|12|321|2,635,571|6|0|0|0
9|12|321|2,600,083|6|0|0|0
9|12|321|2,565,136|6|0|0|0
9|12|321|2,529,690|6|0|0|0
9|12|321|2,494,121|6|0|0|0
9|12|321|2,459,352|6|0|0|0
9|12|321|2,424,676|6|0|0|0
9|12|321|2,389,784|6|0|0|0
9|12|321|2,354,962|6|0|0|0
9|12|321|2,320,257|6|0|0|0
9|12|321|2,285,516|6|0|0|0
9|12|321|2,250,804|6|0|0|0
9|12|321|2,216,120|6|0|0|0
9|12|321|2,181,024|6|0|0|0
9|12|321|2,145,215|6|0|0|0
9|12|321|2,110,515|6|0|0|0
9|12|321|2,075,643|6|0|0|0
9|12|321|2,040,971|6|0|0|0
9|12|321|2,006,273|6|0|0|0
9|12|321|1,971,433|6|0|0|0
9|12|321|1,936,571|6|0|0|0
9|12|321|1,901,847|6|0|0|0
9|12|321|1,867,129|6|0|0|0
9|12|321|1,832,460|6|0|0|0
9|12|321|1,796,419|6|0|0|0
9|12|321|1,761,659|6|0|0|0
9|12|321|1,726,988|6|0|0|0
9|12|321|1,692,267|6|0|0|0
9|12|321|1,657,541|6|0|0|0
9|12|321|1,622,872|6|0|0|0
9|12|321|1,588,112|6|0|0|0
9|12|321|1,553,405|6|0|0|0
9|12|321|1,518,678|6|0|0|0
9|12|321|1,484,006|6|0|0|0
9|12|321|1,449,266|6|0|0|0
9|12|321|1,414,557|6|0|0|0
9|12|321|1,379,878|6|0|0|0
9|12|321|1,345,004|6|0|0|0
9|12|321|1,310,281|6|0|0|0
9|12|321|1,275,580|6|0|0|0
9|12|321|1,240,833|6|0|0|0
9|12|321|1,206,134|6|0|0|0
9|12|321|1,171,435|6|0|0|0
9|12|321|1,136,715|6|0|0|0
9|12|321|1,101,868|6|0|0|0
9|12|321|1,067,202|6|0|0|0
9|12|321|1,032,445|6|0|0|0
9|12|321|997,744|6|0|0|0
9|12|321|963,066|6|0|0|0
9|12|321|928,345|6|0|0|0
9|12|321|893,459|6|0|0|0
9|12|321|858,763|6|0|0|0
9|12|321|824,042|6|0|0|0
9|12|321|789,357|6|0|0|0
9|12|321|754,703|6|0|0|0
9|12|321|720,000|6|0|0|0
9|12|321|685,278|6|0|0|0
9|12|321|650,607|6|0|0|0
9|12|321|615,936|6|0|0|0
9|12|321|581,243|6|0|0|0
9|12|321|546,583|6|0|0|0
9|12|321|511,828|6|0|0|0
9|12|321|477,157|6|0|0|0
9|12|321|442,492|6|0|0|0
9|12|321|407,802|6|0|0|0
9|12|321|373,115|6|0|0|0
9|12|321|338,446|6|0|0|0
9|12|321|303,750|6|0|0|0
9|12|321|268,982|6|0|0|0
9|12|321|234,325|6|0|0|0
9|12|321|199,482|6|0|0|0
9|12|321|164,698|6|0|0|0
9|12|321|130,017|6|0|0|0
9|12|321|95,278|6|0|0|0
-1|-1|-1|-1|-1|-1|-1|3,635,407
