N1|N2|QID|Time|Degree|Overtime|Heu|TotalTime
9|12|1127|4,039,047|9|0|0|0
9|12|1127|4,036,681|9|0|0|0
9|12|1127|4,034,829|9|0|0|0
9|12|1127|4,033,024|9|0|0|0
9|12|1127|4,031,220|9|0|0|0
9|12|1127|4,029,417|9|0|0|0
9|12|1127|4,027,615|9|0|0|0
9|12|1127|4,025,817|9|0|0|0
9|12|1127|4,024,035|9|0|0|0
9|12|1127|4,022,246|9|0|0|0
9|12|1127|4,020,452|9|0|0|0
9|12|1127|4,018,663|9|0|0|0
9|12|1127|4,016,867|9|0|0|0
9|12|1127|4,015,077|9|0|0|0
9|12|1127|4,013,292|9|0|0|0
9|12|1127|4,011,500|9|0|0|0
9|12|1127|4,009,717|9|0|0|0
9|12|1127|4,007,935|9|0|0|0
9|12|1127|4,006,150|9|0|0|0
9|12|1127|4,004,354|9|0|0|0
9|12|1127|4,002,583|9|0|0|0
9|12|1127|4,000,799|9|0|0|0
9|12|1127|3,999,008|9|0|0|0
9|12|1127|3,997,227|9|0|0|0
9|12|1127|3,995,437|9|0|0|0
9|12|1127|3,993,647|9|0|0|0
9|12|1127|3,991,844|9|0|0|0
9|12|1127|3,990,245|9|0|0|0
9|12|1127|3,988,470|9|0|0|0
9|12|1127|3,986,694|9|0|0|0
9|12|1127|3,984,909|9|0|0|0
9|12|1127|3,983,112|9|0|0|0
9|12|1127|3,981,260|9|0|0|0
9|12|1127|3,979,488|9|0|0|0
9|12|1127|3,977,703|9|0|0|0
9|12|1127|3,975,925|9|0|0|0
9|12|1127|3,974,102|9|0|0|0
9|12|1127|3,972,319|9|0|0|0
9|12|1127|3,970,528|9|0|0|0
9|12|1127|3,968,735|9|0|0|0
9|12|1127|3,966,971|9|0|0|0
9|12|1127|3,965,179|9|0|0|0
9|12|1127|3,963,386|9|0|0|0
9|12|1127|3,961,577|9|0|0|0
9|12|1127|3,959,781|9|0|0|0
9|12|1127|3,958,194|9|0|0|0
9|12|1127|3,956,408|9|0|0|0
9|12|1127|3,954,620|9|0|0|0
9|12|1127|3,952,835|9|0|0|0
9|12|1127|3,951,045|9|0|0|0
9|12|1127|3,949,260|9|0|0|0
9|12|1127|3,947,465|9|0|0|0
9|12|1127|3,945,674|9|0|0|0
9|12|1127|3,943,888|9|0|0|0
9|12|1127|3,942,096|9|0|0|0
9|12|1127|3,940,304|9|0|0|0
9|12|1127|3,938,518|9|0|0|0
9|12|1127|3,936,725|9|0|0|0
9|12|1127|3,934,950|9|0|0|0
9|12|1127|3,933,179|9|0|0|0
9|12|1127|3,931,397|9|0|0|0
9|12|1127|3,929,617|9|0|0|0
9|12|1127|3,927,834|9|0|0|0
9|12|1127|3,926,043|9|0|0|0
9|12|1127|3,924,254|9|0|0|0
9|12|1127|3,922,464|9|0|0|0
9|12|1127|3,920,684|9|0|0|0
9|12|1127|3,918,896|9|0|0|0
9|12|1127|3,917,116|9|0|0|0
9|12|1127|3,915,326|9|0|0|0
9|12|1127|3,913,539|9|0|0|0
9|12|1127|3,911,749|9|0|0|0
9|12|1127|3,909,974|9|0|0|0
9|12|1127|3,908,194|9|0|0|0
9|12|1127|3,906,404|9|0|0|0
9|12|1127|3,904,621|9|0|0|0
9|12|1127|3,902,856|9|0|0|0
9|12|1127|3,901,087|9|0|0|0
9|12|1127|3,899,306|9|0|0|0
9|12|1127|3,897,522|9|0|0|0
9|12|1127|3,895,736|9|0|0|0
9|12|1127|3,893,945|9|0|0|0
9|12|1127|3,892,154|9|0|0|0
9|12|1127|3,890,373|9|0|0|0
9|12|1127|3,888,595|9|0|0|0
9|12|1127|3,886,805|9|0|0|0
9|12|1127|3,885,018|9|0|0|0
9|12|1127|3,883,169|9|0|0|0
9|12|1127|3,881,382|9|0|0|0
9|12|1127|3,879,590|9|0|0|0
9|12|1127|3,877,802|9|0|0|0
9|12|1127|3,876,013|9|0|0|0
9|12|1127|3,874,224|9|0|0|0
9|12|1127|3,872,435|9|0|0|0
9|12|1127|3,870,647|9|0|0|0
9|12|1127|3,868,865|9|0|0|0
9|12|1127|3,867,071|9|0|0|0
9|12|1127|3,865,286|9|0|0|0
9|12|1127|3,863,481|9|0|0|0
9|12|1127|3,861,690|9|0|0|0
-1|-1|-1|-1|-1|-1|-1|4,088,254
