N1|N2|QID|Time|Degree|Overtime|Heu|TotalTime
9|12|6876|281,027|8|0|0|0
9|12|6876|278,955|8|0|0|0
9|12|6876|277,395|8|0|0|0
9|12|6876|275,875|8|0|0|0
9|12|6876|274,366|8|0|0|0
9|12|6876|272,864|8|0|0|0
9|12|6876|271,383|8|0|0|0
9|12|6876|269,881|8|0|0|0
9|12|6876|268,387|8|0|0|0
9|12|6876|266,894|8|0|0|0
9|12|6876|265,404|8|0|0|0
9|12|6876|263,912|8|0|0|0
9|12|6876|262,423|8|0|0|0
9|12|6876|260,932|8|0|0|0
9|12|6876|259,445|8|0|0|0
9|12|6876|257,957|8|0|0|0
9|12|6876|256,465|8|0|0|0
9|12|6876|254,980|8|0|0|0
9|12|6876|253,487|8|0|0|0
9|12|6876|252,000|8|0|0|0
9|12|6876|250,511|8|0|0|0
9|12|6876|249,029|8|0|0|0
9|12|6876|247,532|8|0|0|0
9|12|6876|246,047|8|0|0|0
9|12|6876|244,436|8|0|0|0
9|12|6876|242,955|8|0|0|0
9|12|6876|241,462|8|0|0|0
9|12|6876|239,971|8|0|0|0
9|12|6876|238,491|8|0|0|0
9|12|6876|237,000|8|0|0|0
9|12|6876|235,513|8|0|0|0
9|12|6876|234,026|8|0|0|0
9|12|6876|232,528|8|0|0|0
9|12|6876|231,027|8|0|0|0
9|12|6876|229,536|8|0|0|0
9|12|6876|228,050|8|0|0|0
9|12|6876|226,563|8|0|0|0
9|12|6876|225,081|8|0|0|0
9|12|6876|223,597|8|0|0|0
9|12|6876|222,113|8|0|0|0
9|12|6876|220,626|8|0|0|0
9|12|6876|219,139|8|0|0|0
9|12|6876|217,648|8|0|0|0
9|12|6876|216,165|8|0|0|0
9|12|6876|214,673|8|0|0|0
9|12|6876|213,191|8|0|0|0
9|12|6876|211,705|8|0|0|0
9|12|6876|210,215|8|0|0|0
9|12|6876|208,724|8|0|0|0
9|12|6876|207,241|8|0|0|0
9|12|6876|205,750|8|0|0|0
9|12|6876|204,261|8|0|0|0
9|12|6876|202,775|8|0|0|0
9|12|6876|201,285|8|0|0|0
9|12|6876|199,798|8|0|0|0
9|12|6876|198,313|8|0|0|0
9|12|6876|196,823|8|0|0|0
9|12|6876|195,338|8|0|0|0
9|12|6876|193,857|8|0|0|0
9|12|6876|192,369|8|0|0|0
9|12|6876|190,883|8|0|0|0
9|12|6876|189,400|8|0|0|0
9|12|6876|187,922|8|0|0|0
9|12|6876|186,436|8|0|0|0
9|12|6876|184,950|8|0|0|0
9|12|6876|183,430|8|0|0|0
9|12|6876|181,947|8|0|0|0
9|12|6876|180,463|8|0|0|0
9|12|6876|178,976|8|0|0|0
9|12|6876|177,498|8|0|0|0
9|12|6876|176,013|8|0|0|0
9|12|6876|174,536|8|0|0|0
9|12|6876|173,065|8|0|0|0
9|12|6876|171,582|8|0|0|0
9|12|6876|170,086|8|0|0|0
9|12|6876|168,604|8|0|0|0
9|12|6876|167,116|8|0|0|0
9|12|6876|165,627|8|0|0|0
9|12|6876|164,146|8|0|0|0
9|12|6876|162,663|8|0|0|0
9|12|6876|161,178|8|0|0|0
9|12|6876|159,695|8|0|0|0
9|12|6876|158,208|8|0|0|0
9|12|6876|156,728|8|0|0|0
9|12|6876|155,242|8|0|0|0
9|12|6876|153,756|8|0|0|0
9|12|6876|152,265|8|0|0|0
9|12|6876|150,783|8|0|0|0
9|12|6876|149,294|8|0|0|0
9|12|6876|147,803|8|0|0|0
9|12|6876|146,326|8|0|0|0
9|12|6876|144,841|8|0|0|0
9|12|6876|143,363|8|0|0|0
9|12|6876|141,877|8|0|0|0
9|12|6876|140,406|8|0|0|0
9|12|6876|138,928|8|0|0|0
9|12|6876|137,448|8|0|0|0
9|12|6876|135,965|8|0|0|0
9|12|6876|134,487|8|0|0|0
9|12|6876|132,999|8|0|0|0
-1|-1|-1|-1|-1|-1|-1|350,720
