N1|N2|QID|Time|Degree|Overtime|Heu|TotalTime
9|12|6876|350,169|8|0|0|0
9|12|6876|347,509|8|0|0|0
9|12|6876|345,525|8|0|0|0
9|12|6876|343,460|8|0|0|0
9|12|6876|341,411|8|0|0|0
9|12|6876|339,348|8|0|0|0
9|12|6876|337,289|8|0|0|0
9|12|6876|335,228|8|0|0|0
9|12|6876|333,167|8|0|0|0
9|12|6876|331,103|8|0|0|0
9|12|6876|329,043|8|0|0|0
9|12|6876|326,983|8|0|0|0
9|12|6876|324,915|8|0|0|0
9|12|6876|322,855|8|0|0|0
9|12|6876|320,804|8|0|0|0
9|12|6876|318,747|8|0|0|0
9|12|6876|316,686|8|0|0|0
9|12|6876|314,621|8|0|0|0
9|12|6876|312,562|8|0|0|0
9|12|6876|310,499|8|0|0|0
9|12|6876|308,434|8|0|0|0
9|12|6876|306,372|8|0|0|0
9|12|6876|304,311|8|0|0|0
9|12|6876|302,250|8|0|0|0
9|12|6876|300,186|8|0|0|0
9|12|6876|298,120|8|0|0|0
9|12|6876|296,059|8|0|0|0
9|12|6876|293,998|8|0|0|0
9|12|6876|291,937|8|0|0|0
9|12|6876|289,877|8|0|0|0
9|12|6876|287,814|8|0|0|0
9|12|6876|285,748|8|0|0|0
9|12|6876|283,686|8|0|0|0
9|12|6876|281,626|8|0|0|0
9|12|6876|279,567|8|0|0|0
9|12|6876|277,503|8|0|0|0
9|12|6876|275,442|8|0|0|0
9|12|6876|273,387|8|0|0|0
9|12|6876|271,322|8|0|0|0
9|12|6876|269,263|8|0|0|0
9|12|6876|267,197|8|0|0|0
9|12|6876|265,137|8|0|0|0
9|12|6876|263,072|8|0|0|0
9|12|6876|261,013|8|0|0|0
9|12|6876|258,947|8|0|0|0
9|12|6876|256,887|8|0|0|0
9|12|6876|254,822|8|0|0|0
9|12|6876|252,764|8|0|0|0
9|12|6876|250,705|8|0|0|0
9|12|6876|248,641|8|0|0|0
9|12|6876|246,574|8|0|0|0
9|12|6876|244,520|8|0|0|0
9|12|6876|242,455|8|0|0|0
9|12|6876|240,392|8|0|0|0
9|12|6876|238,333|8|0|0|0
9|12|6876|236,271|8|0|0|0
9|12|6876|234,209|8|0|0|0
9|12|6876|232,147|8|0|0|0
9|12|6876|230,092|8|0|0|0
9|12|6876|228,027|8|0|0|0
9|12|6876|225,970|8|0|0|0
9|12|6876|223,907|8|0|0|0
9|12|6876|221,846|8|0|0|0
9|12|6876|219,786|8|0|0|0
9|12|6876|217,723|8|0|0|0
9|12|6876|215,660|8|0|0|0
9|12|6876|213,598|8|0|0|0
9|12|6876|211,539|8|0|0|0
9|12|6876|209,472|8|0|0|0
9|12|6876|207,411|8|0|0|0
9|12|6876|205,349|8|0|0|0
9|12|6876|203,287|8|0|0|0
9|12|6876|201,223|8|0|0|0
9|12|6876|199,160|8|0|0|0
9|12|6876|197,101|8|0|0|0
9|12|6876|195,038|8|0|0|0
9|12|6876|192,974|8|0|0|0
9|12|6876|190,913|8|0|0|0
9|12|6876|188,845|8|0|0|0
9|12|6876|186,788|8|0|0|0
9|12|6876|184,736|8|0|0|0
9|12|6876|182,675|8|0|0|0
9|12|6876|180,617|8|0|0|0
9|12|6876|178,556|8|0|0|0
9|12|6876|176,493|8|0|0|0
9|12|6876|174,432|8|0|0|0
9|12|6876|172,371|8|0|0|0
9|12|6876|170,302|8|0|0|0
9|12|6876|168,246|8|0|0|0
9|12|6876|164,083|8|0|0|0
9|12|6876|162,022|8|0|0|0
9|12|6876|159,959|8|0|0|0
9|12|6876|157,898|8|0|0|0
9|12|6876|155,834|8|0|0|0
9|12|6876|153,770|8|0|0|0
9|12|6876|151,706|8|0|0|0
9|12|6876|149,647|8|0|0|0
9|12|6876|147,585|8|0|0|0
9|12|6876|145,521|8|0|0|0
9|12|6876|143,460|8|0|0|0
-1|-1|-1|-1|-1|-1|-1|378,797
