N1|N2|QID|Time|Degree|Overtime|Heu|TotalTime
9|12|1452|6,429,875|9|0|0|0
9|12|1452|6,422,685|9|0|0|0
9|12|1452|6,415,538|9|0|0|0
9|12|1452|6,408,459|9|0|0|0
9|12|1452|6,401,348|9|0|0|0
9|12|1452|6,394,291|9|0|0|0
9|12|1452|6,387,256|9|0|0|0
9|12|1452|6,380,207|9|0|0|0
9|12|1452|6,373,170|9|0|0|0
9|12|1452|6,366,098|9|0|0|0
9|12|1452|6,359,108|9|0|0|0
9|12|1452|6,352,089|9|0|0|0
9|12|1452|6,345,008|9|0|0|0
9|12|1452|6,337,935|9|0|0|0
9|12|1452|6,330,903|9|0|0|0
9|12|1452|6,324,093|9|0|0|0
9|12|1452|6,317,037|9|0|0|0
9|12|1452|6,309,991|9|0|0|0
9|12|1452|6,302,950|9|0|0|0
9|12|1452|6,295,896|9|0|0|0
9|12|1452|6,288,884|9|0|0|0
9|12|1452|6,281,802|9|0|0|0
9|12|1452|6,274,747|9|0|0|0
9|12|1452|6,267,697|9|0|0|0
9|12|1452|6,260,652|9|0|0|0
9|12|1452|6,253,566|9|0|0|0
9|12|1452|6,246,515|9|0|0|0
9|12|1452|6,239,456|9|0|0|0
9|12|1452|6,232,431|9|0|0|0
9|12|1452|6,225,440|9|0|0|0
9|12|1452|6,218,359|9|0|0|0
9|12|1452|6,211,529|9|0|0|0
9|12|1452|6,204,478|9|0|0|0
9|12|1452|6,197,414|9|0|0|0
9|12|1452|6,190,385|9|0|0|0
9|12|1452|6,183,327|9|0|0|0
9|12|1452|6,176,310|9|0|0|0
9|12|1452|6,169,245|9|0|0|0
9|12|1452|6,162,201|9|0|0|0
9|12|1452|6,155,140|9|0|0|0
9|12|1452|6,148,086|9|0|0|0
9|12|1452|6,141,038|9|0|0|0
9|12|1452|6,133,993|9|0|0|0
9|12|1452|6,126,910|9|0|0|0
9|12|1452|6,119,884|9|0|0|0
9|12|1452|6,112,815|9|0|0|0
9|12|1452|6,105,770|9|0|0|0
9|12|1452|6,098,758|9|0|0|0
9|12|1452|6,091,694|9|0|0|0
9|12|1452|6,084,660|9|0|0|0
9|12|1452|6,077,601|9|0|0|0
9|12|1452|6,070,544|9|0|0|0
9|12|1452|6,063,514|9|0|0|0
9|12|1452|6,056,470|9|0|0|0
9|12|1452|6,049,434|9|0|0|0
9|12|1452|6,042,358|9|0|0|0
9|12|1452|6,035,326|9|0|0|0
9|12|1452|6,028,215|9|0|0|0
9|12|1452|6,021,177|9|0|0|0
9|12|1452|6,014,123|9|0|0|0
9|12|1452|6,007,076|9|0|0|0
9|12|1452|6,000,038|9|0|0|0
9|12|1452|5,993,026|9|0|0|0
9|12|1452|5,985,945|9|0|0|0
9|12|1452|5,978,929|9|0|0|0
9|12|1452|5,971,902|9|0|0|0
9|12|1452|5,964,855|9|0|0|0
9|12|1452|5,957,801|9|0|0|0
9|12|1452|5,950,742|9|0|0|0
9|12|1452|5,943,700|9|0|0|0
9|12|1452|5,936,665|9|0|0|0
9|12|1452|5,929,615|9|0|0|0
9|12|1452|5,922,557|9|0|0|0
9|12|1452|5,915,475|9|0|0|0
9|12|1452|5,908,418|9|0|0|0
9|12|1452|5,901,372|9|0|0|0
9|12|1452|5,894,310|9|0|0|0
9|12|1452|5,887,256|9|0|0|0
9|12|1452|5,880,222|9|0|0|0
9|12|1452|5,873,179|9|0|0|0
9|12|1452|5,866,154|9|0|0|0
9|12|1452|5,859,107|9|0|0|0
9|12|1452|5,852,076|9|0|0|0
9|12|1452|5,845,013|9|0|0|0
9|12|1452|5,837,956|9|0|0|0
9|12|1452|5,830,887|9|0|0|0
9|12|1452|5,823,825|9|0|0|0
9|12|1452|5,816,728|9|0|0|0
9|12|1452|5,809,700|9|0|0|0
9|12|1452|5,802,657|9|0|0|0
9|12|1452|5,795,665|9|0|0|0
9|12|1452|5,788,629|9|0|0|0
9|12|1452|5,781,587|9|0|0|0
9|12|1452|5,774,535|9|0|0|0
9|12|1452|5,767,511|9|0|0|0
9|12|1452|5,760,465|9|0|0|0
9|12|1452|5,753,386|9|0|0|0
9|12|1452|5,746,292|9|0|0|0
9|12|1452|5,739,261|9|0|0|0
9|12|1452|5,732,217|9|0|0|0
-1|-1|-1|-1|-1|-1|-1|6,449,159
