N1|N2|QID|Time|Degree|Overtime|Heu|TotalTime
9|12|321|256,649|6|0|0|0
9|12|321|255,879|6|0|0|0
9|12|321|255,922|6|0|0|0
9|12|321|255,965|6|0|0|0
9|12|321|256,123|6|0|0|0
9|12|321|257,307|6|0|0|0
9|12|321|255,514|6|0|0|0
9|12|321|255,571|6|0|0|0
9|12|321|255,534|6|0|0|0
9|12|321|255,795|6|0|0|0
9|12|321|255,913|6|0|0|0
9|12|321|254,708|6|0|0|0
9|12|321|254,685|6|0|0|0
9|12|321|255,605|6|0|0|0
9|12|321|256,084|6|0|0|0
9|12|321|255,815|6|0|0|0
9|12|321|256,699|6|0|0|0
9|12|321|256,677|6|0|0|0
9|12|321|256,292|6|0|0|0
9|12|321|255,239|6|0|0|0
9|12|321|254,915|6|0|0|0
9|12|321|254,991|6|0|0|0
9|12|321|254,180|6|0|0|0
9|12|321|254,347|6|0|0|0
9|12|321|254,591|6|0|0|0
9|12|321|254,628|6|0|0|0
9|12|321|254,516|6|0|0|0
9|12|321|254,551|6|0|0|0
9|12|321|254,397|6|0|0|0
9|12|321|254,229|6|0|0|0
9|12|321|254,361|6|0|0|0
9|12|321|254,228|6|0|0|0
9|12|321|254,230|6|0|0|0
9|12|321|254,170|6|0|0|0
9|12|321|254,156|6|0|0|0
9|12|321|255,513|6|0|0|0
9|12|321|255,775|6|0|0|0
9|12|321|255,826|6|0|0|0
9|12|321|255,883|6|0|0|0
9|12|321|255,838|6|0|0|0
9|12|321|255,789|6|0|0|0
9|12|321|254,487|6|0|0|0
9|12|321|253,868|6|0|0|0
9|12|321|253,841|6|0|0|0
9|12|321|254,149|6|0|0|0
9|12|321|254,210|6|0|0|0
9|12|321|254,281|6|0|0|0
9|12|321|254,351|6|0|0|0
9|12|321|254,372|6|0|0|0
9|12|321|254,453|6|0|0|0
9|12|321|254,276|6|0|0|0
9|12|321|254,313|6|0|0|0
9|12|321|254,228|6|0|0|0
9|12|321|254,210|6|0|0|0
9|12|321|254,562|6|0|0|0
9|12|321|254,540|6|0|0|0
9|12|321|254,444|6|0|0|0
9|12|321|254,498|6|0|0|0
9|12|321|254,654|6|0|0|0
9|12|321|254,636|6|0|0|0
9|12|321|254,608|6|0|0|0
9|12|321|254,612|6|0|0|0
9|12|321|254,747|6|0|0|0
9|12|321|254,732|6|0|0|0
9|12|321|254,857|6|0|0|0
9|12|321|254,783|6|0|0|0
9|12|321|254,434|6|0|0|0
9|12|321|255,811|6|0|0|0
9|12|321|255,753|6|0|0|0
9|12|321|256,628|6|0|0|0
9|12|321|256,932|6|0|0|0
9|12|321|256,896|6|0|0|0
9|12|321|256,914|6|0|0|0
9|12|321|255,470|6|0|0|0
9|12|321|255,330|6|0|0|0
9|12|321|255,555|6|0|0|0
9|12|321|255,096|6|0|0|0
9|12|321|255,206|6|0|0|0
9|12|321|255,481|6|0|0|0
9|12|321|255,799|6|0|0|0
9|12|321|256,379|6|0|0|0
9|12|321|255,356|6|0|0|0
9|12|321|255,310|6|0|0|0
9|12|321|255,259|6|0|0|0
9|12|321|255,266|6|0|0|0
9|12|321|255,052|6|0|0|0
9|12|321|254,583|6|0|0|0
9|12|321|254,380|6|0|0|0
9|12|321|254,704|6|0|0|0
9|12|321|254,642|6|0|0|0
9|12|321|254,533|6|0|0|0
9|12|321|254,611|6|0|0|0
9|12|321|254,493|6|0|0|0
9|12|321|254,442|6|0|0|0
9|12|321|254,127|6|0|0|0
9|12|321|254,178|6|0|0|0
9|12|321|254,112|6|0|0|0
9|12|321|254,014|6|0|0|0
9|12|321|255,137|6|0|0|0
9|12|321|255,117|6|0|0|0
9|12|321|255,208|6|0|0|0
9|12|321|255,225|6|0|0|0
9|12|321|255,237|6|0|0|0
9|12|321|255,336|6|0|0|0
9|12|321|254,334|6|0|0|0
9|12|321|254,486|6|0|0|0
9|12|321|254,423|6|0|0|0
9|12|321|255,697|6|0|0|0
9|12|321|255,596|6|0|0|0
9|12|321|255,638|6|0|0|0
