N1|N2|QID|Time|Degree|Overtime|Heu|TotalTime
9|12|321|1,839,190|5|0|0|0
9|12|321|1,803,337|5|0|0|0
9|12|321|1,767,371|5|0|0|0
9|12|321|1,731,197|5|0|0|0
9|12|321|1,695,000|5|0|0|0
9|12|321|1,659,026|5|0|0|0
9|12|321|1,622,144|5|0|0|0
9|12|321|1,585,369|5|0|0|0
9|12|321|1,549,566|5|0|0|0
9|12|321|1,513,419|5|0|0|0
9|12|321|1,477,379|5|0|0|0
9|12|321|1,441,351|5|0|0|0
9|12|321|1,405,220|5|0|0|0
9|12|321|1,369,148|5|0|0|0
9|12|321|1,333,133|5|0|0|0
9|12|321|1,297,045|5|0|0|0
9|12|321|1,261,020|5|0|0|0
9|12|321|1,224,986|5|0|0|0
9|12|321|1,188,958|5|0|0|0
9|12|321|1,152,795|5|0|0|0
9|12|321|1,116,810|5|0|0|0
9|12|321|1,080,734|5|0|0|0
9|12|321|1,044,741|5|0|0|0
9|12|321|1,008,735|5|0|0|0
9|12|321|972,735|5|0|0|0
9|12|321|936,656|5|0|0|0
9|12|321|900,662|5|0|0|0
9|12|321|864,636|5|0|0|0
9|12|321|828,469|5|0|0|0
9|12|321|791,545|5|0|0|0
9|12|321|755,383|5|0|0|0
9|12|321|719,369|5|0|0|0
9|12|321|683,387|5|0|0|0
9|12|321|647,366|5|0|0|0
9|12|321|611,347|5|0|0|0
9|12|321|575,359|5|0|0|0
9|12|321|539,337|5|0|0|0
9|12|321|503,162|5|0|0|0
9|12|321|466,362|5|0|0|0
9|12|321|429,575|5|0|0|0
9|12|321|393,463|5|0|0|0
9|12|321|357,395|5|0|0|0
9|12|321|321,347|5|0|0|0
9|12|321|285,278|5|0|0|0
9|12|321|249,261|5|0|0|0
9|12|321|213,203|5|0|0|0
9|12|321|177,223|5|0|0|0
9|12|321|141,235|5|0|0|0
9|12|321|105,201|5|0|0|0
9|12|321|69,229|5|0|0|0
9|12|321|3,666,177|6|0|0|0
9|12|321|3,626,634|6|0|0|0
9|12|321|3,590,652|6|0|0|0
9|12|321|3,554,376|6|0|0|0
9|12|321|3,518,260|6|0|0|0
9|12|321|3,481,220|6|0|0|0
9|12|321|3,444,802|6|0|0|0
9|12|321|3,408,845|6|0|0|0
9|12|321|3,372,786|6|0|0|0
9|12|321|3,336,773|6|0|0|0
9|12|321|3,300,734|6|0|0|0
9|12|321|3,264,693|6|0|0|0
9|12|321|3,228,667|6|0|0|0
9|12|321|3,192,663|6|0|0|0
9|12|321|3,155,854|6|0|0|0
9|12|321|3,118,924|6|0|0|0
9|12|321|3,082,937|6|0|0|0
9|12|321|3,046,702|6|0|0|0
9|12|321|3,010,472|6|0|0|0
9|12|321|2,974,455|6|0|0|0
9|12|321|2,938,439|6|0|0|0
9|12|321|2,902,443|6|0|0|0
9|12|321|2,866,399|6|0|0|0
9|12|321|2,830,371|6|0|0|0
9|12|321|2,794,401|6|0|0|0
9|12|321|2,757,778|6|0|0|0
9|12|321|2,721,501|6|0|0|0
9|12|321|2,685,511|6|0|0|0
9|12|321|2,649,492|6|0|0|0
9|12|321|2,613,450|6|0|0|0
9|12|321|2,576,470|6|0|0|0
9|12|321|2,540,277|6|0|0|0
9|12|321|2,504,222|6|0|0|0
9|12|321|2,468,166|6|0|0|0
9|12|321|2,432,149|6|0|0|0
9|12|321|2,396,064|6|0|0|0
9|12|321|2,359,906|6|0|0|0
9|12|321|2,323,896|6|0|0|0
9|12|321|2,287,883|6|0|0|0
9|12|321|2,251,806|6|0|0|0
9|12|321|2,215,778|6|0|0|0
9|12|321|2,179,741|6|0|0|0
9|12|321|2,143,738|6|0|0|0
9|12|321|2,107,748|6|0|0|0
9|12|321|2,071,523|6|0|0|0
9|12|321|2,035,520|6|0|0|0
9|12|321|1,999,540|6|0|0|0
9|12|321|1,963,499|6|0|0|0
9|12|321|1,927,517|6|0|0|0
9|12|321|1,891,516|6|0|0|0
-1|-1|-1|-1|-1|-1|-1|3,788,808
