N1|N2|QID|Time|Degree|Overtime|Heu|TotalTime
9|12|321|1,770,184|5|0|0|0
9|12|321|1,735,411|5|0|0|0
9|12|321|1,700,720|5|0|0|0
9|12|321|1,666,038|5|0|0|0
9|12|321|1,631,341|5|0|0|0
9|12|321|1,596,669|5|0|0|0
9|12|321|1,561,810|5|0|0|0
9|12|321|1,526,981|5|0|0|0
9|12|321|1,492,316|5|0|0|0
9|12|321|1,457,590|5|0|0|0
9|12|321|1,422,919|5|0|0|0
9|12|321|1,388,237|5|0|0|0
9|12|321|1,352,463|5|0|0|0
9|12|321|1,317,319|5|0|0|0
9|12|321|1,282,615|5|0|0|0
9|12|321|1,247,833|5|0|0|0
9|12|321|1,213,282|5|0|0|0
9|12|321|1,178,603|5|0|0|0
9|12|321|1,143,886|5|0|0|0
9|12|321|1,109,144|5|0|0|0
9|12|321|1,074,425|5|0|0|0
9|12|321|1,039,688|5|0|0|0
9|12|321|1,004,963|5|0|0|0
9|12|321|970,299|5|0|0|0
9|12|321|935,574|5|0|0|0
9|12|321|900,885|5|0|0|0
9|12|321|866,211|5|0|0|0
9|12|321|831,496|5|0|0|0
9|12|321|796,622|5|0|0|0
9|12|321|761,917|5|0|0|0
9|12|321|727,200|5|0|0|0
9|12|321|692,363|5|0|0|0
9|12|321|657,693|5|0|0|0
9|12|321|622,846|5|0|0|0
9|12|321|588,174|5|0|0|0
9|12|321|553,488|5|0|0|0
9|12|321|518,769|5|0|0|0
9|12|321|484,132|5|0|0|0
9|12|321|449,443|5|0|0|0
9|12|321|414,711|5|0|0|0
9|12|321|380,005|5|0|0|0
9|12|321|345,316|5|0|0|0
9|12|321|310,581|5|0|0|0
9|12|321|275,920|5|0|0|0
9|12|321|241,186|5|0|0|0
9|12|321|206,462|5|0|0|0
9|12|321|171,667|5|0|0|0
9|12|321|137,020|5|0|0|0
9|12|321|102,293|5|0|0|0
9|12|321|67,626|5|0|0|0
9|12|321|3,529,848|6|0|0|0
9|12|321|3,491,658|6|0|0|0
9|12|321|3,456,880|6|0|0|0
9|12|321|3,422,185|6|0|0|0
9|12|321|3,387,441|6|0|0|0
9|12|321|3,352,707|6|0|0|0
9|12|321|3,317,871|6|0|0|0
9|12|321|3,283,208|6|0|0|0
9|12|321|3,248,446|6|0|0|0
9|12|321|3,213,790|6|0|0|0
9|12|321|3,179,094|6|0|0|0
9|12|321|3,144,389|6|0|0|0
9|12|321|3,109,553|6|0|0|0
9|12|321|3,074,880|6|0|0|0
9|12|321|3,040,184|6|0|0|0
9|12|321|3,005,475|6|0|0|0
9|12|321|2,970,769|6|0|0|0
9|12|321|2,935,985|6|0|0|0
9|12|321|2,901,171|6|0|0|0
9|12|321|2,866,497|6|0|0|0
9|12|321|2,831,658|6|0|0|0
9|12|321|2,796,931|6|0|0|0
9|12|321|2,762,240|6|0|0|0
9|12|321|2,727,566|6|0|0|0
9|12|321|2,692,742|6|0|0|0
9|12|321|2,658,091|6|0|0|0
9|12|321|2,623,384|6|0|0|0
9|12|321|2,588,701|6|0|0|0
9|12|321|2,553,422|6|0|0|0
9|12|321|2,518,497|6|0|0|0
9|12|321|2,483,805|6|0|0|0
9|12|321|2,449,147|6|0|0|0
9|12|321|2,414,399|6|0|0|0
9|12|321|2,379,661|6|0|0|0
9|12|321|2,344,981|6|0|0|0
9|12|321|2,310,312|6|0|0|0
9|12|321|2,274,676|6|0|0|0
9|12|321|2,239,966|6|0|0|0
9|12|321|2,205,270|6|0|0|0
9|12|321|2,169,348|6|0|0|0
9|12|321|2,134,652|6|0|0|0
9|12|321|2,099,978|6|0|0|0
9|12|321|2,065,344|6|0|0|0
9|12|321|2,030,676|6|0|0|0
9|12|321|1,994,931|6|0|0|0
9|12|321|1,960,017|6|0|0|0
9|12|321|1,925,303|6|0|0|0
9|12|321|1,890,412|6|0|0|0
9|12|321|1,855,756|6|0|0|0
9|12|321|1,821,085|6|0|0|0
-1|-1|-1|-1|-1|-1|-1|3,567,035
