N1|N2|QID|Time|Degree|Overtime|Heu|TotalTime
9|12|321|3,542,354|5|0|0|0
9|12|321|3,503,845|5|0|0|0
9|12|321|3,468,477|5|0|0|0
9|12|321|3,433,475|5|0|0|0
9|12|321|3,398,462|5|0|0|0
9|12|321|3,363,380|5|0|0|0
9|12|321|3,327,595|5|0|0|0
9|12|321|3,290,582|5|0|0|0
9|12|321|3,255,438|5|0|0|0
9|12|321|3,220,283|5|0|0|0
9|12|321|3,185,243|5|0|0|0
9|12|321|3,150,143|5|0|0|0
9|12|321|3,114,997|5|0|0|0
9|12|321|3,080,019|5|0|0|0
9|12|321|3,044,997|5|0|0|0
9|12|321|3,009,994|5|0|0|0
9|12|321|2,974,987|5|0|0|0
9|12|321|2,939,967|5|0|0|0
9|12|321|2,904,168|5|0|0|0
9|12|321|2,868,128|5|0|0|0
9|12|321|2,832,883|5|0|0|0
9|12|321|2,797,821|5|0|0|0
9|12|321|2,762,781|5|0|0|0
9|12|321|2,727,583|5|0|0|0
9|12|321|2,692,410|5|0|0|0
9|12|321|2,657,284|5|0|0|0
9|12|321|2,622,300|5|0|0|0
9|12|321|2,587,320|5|0|0|0
9|12|321|2,551,567|5|0|0|0
9|12|321|2,516,299|5|0|0|0
9|12|321|2,481,225|5|0|0|0
9|12|321|2,446,176|5|0|0|0
9|12|321|2,411,148|5|0|0|0
9|12|321|2,376,059|5|0|0|0
9|12|321|2,341,062|5|0|0|0
9|12|321|2,306,013|5|0|0|0
9|12|321|2,270,999|5|0|0|0
9|12|321|2,235,879|5|0|0|0
9|12|321|2,200,831|5|0|0|0
9|12|321|2,165,669|5|0|0|0
9|12|321|2,130,590|5|0|0|0
9|12|321|2,095,263|5|0|0|0
9|12|321|2,060,263|5|0|0|0
9|12|321|2,023,830|5|0|0|0
9|12|321|1,988,456|5|0|0|0
9|12|321|1,953,443|5|0|0|0
9|12|321|1,918,417|5|0|0|0
9|12|321|1,883,402|5|0|0|0
9|12|321|1,848,351|5|0|0|0
9|12|321|1,813,383|5|0|0|0
9|12|321|1,778,391|5|0|0|0
9|12|321|1,743,317|5|0|0|0
9|12|321|1,708,324|5|0|0|0
9|12|321|1,673,316|5|0|0|0
9|12|321|1,638,309|5|0|0|0
9|12|321|1,603,342|5|0|0|0
9|12|321|1,568,331|5|0|0|0
9|12|321|1,533,301|5|0|0|0
9|12|321|1,498,337|5|0|0|0
9|12|321|1,463,325|5|0|0|0
9|12|321|1,428,315|5|0|0|0
9|12|321|1,393,337|5|0|0|0
9|12|321|1,358,341|5|0|0|0
9|12|321|1,323,237|5|0|0|0
9|12|321|1,288,209|5|0|0|0
9|12|321|1,253,192|5|0|0|0
9|12|321|1,218,085|5|0|0|0
9|12|321|1,181,931|5|0|0|0
9|12|321|1,146,773|5|0|0|0
9|12|321|1,111,795|5|0|0|0
9|12|321|1,076,830|5|0|0|0
9|12|321|1,041,865|5|0|0|0
9|12|321|1,006,844|5|0|0|0
9|12|321|971,860|5|0|0|0
9|12|321|936,860|5|0|0|0
9|12|321|901,870|5|0|0|0
9|12|321|866,892|5|0|0|0
9|12|321|831,899|5|0|0|0
9|12|321|796,891|5|0|0|0
9|12|321|761,907|5|0|0|0
9|12|321|726,908|5|0|0|0
9|12|321|691,898|5|0|0|0
9|12|321|656,930|5|0|0|0
9|12|321|621,953|5|0|0|0
9|12|321|586,743|5|0|0|0
9|12|321|551,753|5|0|0|0
9|12|321|516,767|5|0|0|0
9|12|321|481,753|5|0|0|0
9|12|321|446,778|5|0|0|0
9|12|321|411,781|5|0|0|0
9|12|321|376,741|5|0|0|0
9|12|321|341,733|5|0|0|0
9|12|321|306,718|5|0|0|0
9|12|321|269,562|5|0|0|0
9|12|321|233,511|5|0|0|0
9|12|321|198,452|5|0|0|0
9|12|321|163,421|5|0|0|0
9|12|321|128,416|5|0|0|0
9|12|321|93,448|5|0|0|0
9|12|321|58,478|5|0|0|0
-1|-1|-1|-1|-1|-1|-1|3,570,790
