N1|N2|QID|Time|Degree|Overtime|Heu|TotalTime
9|12|321|3,541,630|5|0|0|0
9|12|321|3,502,366|5|0|0|0
9|12|321|3,467,158|5|0|0|0
9|12|321|3,432,254|5|0|0|0
9|12|321|3,397,243|5|0|0|0
9|12|321|3,362,023|5|0|0|0
9|12|321|3,327,033|5|0|0|0
9|12|321|3,292,022|5|0|0|0
9|12|321|3,256,983|5|0|0|0
9|12|321|3,221,922|5|0|0|0
9|12|321|3,186,909|5|0|0|0
9|12|321|3,151,850|5|0|0|0
9|12|321|3,116,846|5|0|0|0
9|12|321|3,081,835|5|0|0|0
9|12|321|3,046,791|5|0|0|0
9|12|321|3,011,801|5|0|0|0
9|12|321|2,976,798|5|0|0|0
9|12|321|2,941,764|5|0|0|0
9|12|321|2,906,758|5|0|0|0
9|12|321|2,871,777|5|0|0|0
9|12|321|2,836,536|5|0|0|0
9|12|321|2,801,546|5|0|0|0
9|12|321|2,766,544|5|0|0|0
9|12|321|2,731,115|5|0|0|0
9|12|321|2,694,754|5|0|0|0
9|12|321|2,659,732|5|0|0|0
9|12|321|2,624,706|5|0|0|0
9|12|321|2,589,628|5|0|0|0
9|12|321|2,553,960|5|0|0|0
9|12|321|2,518,657|5|0|0|0
9|12|321|2,483,431|5|0|0|0
9|12|321|2,448,375|5|0|0|0
9|12|321|2,413,335|5|0|0|0
9|12|321|2,378,328|5|0|0|0
9|12|321|2,343,334|5|0|0|0
9|12|321|2,308,315|5|0|0|0
9|12|321|2,273,295|5|0|0|0
9|12|321|2,238,261|5|0|0|0
9|12|321|2,202,806|5|0|0|0
9|12|321|2,166,737|5|0|0|0
9|12|321|2,131,717|5|0|0|0
9|12|321|2,096,677|5|0|0|0
9|12|321|2,061,469|5|0|0|0
9|12|321|2,026,455|5|0|0|0
9|12|321|1,991,400|5|0|0|0
9|12|321|1,956,168|5|0|0|0
9|12|321|1,921,161|5|0|0|0
9|12|321|1,886,122|5|0|0|0
9|12|321|1,851,072|5|0|0|0
9|12|321|1,816,067|5|0|0|0
9|12|321|1,781,046|5|0|0|0
9|12|321|1,746,018|5|0|0|0
9|12|321|1,711,030|5|0|0|0
9|12|321|1,676,013|5|0|0|0
9|12|321|1,640,994|5|0|0|0
9|12|321|1,605,942|5|0|0|0
9|12|321|1,570,892|5|0|0|0
9|12|321|1,535,823|5|0|0|0
9|12|321|1,500,823|5|0|0|0
9|12|321|1,465,719|5|0|0|0
9|12|321|1,430,540|5|0|0|0
9|12|321|1,395,479|5|0|0|0
9|12|321|1,360,437|5|0|0|0
9|12|321|1,325,399|5|0|0|0
9|12|321|1,289,823|5|0|0|0
9|12|321|1,252,678|5|0|0|0
9|12|321|1,217,489|5|0|0|0
9|12|321|1,182,524|5|0|0|0
9|12|321|1,147,466|5|0|0|0
9|12|321|1,112,357|5|0|0|0
9|12|321|1,077,362|5|0|0|0
9|12|321|1,042,019|5|0|0|0
9|12|321|1,007,003|5|0|0|0
9|12|321|971,894|5|0|0|0
9|12|321|936,784|5|0|0|0
9|12|321|901,785|5|0|0|0
9|12|321|866,776|5|0|0|0
9|12|321|831,520|5|0|0|0
9|12|321|796,310|5|0|0|0
9|12|321|761,326|5|0|0|0
9|12|321|726,270|5|0|0|0
9|12|321|691,274|5|0|0|0
9|12|321|656,238|5|0|0|0
9|12|321|621,185|5|0|0|0
9|12|321|586,084|5|0|0|0
9|12|321|550,504|5|0|0|0
9|12|321|515,235|5|0|0|0
9|12|321|480,139|5|0|0|0
9|12|321|445,051|5|0|0|0
9|12|321|409,836|5|0|0|0
9|12|321|374,809|5|0|0|0
9|12|321|338,989|5|0|0|0
9|12|321|303,528|5|0|0|0
9|12|321|268,497|5|0|0|0
9|12|321|233,498|5|0|0|0
9|12|321|198,525|5|0|0|0
9|12|321|163,583|5|0|0|0
9|12|321|128,560|5|0|0|0
9|12|321|93,554|5|0|0|0
9|12|321|58,534|5|0|0|0
-1|-1|-1|-1|-1|-1|-1|3,570,368
