N1|N2|QID|Time|Degree|Overtime|Heu|TotalTime
9|12|79920|1,180|11|0|1|0
9|12|79920|480|11|0|1|0
9|12|79920|473|11|0|1|0
9|12|79920|465|11|0|1|0
9|12|79920|461|11|0|1|0
9|12|79920|452|11|0|1|0
9|12|79920|459|11|0|1|0
9|12|79920|450|11|0|1|0
9|12|79920|469|11|0|1|0
9|12|79920|447|11|0|1|0
9|12|79920|451|11|0|1|0
9|12|79920|443|11|0|1|0
9|12|79920|445|11|0|1|0
9|12|79920|443|11|0|1|0
9|12|79920|447|11|0|1|0
9|12|79920|440|11|0|1|0
9|12|79920|449|11|0|1|0
9|12|79920|445|11|0|1|0
9|12|79920|452|11|0|1|0
9|12|79920|443|11|0|1|0
9|12|79920|589|11|0|1|0
9|12|79920|466|11|0|1|0
9|12|79920|463|11|0|1|0
9|12|79920|450|11|0|1|0
9|12|79920|453|11|0|1|0
9|12|79920|443|11|0|1|0
9|12|79920|447|11|0|1|0
9|12|79920|447|11|0|1|0
9|12|79920|447|11|0|1|0
9|12|79920|443|11|0|1|0
9|12|79920|441|11|0|1|0
9|12|79920|444|11|0|1|0
9|12|79920|441|11|0|1|0
9|12|79920|447|11|0|1|0
9|12|79920|439|11|0|1|0
9|12|79920|447|11|0|1|0
9|12|79920|439|11|0|1|0
9|12|79920|446|11|0|1|0
9|12|79920|441|11|0|1|0
9|12|79920|447|11|0|1|0
9|12|79920|440|11|0|1|0
9|12|79920|447|11|0|1|0
9|12|79920|437|11|0|1|0
9|12|79920|515|11|0|1|0
9|12|79920|464|11|0|1|0
9|12|79920|464|11|0|1|0
9|12|79920|449|11|0|1|0
9|12|79920|450|11|0|1|0
9|12|79920|444|11|0|1|0
9|12|79920|452|11|0|1|0
9|12|79920|444|11|0|1|0
9|12|79920|454|11|0|1|0
9|12|79920|445|11|0|1|0
9|12|79920|446|11|0|1|0
9|12|79920|440|11|0|1|0
9|12|79920|438|11|0|1|0
9|12|79920|441|11|0|1|0
9|12|79920|440|11|0|1|0
9|12|79920|532|11|0|1|0
9|12|79920|459|11|0|1|0
9|12|79920|445|11|0|1|0
9|12|79920|448|11|0|1|0
9|12|79920|452|11|0|1|0
9|12|79920|444|11|0|1|0
9|12|79920|461|11|0|1|0
9|12|79920|438|11|0|1|0
9|12|79920|445|11|0|1|0
9|12|79920|441|11|0|1|0
9|12|79920|448|11|0|1|0
9|12|79920|445|11|0|1|0
9|12|79920|446|11|0|1|0
9|12|79920|441|11|0|1|0
9|12|79920|445|11|0|1|0
9|12|79920|439|11|0|1|0
9|12|79920|452|11|0|1|0
9|12|79920|442|11|0|1|0
9|12|79920|445|11|0|1|0
9|12|79920|442|11|0|1|0
9|12|79920|443|11|0|1|0
9|12|79920|438|11|0|1|0
9|12|79920|439|11|0|1|0
9|12|79920|526|11|0|1|0
9|12|79920|460|11|0|1|0
9|12|79920|447|11|0|1|0
9|12|79920|444|11|0|1|0
9|12|79920|442|11|0|1|0
9|12|79920|445|11|0|1|0
9|12|79920|449|11|0|1|0
9|12|79920|443|11|0|1|0
9|12|79920|446|11|0|1|0
9|12|79920|440|11|0|1|0
9|12|79920|446|11|0|1|0
9|12|79920|440|11|0|1|0
9|12|79920|446|11|0|1|0
9|12|79920|440|11|0|1|0
9|12|79920|446|11|0|1|0
9|12|79920|439|11|0|1|0
9|12|79920|446|11|0|1|0
9|12|79920|437|11|0|1|0
9|12|79920|447|11|0|1|0
-1|-1|-1|-1|-1|-1|-1|116,619
