N1|N2|QID|Time|Degree|Overtime|Heu|TotalTime
9|12|79920|1,178|11|0|1|0
9|12|79920|482|11|0|1|0
9|12|79920|468|11|0|1|0
9|12|79920|453|11|0|1|0
9|12|79920|464|11|0|1|0
9|12|79920|453|11|0|1|0
9|12|79920|461|11|0|1|0
9|12|79920|440|11|0|1|0
9|12|79920|447|11|0|1|0
9|12|79920|445|11|0|1|0
9|12|79920|450|11|0|1|0
9|12|79920|443|11|0|1|0
9|12|79920|448|11|0|1|0
9|12|79920|438|11|0|1|0
9|12|79920|449|11|0|1|0
9|12|79920|437|11|0|1|0
9|12|79920|441|11|0|1|0
9|12|79920|437|11|0|1|0
9|12|79920|446|11|0|1|0
9|12|79920|438|11|0|1|0
9|12|79920|592|11|0|1|0
9|12|79920|461|11|0|1|0
9|12|79920|457|11|0|1|0
9|12|79920|446|11|0|1|0
9|12|79920|447|11|0|1|0
9|12|79920|438|11|0|1|0
9|12|79920|445|11|0|1|0
9|12|79920|442|11|0|1|0
9|12|79920|454|11|0|1|0
9|12|79920|437|11|0|1|0
9|12|79920|438|11|0|1|0
9|12|79920|446|11|0|1|0
9|12|79920|436|11|0|1|0
9|12|79920|455|11|0|1|0
9|12|79920|442|11|0|1|0
9|12|79920|448|11|0|1|0
9|12|79920|439|11|0|1|0
9|12|79920|446|11|0|1|0
9|12|79920|435|11|0|1|0
9|12|79920|444|11|0|1|0
9|12|79920|434|11|0|1|0
9|12|79920|452|11|0|1|0
9|12|79920|436|11|0|1|0
9|12|79920|512|11|0|1|0
9|12|79920|454|11|0|1|0
9|12|79920|450|11|0|1|0
9|12|79920|440|11|0|1|0
9|12|79920|449|11|0|1|0
9|12|79920|440|11|0|1|0
9|12|79920|445|11|0|1|0
9|12|79920|437|11|0|1|0
9|12|79920|435|11|0|1|0
9|12|79920|438|11|0|1|0
9|12|79920|436|11|0|1|0
9|12|79920|449|11|0|1|0
9|12|79920|439|11|0|1|0
9|12|79920|447|11|0|1|0
9|12|79920|437|11|0|1|0
9|12|79920|445|11|0|1|0
9|12|79920|441|11|0|1|0
9|12|79920|441|11|0|1|0
9|12|79920|437|11|0|1|0
9|12|79920|449|11|0|1|0
9|12|79920|438|11|0|1|0
9|12|79920|450|11|0|1|0
9|12|79920|438|11|0|1|0
9|12|79920|501|11|0|1|0
9|12|79920|453|11|0|1|0
9|12|79920|451|11|0|1|0
9|12|79920|438|11|0|1|0
9|12|79920|446|11|0|1|0
9|12|79920|441|11|0|1|0
9|12|79920|435|11|0|1|0
9|12|79920|444|11|0|1|0
9|12|79920|436|11|0|1|0
9|12|79920|443|11|0|1|0
9|12|79920|435|11|0|1|0
9|12|79920|442|11|0|1|0
9|12|79920|435|11|0|1|0
9|12|79920|442|11|0|1|0
9|12|79920|434|11|0|1|0
9|12|79920|443|11|0|1|0
9|12|79920|436|11|0|1|0
9|12|79920|442|11|0|1|0
9|12|79920|434|11|0|1|0
9|12|79920|441|11|0|1|0
9|12|79920|436|11|0|1|0
9|12|79920|434|11|0|1|0
9|12|79920|441|11|0|1|0
9|12|79920|435|11|0|1|0
9|12|79920|507|11|0|1|0
9|12|79920|442|11|0|1|0
9|12|79920|448|11|0|1|0
9|12|79920|438|11|0|1|0
9|12|79920|447|11|0|1|0
9|12|79920|446|11|0|1|0
9|12|79920|450|11|0|1|0
9|12|79920|440|11|0|1|0
9|12|79920|443|11|0|1|0
9|12|79920|438|11|0|1|0
-1|-1|-1|-1|-1|-1|-1|61,347
