N1|N2|QID|Time|Degree|Overtime|Heu|TotalTime
9|12|79920|1,141|11|0|1|0
9|12|79920|503|11|0|1|0
9|12|79920|486|11|0|1|0
9|12|79920|459|11|0|1|0
9|12|79920|459|11|0|1|0
9|12|79920|453|11|0|1|0
9|12|79920|455|11|0|1|0
9|12|79920|443|11|0|1|0
9|12|79920|448|11|0|1|0
9|12|79920|440|11|0|1|0
9|12|79920|442|11|0|1|0
9|12|79920|441|11|0|1|0
9|12|79920|446|11|0|1|0
9|12|79920|441|11|0|1|0
9|12|79920|453|11|0|1|0
9|12|79920|441|11|0|1|0
9|12|79920|450|11|0|1|0
9|12|79920|440|11|0|1|0
9|12|79920|446|11|0|1|0
9|12|79920|440|11|0|1|0
9|12|79920|438|11|0|1|0
9|12|79920|617|11|0|1|0
9|12|79920|473|11|0|1|0
9|12|79920|452|11|0|1|0
9|12|79920|459|11|0|1|0
9|12|79920|447|11|0|1|0
9|12|79920|448|11|0|1|0
9|12|79920|444|11|0|1|0
9|12|79920|440|11|0|1|0
9|12|79920|440|11|0|1|0
9|12|79920|441|11|0|1|0
9|12|79920|447|11|0|1|0
9|12|79920|438|11|0|1|0
9|12|79920|446|11|0|1|0
9|12|79920|435|11|0|1|0
9|12|79920|448|11|0|1|0
9|12|79920|438|11|0|1|0
9|12|79920|447|11|0|1|0
9|12|79920|438|11|0|1|0
9|12|79920|443|11|0|1|0
9|12|79920|440|11|0|1|0
9|12|79920|455|11|0|1|0
9|12|79920|436|11|0|1|0
9|12|79920|514|11|0|1|0
9|12|79920|465|11|0|1|0
9|12|79920|463|11|0|1|0
9|12|79920|447|11|0|1|0
9|12|79920|448|11|0|1|0
9|12|79920|443|11|0|1|0
9|12|79920|447|11|0|1|0
9|12|79920|439|11|0|1|0
9|12|79920|451|11|0|1|0
9|12|79920|443|11|0|1|0
9|12|79920|439|11|0|1|0
9|12|79920|448|11|0|1|0
9|12|79920|448|11|0|1|0
9|12|79920|451|11|0|1|0
9|12|79920|440|11|0|1|0
9|12|79920|446|11|0|1|0
9|12|79920|438|11|0|1|0
9|12|79920|446|11|0|1|0
9|12|79920|440|11|0|1|0
9|12|79920|445|11|0|1|0
9|12|79920|438|11|0|1|0
9|12|79920|445|11|0|1|0
9|12|79920|448|11|0|1|0
9|12|79920|518|11|0|1|0
9|12|79920|472|11|0|1|0
9|12|79920|471|11|0|1|0
9|12|79920|447|11|0|1|0
9|12|79920|446|11|0|1|0
9|12|79920|440|11|0|1|0
9|12|79920|450|11|0|1|0
9|12|79920|447|11|0|1|0
9|12|79920|452|11|0|1|0
9|12|79920|446|11|0|1|0
9|12|79920|445|11|0|1|0
9|12|79920|441|11|0|1|0
9|12|79920|436|11|0|1|0
9|12|79920|442|11|0|1|0
9|12|79920|438|11|0|1|0
9|12|79920|449|11|0|1|0
9|12|79920|443|11|0|1|0
9|12|79920|527|11|0|1|0
9|12|79920|451|11|0|1|0
9|12|79920|453|11|0|1|0
9|12|79920|441|11|0|1|0
9|12|79920|463|11|0|1|0
9|12|79920|439|11|0|1|0
9|12|79920|451|11|0|1|0
9|12|79920|441|11|0|1|0
9|12|79920|446|11|0|1|0
9|12|79920|444|11|0|1|0
9|12|79920|447|11|0|1|0
9|12|79920|441|11|0|1|0
9|12|79920|447|11|0|1|0
9|12|79920|437|11|0|1|0
9|12|79920|443|11|0|1|0
9|12|79920|440|11|0|1|0
9|12|79920|451|11|0|1|0
-1|-1|-1|-1|-1|-1|-1|105,112
