N1|N2|QID|Time|Degree|Overtime|Heu
9|12|1127|25,998,785|9|0|0
9|12|1127|25,998,167|9|0|0
9|12|1127|25,995,433|9|0|0
9|12|1127|25,958,349|9|0|0
9|12|1127|25,922,150|9|0|0
9|12|1127|25,885,958|9|0|0
9|12|1127|25,849,753|9|0|0
9|12|1127|25,813,548|9|0|0
9|12|1127|25,777,354|9|0|0
9|12|1127|25,741,153|9|0|0
9|12|1127|25,704,954|9|0|0
9|12|1127|25,668,757|9|0|0
9|12|1127|25,638,365|9|0|0
9|12|1127|25,634,624|9|0|0
9|12|1127|25,598,111|9|0|0
9|12|1127|25,561,907|9|0|0
9|12|1127|25,525,694|9|0|0
9|12|1127|25,489,496|9|0|0
9|12|1127|25,453,288|9|0|0
9|12|1127|25,417,084|9|0|0
9|12|1127|25,380,875|9|0|0
9|12|1127|25,344,666|9|0|0
9|12|1127|20,638,721|9|0|0
9|12|1127|15,284,713|9|0|0
9|12|1127|15,257,255|9|0|0
9|12|1127|15,220,968|9|0|0
9|12|1127|15,184,707|9|0|0
9|12|1127|15,148,470|9|0|0
9|12|1127|15,112,244|9|0|0
9|12|1127|15,076,015|9|0|0
9|12|1127|15,039,782|9|0|0
9|12|1127|15,003,543|9|0|0
9|12|1127|14,967,321|9|0|0
9|12|1127|14,931,093|9|0|0
9|12|1127|14,894,867|9|0|0
9|12|1127|14,858,656|9|0|0
9|12|1127|14,836,156|9|0|0
9|12|1127|14,829,997|9|0|0
9|12|1127|14,793,636|9|0|0
9|12|1127|8,367,292|9|0|0
9|12|1127|8,341,966|9|0|0
9|12|1127|8,305,685|9|0|0
9|12|1127|8,269,415|9|0|0
9|12|1127|8,233,149|9|0|0
9|12|1127|8,196,887|9|0|0
9|12|1127|8,160,636|9|0|0
9|12|1127|8,124,372|9|0|0
9|12|1127|8,088,126|9|0|0
9|12|1127|8,051,874|9|0|0
9|12|1127|8,015,623|9|0|0
9|12|1127|9,649,006|9|0|0
9|12|1127|9,612,762|9|0|0
9|12|1127|9,576,503|9|0|0
9|12|1127|9,540,247|9|0|0
9|12|1127|9,504,007|9|0|0
9|12|1127|9,467,755|9|0|0
9|12|1127|9,431,503|9|0|0
9|12|1127|9,395,259|9|0|0
9|12|1127|9,359,020|9|0|0
9|12|1127|9,322,792|9|0|0
9|12|1127|9,286,569|9|0|0
9|12|1127|9,250,357|9|0|0
9|12|1127|9,215,689|9|0|0
9|12|1127|9,206,317|9|0|0
9|12|1127|9,187,534|9|0|0
9|12|1127|9,151,226|9|0|0
9|12|1127|9,114,952|9|0|0
9|12|1127|9,078,697|9|0|0
9|12|1127|9,042,458|9|0|0
9|12|1127|9,006,222|9|0|0
9|12|1127|8,969,983|9|0|0
9|12|1127|8,933,746|9|0|0
9|12|1127|8,897,502|9|0|0
9|12|1127|8,861,274|9|0|0
9|12|1127|8,825,055|9|0|0
9|12|1127|8,788,841|9|0|0
9|12|1127|8,762,969|9|0|0
9|12|1127|8,758,056|9|0|0
9|12|1127|8,721,556|9|0|0
9|12|1127|8,685,270|9|0|0
9|12|1127|8,649,010|9|0|0
9|12|1127|8,612,786|9|0|0
9|12|1127|8,576,552|9|0|0
9|12|1127|8,540,315|9|0|0
9|12|1127|8,504,080|9|0|0
9|12|1127|8,467,844|9|0|0
9|12|1127|8,431,619|9|0|0
9|12|1127|8,395,395|9|0|0
9|12|1127|8,359,173|9|0|0
9|12|1127|8,322,973|9|0|0
9|12|1127|8,312,792|9|0|0
9|12|1127|8,293,999|9|0|0
9|12|1127|8,257,664|9|0|0
9|12|1127|8,221,406|9|0|0
9|12|1127|8,185,171|9|0|0
9|12|1127|8,148,936|9|0|0
9|12|1127|8,112,699|9|0|0
9|12|1127|8,076,458|9|0|0
9|12|1127|8,040,220|9|0|0
9|12|1127|8,003,983|9|0|0
9|12|1127|9,715,970|9|0|0
9|12|1127|9,683,494|9|0|0
9|12|1127|9,647,243|9|0|0
9|12|1127|9,610,998|9|0|0
9|12|1127|9,574,748|9|0|0
9|12|1127|9,538,512|9|0|0
9|12|1127|9,502,270|9|0|0
9|12|1127|9,466,020|9|0|0
9|12|1127|9,429,779|9|0|0
9|12|1127|9,393,534|9|0|0
9|12|1127|9,357,307|9|0|0
9|12|1127|9,321,089|9|0|0
9|12|1127|9,290,049|9|0|0
9|12|1127|9,286,379|9|0|0
9|12|1127|9,257,121|9|0|0
9|12|1127|9,220,844|9|0|0
9|12|1127|9,184,592|9|0|0
9|12|1127|9,148,350|9|0|0
9|12|1127|9,111,942|9|0|0
9|12|1127|9,075,711|9|0|0
9|12|1127|9,039,473|9|0|0
9|12|1127|9,003,214|9|0|0
9|12|1127|8,966,982|9|0|0
9|12|1127|8,930,752|9|0|0
9|12|1127|8,894,538|9|0|0
9|12|1127|8,858,317|9|0|0
9|12|1127|8,830,781|9|0|0
9|12|1127|8,825,888|9|0|0
9|12|1127|8,789,407|9|0|0
9|12|1127|8,753,141|9|0|0
9|12|1127|8,716,891|9|0|0
9|12|1127|8,680,664|9|0|0
9|12|1127|8,644,423|9|0|0
9|12|1127|8,608,188|9|0|0
9|12|1127|8,571,954|9|0|0
9|12|1127|8,535,714|9|0|0
9|12|1127|8,499,479|9|0|0
9|12|1127|8,463,248|9|0|0
9|12|1127|8,427,030|9|0|0
9|12|1127|8,390,822|9|0|0
9|12|1127|8,377,968|9|0|0
9|12|1127|8,372,923|9|0|0
9|12|1127|8,343,670|9|0|0
9|12|1127|8,307,389|9|0|0
9|12|1127|8,270,953|9|0|0
9|12|1127|8,234,698|9|0|0
9|12|1127|8,198,455|9|0|0
9|12|1127|8,162,210|9|0|0
9|12|1127|8,125,970|9|0|0
9|12|1127|8,089,733|9|0|0
9|12|1127|3,859,817|9|0|0
9|12|1127|3,857,982|9|0|0
9|12|1127|3,856,144|9|0|0
9|12|1127|3,854,310|9|0|0
9|12|1127|3,852,480|9|0|0
9|12|1127|3,850,639|9|0|0
9|12|1127|3,848,818|9|0|0
9|12|1127|3,846,990|9|0|0
9|12|1127|3,845,172|9|0|0
9|12|1127|3,843,348|9|0|0
9|12|1127|3,841,526|9|0|0
9|12|1127|3,839,711|9|0|0
9|12|1127|3,837,896|9|0|0
9|12|1127|3,836,102|9|0|0
9|12|1127|3,834,284|9|0|0
9|12|1127|3,832,470|9|0|0
9|12|1127|3,830,654|9|0|0
9|12|1127|3,828,847|9|0|0
9|12|1127|3,827,025|9|0|0
9|12|1127|3,825,213|9|0|0
9|12|1127|3,823,401|9|0|0
9|12|1127|3,821,563|9|0|0
9|12|1127|3,819,748|9|0|0
9|12|1127|3,817,925|9|0|0
9|12|1127|3,816,110|9|0|0
9|12|1127|3,814,291|9|0|0
9|12|1127|3,812,481|9|0|0
9|12|1127|3,810,671|9|0|0
9|12|1127|3,808,855|9|0|0
9|12|1127|3,807,044|9|0|0
9|12|1127|3,805,230|9|0|0
9|12|1127|3,803,399|9|0|0
9|12|1127|3,801,591|9|0|0
9|12|1127|3,799,781|9|0|0
9|12|1127|3,797,962|9|0|0
9|12|1127|3,796,134|9|0|0
9|12|1127|3,794,318|9|0|0
9|12|1127|3,792,508|9|0|0
9|12|1127|3,790,696|9|0|0
9|12|1127|3,788,871|9|0|0
9|12|1127|3,787,052|9|0|0
9|12|1127|3,785,244|9|0|0
9|12|1127|3,783,433|9|0|0
9|12|1127|3,781,618|9|0|0
9|12|1127|3,779,805|9|0|0
9|12|1127|3,777,987|9|0|0
9|12|1127|3,776,161|9|0|0
9|12|1127|3,774,354|9|0|0
9|12|1127|3,772,547|9|0|0
9|12|1127|3,770,728|9|0|0
9|12|1127|3,709,234|9|0|0
9|12|1127|3,707,345|9|0|0
9|12|1127|3,705,520|9|0|0
9|12|1127|3,703,703|9|0|0
9|12|1127|3,701,877|9|0|0
