N1|N2|QID|Time|Degree|Overtime|Heu|TotalTime
18|21|0|4,075,188|18|0|0|0
18|21|0|4,076,345|18|0|0|0
18|21|0|4,076,538|18|0|0|0
18|21|0|4,089,117|18|0|0|0
18|21|0|4,077,003|18|0|0|0
18|21|0|4,068,813|18|0|0|0
18|21|0|4,063,947|18|0|0|0
18|21|0|4,060,358|18|0|0|0
18|21|0|4,065,105|18|0|0|0
18|21|0|4,070,208|18|0|0|0
18|21|0|4,075,072|18|0|0|0
18|21|0|4,075,117|18|0|0|0
18|21|0|4,075,016|18|0|0|0
18|21|0|4,067,079|18|0|0|0
18|21|0|4,076,419|18|0|0|0
18|21|0|4,088,610|18|0|0|0
18|21|0|4,088,169|18|0|0|0
18|21|0|4,092,758|18|0|0|0
18|21|0|4,100,203|18|0|0|0
18|21|0|4,104,480|18|0|0|0
18|21|0|4,120,989|18|0|0|0
18|21|0|4,120,824|18|0|0|0
18|21|0|4,120,827|18|0|0|0
18|21|0|4,116,741|18|0|0|0
18|21|0|4,116,434|18|0|0|0
18|21|0|4,108,830|18|0|0|0
18|21|0|4,126,763|18|0|0|0
18|21|0|4,117,376|18|0|0|0
18|21|0|4,109,949|18|0|0|0
18|21|0|4,100,594|18|0|0|0
18|21|0|4,072,216|18|0|0|0
18|21|0|4,072,291|18|0|0|0
18|21|0|4,072,216|18|0|0|0
18|21|0|4,084,128|18|0|0|0
18|21|0|4,075,008|18|0|0|0
18|21|0|4,074,774|18|0|0|0
18|21|0|4,073,273|18|0|0|0
18|21|0|4,078,041|18|0|0|0
18|21|0|4,078,139|18|0|0|0
18|21|0|4,090,010|18|0|0|0
18|21|0|4,106,883|18|0|0|0
18|21|0|4,106,873|18|0|0|0
18|21|0|4,106,728|18|0|0|0
18|21|0|4,094,466|18|0|0|0
18|21|0|4,103,500|18|0|0|0
18|21|0|4,102,629|18|0|0|0
18|21|0|4,095,285|18|0|0|0
18|21|0|4,090,395|18|0|0|0
18|21|0|4,094,122|18|0|0|0
18|21|0|4,089,976|18|0|0|0
18|21|0|4,080,686|18|0|0|0
18|21|0|4,080,634|18|0|0|0
18|21|0|4,080,748|18|0|0|0
18|21|0|4,080,755|18|0|0|0
18|21|0|4,080,632|18|0|0|0
18|21|0|4,076,428|18|0|0|0
18|21|0|4,072,406|18|0|0|0
18|21|0|4,077,532|18|0|0|0
18|21|0|4,068,670|18|0|0|0
18|21|0|4,072,755|18|0|0|0
18|21|0|4,085,663|18|0|0|0
18|21|0|4,089,408|18|0|0|0
18|21|0|4,089,265|18|0|0|0
18|21|0|4,098,177|18|0|0|0
18|21|0|4,098,209|18|0|0|0
18|21|0|4,098,172|18|0|0|0
18|21|0|4,105,340|18|0|0|0
18|21|0|4,100,188|18|0|0|0
18|21|0|4,100,152|18|0|0|0
18|21|0|4,092,479|18|0|0|0
18|21|0|4,076,033|18|0|0|0
18|21|0|4,076,056|18|0|0|0
