N1|N2|QID|Time|Degree|Overtime|Heu|TotalTime
9|12|1127|291,374,202|9|0|0|0
9|12|1127|291,373,357|9|0|0|0
9|12|1127|291,371,800|9|0|0|0
9|12|1127|291,370,230|9|0|0|0
9|12|1127|291,368,666|9|0|0|0
9|12|1127|291,367,098|9|0|0|0
9|12|1127|291,365,499|9|0|0|0
9|12|1127|291,363,931|9|0|0|0
9|12|1127|291,362,363|9|0|0|0
9|12|1127|291,360,789|9|0|0|0
9|12|1127|291,359,218|9|0|0|0
9|12|1127|291,357,645|9|0|0|0
9|12|1127|291,356,080|9|0|0|0
9|12|1127|291,354,512|9|0|0|0
9|12|1127|291,352,967|9|0|0|0
9|12|1127|291,351,409|9|0|0|0
9|12|1127|291,349,840|9|0|0|0
9|12|1127|291,348,279|9|0|0|0
9|12|1127|291,346,715|9|0|0|0
9|12|1127|291,345,152|9|0|0|0
9|12|1127|291,343,596|9|0|0|0
9|12|1127|291,342,034|9|0|0|0
9|12|1127|291,340,479|9|0|0|0
9|12|1127|291,338,915|9|0|0|0
9|12|1127|291,337,344|9|0|0|0
9|12|1127|291,335,780|9|0|0|0
9|12|1127|291,334,213|9|0|0|0
9|12|1127|291,332,654|9|0|0|0
9|12|1127|291,331,097|9|0|0|0
9|12|1127|291,329,524|9|0|0|0
9|12|1127|291,327,960|9|0|0|0
9|12|1127|291,326,454|9|0|0|0
9|12|1127|291,324,930|9|0|0|0
9|12|1127|291,323,373|9|0|0|0
9|12|1127|291,321,811|9|0|0|0
9|12|1127|291,320,253|9|0|0|0
9|12|1127|291,318,688|9|0|0|0
9|12|1127|291,317,124|9|0|0|0
9|12|1127|291,315,564|9|0|0|0
9|12|1127|291,313,998|9|0|0|0
9|12|1127|291,312,434|9|0|0|0
9|12|1127|291,310,866|9|0|0|0
9|12|1127|291,309,303|9|0|0|0
9|12|1127|291,307,750|9|0|0|0
9|12|1127|291,306,183|9|0|0|0
9|12|1127|291,304,619|9|0|0|0
9|12|1127|291,303,056|9|0|0|0
9|12|1127|291,301,494|9|0|0|0
9|12|1127|291,299,929|9|0|0|0
9|12|1127|291,298,363|9|0|0|0
9|12|1127|291,574,902|9|0|0|0
9|12|1127|291,573,178|9|0|0|0
9|12|1127|291,571,552|9|0|0|0
9|12|1127|291,569,944|9|0|0|0
9|12|1127|291,568,354|9|0|0|0
9|12|1127|291,566,760|9|0|0|0
9|12|1127|291,565,178|9|0|0|0
9|12|1127|291,563,594|9|0|0|0
9|12|1127|291,562,012|9|0|0|0
9|12|1127|291,560,442|9|0|0|0
9|12|1127|291,558,866|9|0|0|0
9|12|1127|291,557,284|9|0|0|0
9|12|1127|291,555,716|9|0|0|0
9|12|1127|291,554,137|9|0|0|0
9|12|1127|291,552,564|9|0|0|0
9|12|1127|291,550,993|9|0|0|0
9|12|1127|291,549,422|9|0|0|0
9|12|1127|291,547,853|9|0|0|0
9|12|1127|291,546,285|9|0|0|0
9|12|1127|291,544,710|9|0|0|0
9|12|1127|291,543,222|9|0|0|0
9|12|1127|291,541,688|9|0|0|0
9|12|1127|291,540,124|9|0|0|0
9|12|1127|291,538,553|9|0|0|0
9|12|1127|291,536,981|9|0|0|0
9|12|1127|291,535,410|9|0|0|0
9|12|1127|291,533,839|9|0|0|0
9|12|1127|291,532,267|9|0|0|0
9|12|1127|291,530,694|9|0|0|0
9|12|1127|291,529,124|9|0|0|0
9|12|1127|291,527,557|9|0|0|0
9|12|1127|291,525,980|9|0|0|0
9|12|1127|291,524,400|9|0|0|0
9|12|1127|291,522,834|9|0|0|0
9|12|1127|291,521,262|9|0|0|0
9|12|1127|291,519,696|9|0|0|0
9|12|1127|291,518,124|9|0|0|0
9|12|1127|291,516,556|9|0|0|0
9|12|1127|291,514,985|9|0|0|0
9|12|1127|291,513,420|9|0|0|0
9|12|1127|291,511,851|9|0|0|0
9|12|1127|291,510,279|9|0|0|0
9|12|1127|291,508,711|9|0|0|0
9|12|1127|291,507,145|9|0|0|0
9|12|1127|291,505,576|9|0|0|0
9|12|1127|291,504,003|9|0|0|0
9|12|1127|291,502,439|9|0|0|0
9|12|1127|291,500,869|9|0|0|0
9|12|1127|291,499,296|9|0|0|0
9|12|1127|291,497,726|9|0|0|0
-1|-1|-1|-1|-1|-1|-1|291,680,757
