N1|N2|QID|Time|Degree|Overtime|Heu|TotalTime
9|12|1127|316,877,691|9|0|0|0
9|12|1127|316,875,081|9|0|0|0
9|12|1127|316,873,483|9|0|0|0
9|12|1127|316,871,890|9|0|0|0
9|12|1127|316,870,281|9|0|0|0
9|12|1127|316,868,681|9|0|0|0
9|12|1127|316,865,455|9|0|0|0
9|12|1127|316,863,865|9|0|0|0
9|12|1127|316,862,302|9|0|0|0
9|12|1127|316,857,472|9|0|0|0
9|12|1127|316,854,258|9|0|0|0
9|12|1127|316,852,676|9|0|0|0
9|12|1127|316,851,089|9|0|0|0
9|12|1127|316,849,509|9|0|0|0
9|12|1127|316,847,926|9|0|0|0
9|12|1127|316,846,348|9|0|0|0
9|12|1127|316,844,769|9|0|0|0
9|12|1127|316,841,563|9|0|0|0
9|12|1127|316,839,979|9|0|0|0
9|12|1127|316,838,397|9|0|0|0
9|12|1127|316,835,184|9|0|0|0
9|12|1127|316,833,608|9|0|0|0
9|12|1127|316,832,031|9|0|0|0
9|12|1127|316,830,445|9|0|0|0
9|12|1127|316,828,859|9|0|0|0
9|12|1127|316,827,274|9|0|0|0
9|12|1127|316,825,639|9|0|0|0
9|12|1127|316,824,060|9|0|0|0
9|12|1127|316,822,484|9|0|0|0
9|12|1127|316,820,900|9|0|0|0
9|12|1127|316,817,696|9|0|0|0
9|12|1127|316,816,107|9|0|0|0
9|12|1127|316,814,578|9|0|0|0
9|12|1127|316,813,024|9|0|0|0
9|12|1127|316,811,442|9|0|0|0
9|12|1127|316,809,860|9|0|0|0
9|12|1127|316,808,248|9|0|0|0
9|12|1127|316,806,660|9|0|0|0
9|12|1127|316,805,069|9|0|0|0
9|12|1127|316,803,478|9|0|0|0
9|12|1127|316,801,889|9|0|0|0
9|12|1127|316,800,298|9|0|0|0
9|12|1127|316,798,716|9|0|0|0
9|12|1127|316,797,132|9|0|0|0
9|12|1127|316,795,556|9|0|0|0
9|12|1127|316,793,976|9|0|0|0
9|12|1127|316,792,393|9|0|0|0
9|12|1127|316,790,819|9|0|0|0
9|12|1127|316,789,238|9|0|0|0
9|12|1127|316,787,655|9|0|0|0
9|12|1127|316,786,073|9|0|0|0
9|12|1127|316,784,494|9|0|0|0
9|12|1127|316,782,908|9|0|0|0
9|12|1127|316,781,325|9|0|0|0
9|12|1127|316,779,754|9|0|0|0
9|12|1127|316,778,167|9|0|0|0
9|12|1127|316,776,588|9|0|0|0
9|12|1127|316,775,007|9|0|0|0
9|12|1127|318,741,540|9|0|0|0
9|12|1127|319,446,108|9|0|0|0
9|12|1127|319,438,104|9|0|0|0
9|12|1127|319,302,792|8|0|0|0
9|12|1127|319,297,957|8|0|0|0
9|12|1127|320,058,776|9|0|0|0
9|12|1127|320,057,259|9|0|0|0
9|12|1127|320,055,682|9|0|0|0
9|12|1127|320,054,099|9|0|0|0
9|12|1127|320,052,531|9|0|0|0
9|12|1127|320,050,945|8|0|0|0
9|12|1127|320,049,370|9|0|0|0
9|12|1127|320,047,789|9|0|0|0
9|12|1127|320,046,208|9|0|0|0
9|12|1127|320,044,631|9|0|0|0
9|12|1127|320,043,049|9|0|0|0
9|12|1127|320,041,469|8|0|0|0
9|12|1127|320,039,889|9|0|0|0
9|12|1127|320,038,304|9|0|0|0
9|12|1127|320,036,721|9|0|0|0
9|12|1127|320,035,131|9|0|0|0
9|12|1127|320,033,544|9|0|0|0
9|12|1127|320,031,965|9|0|0|0
9|12|1127|320,030,379|9|0|0|0
9|12|1127|320,028,789|9|0|0|0
9|12|1127|320,025,585|9|0|0|0
9|12|1127|320,022,514|9|0|0|0
9|12|1127|320,020,956|9|0|0|0
9|12|1127|320,019,380|9|0|0|0
9|12|1127|320,016,165|9|0|0|0
9|12|1127|320,011,331|9|0|0|0
9|12|1127|320,009,755|9|0|0|0
9|12|1127|320,006,541|9|0|0|0
9|12|1127|323,203,424|9|0|0|0
9|12|1127|324,055,868|10|0|0|0
9|12|1127|324,038,034|10|0|0|0
9|12|1127|323,933,654|9|0|0|0
9|12|1127|325,862,105|10|0|0|0
9|12|1127|374,572,505|9|0|0|0
9|12|1127|498,816,114|9|1|0|0
9|12|1127|498,733,594|9|1|0|0
9|12|1127|498,723,881|9|1|0|0
-1|-1|-1|-1|-1|-1|-1|498,900,849
