N1|N2|QID|Time|Degree|Overtime|Heu|TotalTime
9|12|1127|4,861,278|9|0|0|0
9|12|1127|4,859,289|9|0|0|0
9|12|1127|4,857,482|9|0|0|0
9|12|1127|4,855,708|9|0|0|0
9|12|1127|4,853,939|9|0|0|0
9|12|1127|4,852,163|9|0|0|0
9|12|1127|4,850,405|9|0|0|0
9|12|1127|4,848,644|9|0|0|0
9|12|1127|4,847,031|9|0|0|0
9|12|1127|4,845,307|9|0|0|0
9|12|1127|4,843,550|9|0|0|0
9|12|1127|4,841,796|9|0|0|0
9|12|1127|4,840,028|9|0|0|0
9|12|1127|4,838,265|9|0|0|0
9|12|1127|4,836,516|9|0|0|0
9|12|1127|4,834,760|9|0|0|0
9|12|1127|4,833,011|9|0|0|0
9|12|1127|4,831,246|9|0|0|0
9|12|1127|4,829,492|9|0|0|0
9|12|1127|4,827,749|9|0|0|0
9|12|1127|4,825,996|9|0|0|0
9|12|1127|4,824,236|9|0|0|0
9|12|1127|4,822,484|9|0|0|0
9|12|1127|4,820,722|9|0|0|0
9|12|1127|4,818,969|9|0|0|0
9|12|1127|4,817,223|9|0|0|0
9|12|1127|4,815,470|9|0|0|0
9|12|1127|4,813,713|9|0|0|0
9|12|1127|4,811,966|9|0|0|0
9|12|1127|4,810,217|9|0|0|0
9|12|1127|4,808,459|9|0|0|0
9|12|1127|4,806,699|9|0|0|0
9|12|1127|4,804,944|9|0|0|0
9|12|1127|4,803,187|9|0|0|0
9|12|1127|4,801,433|9|0|0|0
9|12|1127|4,799,685|9|0|0|0
9|12|1127|4,797,940|9|0|0|0
9|12|1127|4,796,187|9|0|0|0
9|12|1127|4,794,421|9|0|0|0
9|12|1127|4,792,692|9|0|0|0
9|12|1127|4,790,969|9|0|0|0
9|12|1127|4,789,221|9|0|0|0
9|12|1127|4,787,462|9|0|0|0
9|12|1127|4,785,713|9|0|0|0
9|12|1127|4,783,941|9|0|0|0
9|12|1127|4,782,189|9|0|0|0
9|12|1127|4,780,435|9|0|0|0
9|12|1127|4,778,679|9|0|0|0
9|12|1127|4,776,923|9|0|0|0
9|12|1127|4,775,179|9|0|0|0
9|12|1127|4,773,425|9|0|0|0
9|12|1127|4,771,669|9|0|0|0
9|12|1127|4,769,904|9|0|0|0
9|12|1127|4,768,130|9|0|0|0
9|12|1127|4,766,371|9|0|0|0
9|12|1127|4,764,625|9|0|0|0
9|12|1127|4,762,875|9|0|0|0
9|12|1127|4,761,117|9|0|0|0
9|12|1127|4,759,364|9|0|0|0
9|12|1127|4,757,617|9|0|0|0
9|12|1127|4,755,869|9|0|0|0
9|12|1127|4,754,106|9|0|0|0
9|12|1127|4,752,343|9|0|0|0
9|12|1127|4,750,588|9|0|0|0
9|12|1127|4,748,841|9|0|0|0
9|12|1127|4,747,091|9|0|0|0
9|12|1127|4,745,347|9|0|0|0
9|12|1127|4,743,587|9|0|0|0
9|12|1127|4,741,828|9|0|0|0
9|12|1127|4,740,099|9|0|0|0
9|12|1127|4,738,373|9|0|0|0
9|12|1127|4,736,619|9|0|0|0
9|12|1127|4,734,870|9|0|0|0
9|12|1127|4,733,118|9|0|0|0
9|12|1127|4,731,366|9|0|0|0
9|12|1127|4,729,616|9|0|0|0
9|12|1127|4,727,863|9|0|0|0
9|12|1127|4,726,104|9|0|0|0
9|12|1127|4,724,349|9|0|0|0
9|12|1127|4,722,593|9|0|0|0
9|12|1127|4,720,815|9|0|0|0
9|12|1127|4,719,052|9|0|0|0
9|12|1127|4,717,327|9|0|0|0
9|12|1127|4,715,596|9|0|0|0
9|12|1127|4,713,853|9|0|0|0
9|12|1127|4,712,111|9|0|0|0
9|12|1127|4,710,360|9|0|0|0
9|12|1127|4,708,610|9|0|0|0
9|12|1127|4,706,860|9|0|0|0
9|12|1127|4,705,111|9|0|0|0
9|12|1127|4,703,359|9|0|0|0
9|12|1127|4,701,600|9|0|0|0
9|12|1127|4,699,851|9|0|0|0
9|12|1127|4,698,094|9|0|0|0
9|12|1127|4,696,347|9|0|0|0
9|12|1127|4,694,600|9|0|0|0
9|12|1127|4,692,850|9|0|0|0
9|12|1127|4,691,093|9|0|0|0
9|12|1127|4,689,394|9|0|0|0
9|12|1127|4,687,667|9|0|0|0
-1|-1|-1|-1|-1|-1|-1|4,879,851
