N1|N2|QID|Time|Degree|Overtime|Heu|TotalTime
9|12|1127|4,820,836|9|0|0|0
9|12|1127|4,818,841|9|0|0|0
9|12|1127|4,817,012|9|0|0|0
9|12|1127|4,815,214|9|0|0|0
9|12|1127|4,813,430|9|0|0|0
9|12|1127|4,811,646|9|0|0|0
9|12|1127|4,809,865|9|0|0|0
9|12|1127|4,808,083|9|0|0|0
9|12|1127|4,806,315|9|0|0|0
9|12|1127|4,804,546|9|0|0|0
9|12|1127|4,802,780|9|0|0|0
9|12|1127|4,801,016|9|0|0|0
9|12|1127|4,799,247|9|0|0|0
9|12|1127|4,797,479|9|0|0|0
9|12|1127|4,795,706|9|0|0|0
9|12|1127|4,793,939|9|0|0|0
9|12|1127|4,792,164|9|0|0|0
9|12|1127|4,790,527|9|0|0|0
9|12|1127|4,788,790|9|0|0|0
9|12|1127|4,787,027|9|0|0|0
9|12|1127|4,785,264|9|0|0|0
9|12|1127|4,783,503|9|0|0|0
9|12|1127|4,781,733|9|0|0|0
9|12|1127|4,779,966|9|0|0|0
9|12|1127|4,778,189|9|0|0|0
9|12|1127|4,776,426|9|0|0|0
9|12|1127|4,774,665|9|0|0|0
9|12|1127|4,772,896|9|0|0|0
9|12|1127|4,771,128|9|0|0|0
9|12|1127|4,769,368|9|0|0|0
9|12|1127|4,767,607|9|0|0|0
9|12|1127|4,765,844|9|0|0|0
9|12|1127|4,764,080|9|0|0|0
9|12|1127|4,762,316|9|0|0|0
9|12|1127|4,760,553|9|0|0|0
9|12|1127|4,758,804|9|0|0|0
9|12|1127|4,757,052|9|0|0|0
9|12|1127|4,755,300|9|0|0|0
9|12|1127|4,753,539|9|0|0|0
9|12|1127|4,751,778|9|0|0|0
9|12|1127|4,750,021|9|0|0|0
9|12|1127|4,748,257|9|0|0|0
9|12|1127|4,746,345|9|0|0|0
9|12|1127|4,744,582|9|0|0|0
9|12|1127|4,742,987|9|0|0|0
9|12|1127|4,741,219|9|0|0|0
9|12|1127|4,739,458|9|0|0|0
9|12|1127|4,737,695|9|0|0|0
9|12|1127|4,735,969|9|0|0|0
9|12|1127|4,734,237|9|0|0|0
9|12|1127|4,732,477|9|0|0|0
9|12|1127|4,730,727|9|0|0|0
9|12|1127|4,728,958|9|0|0|0
9|12|1127|4,727,198|9|0|0|0
9|12|1127|4,725,434|9|0|0|0
9|12|1127|4,723,667|9|0|0|0
9|12|1127|4,721,900|9|0|0|0
9|12|1127|4,720,138|9|0|0|0
9|12|1127|4,718,377|9|0|0|0
9|12|1127|4,716,621|9|0|0|0
9|12|1127|4,714,858|9|0|0|0
9|12|1127|4,713,099|9|0|0|0
9|12|1127|4,711,341|9|0|0|0
9|12|1127|4,709,578|9|0|0|0
9|12|1127|4,707,820|9|0|0|0
9|12|1127|4,706,058|9|0|0|0
9|12|1127|4,704,298|9|0|0|0
9|12|1127|4,702,544|9|0|0|0
9|12|1127|4,700,782|9|0|0|0
9|12|1127|4,699,024|9|0|0|0
9|12|1127|4,697,260|9|0|0|0
9|12|1127|4,695,495|9|0|0|0
9|12|1127|4,693,733|9|0|0|0
9|12|1127|4,691,961|9|0|0|0
9|12|1127|4,690,195|9|0|0|0
9|12|1127|4,688,436|9|0|0|0
9|12|1127|4,686,673|9|0|0|0
9|12|1127|4,684,908|9|0|0|0
9|12|1127|4,683,181|9|0|0|0
9|12|1127|4,681,442|9|0|0|0
9|12|1127|4,679,687|9|0|0|0
9|12|1127|4,677,925|9|0|0|0
9|12|1127|4,676,158|9|0|0|0
9|12|1127|4,674,402|9|0|0|0
9|12|1127|4,672,634|9|0|0|0
9|12|1127|4,670,876|9|0|0|0
9|12|1127|4,669,105|9|0|0|0
9|12|1127|4,667,338|9|0|0|0
9|12|1127|4,665,570|9|0|0|0
9|12|1127|4,663,806|9|0|0|0
9|12|1127|4,662,051|9|0|0|0
9|12|1127|4,660,292|9|0|0|0
9|12|1127|4,658,530|9|0|0|0
9|12|1127|4,656,768|9|0|0|0
9|12|1127|4,655,004|9|0|0|0
9|12|1127|4,653,237|9|0|0|0
9|12|1127|4,651,470|9|0|0|0
9|12|1127|4,649,512|9|0|0|0
9|12|1127|4,647,747|9|0|0|0
9|12|1127|4,645,949|9|0|0|0
-1|-1|-1|-1|-1|-1|-1|4,839,295
