Rank 1 : Found Solution : Querry Id = 0, IND = 0, N1 = 9, N2 = 12, QID = 1127, isHeu = 1, limitDoms = 1, kl = 9, ku = 11, Elapsed Time = 4,248,089
Rank 1 : Found Solution : Querry Id = 1, IND = 1, N1 = 9, N2 = 12, QID = 1127, isHeu = 1, limitDoms = 1, kl = 9, ku = 11, Elapsed Time = 4,272,002
Rank 1 : Found Solution : Querry Id = 2, IND = 2, N1 = 9, N2 = 12, QID = 1127, isHeu = 1, limitDoms = 1, kl = 9, ku = 11, Elapsed Time = 4,286,187
Rank 1 : Found Solution : Querry Id = 3, IND = 3, N1 = 9, N2 = 12, QID = 1127, isHeu = 1, limitDoms = 1, kl = 9, ku = 11, Elapsed Time = 4,333,531
Rank 1 : Found Solution : Querry Id = 4, IND = 4, N1 = 9, N2 = 12, QID = 1127, isHeu = 1, limitDoms = 1, kl = 9, ku = 11, Elapsed Time = 4,326,119
Rank 1 : Found Solution : Querry Id = 5, IND = 5, N1 = 9, N2 = 12, QID = 1127, isHeu = 1, limitDoms = 1, kl = 9, ku = 11, Elapsed Time = 4,276,515
Rank 1 : Found Solution : Querry Id = 6, IND = 6, N1 = 9, N2 = 12, QID = 1127, isHeu = 1, limitDoms = 1, kl = 9, ku = 11, Elapsed Time = 4,215,604
Rank 1 : Found Solution : Querry Id = 7, IND = 7, N1 = 9, N2 = 12, QID = 1127, isHeu = 1, limitDoms = 1, kl = 9, ku = 11, Elapsed Time = 4,167,976
Rank 1 : Found Solution : Querry Id = 8, IND = 8, N1 = 9, N2 = 12, QID = 1127, isHeu = 1, limitDoms = 1, kl = 9, ku = 11, Elapsed Time = 4,138,000
Rank 1 : Found Solution : Querry Id = 9, IND = 9, N1 = 9, N2 = 12, QID = 1127, isHeu = 1, limitDoms = 1, kl = 9, ku = 11, Elapsed Time = 4,143,718
Rank 1 : Found Solution : Querry Id = 10, IND = 10, N1 = 9, N2 = 12, QID = 1127, isHeu = 1, limitDoms = 1, kl = 9, ku = 11, Elapsed Time = 4,123,508
Rank 1 : Found Solution : Querry Id = 11, IND = 0, N1 = 9, N2 = 12, QID = 1127, isHeu = 1, limitDoms = 1, kl = 9, ku = 11, Elapsed Time = 4,102,762
Rank 1 : Found Solution : Querry Id = 12, IND = 1, N1 = 9, N2 = 12, QID = 1127, isHeu = 1, limitDoms = 1, kl = 9, ku = 11, Elapsed Time = 4,101,708
Rank 1 : Found Solution : Querry Id = 13, IND = 2, N1 = 9, N2 = 12, QID = 1127, isHeu = 1, limitDoms = 1, kl = 9, ku = 11, Elapsed Time = 4,120,918
Rank 1 : Found Solution : Querry Id = 14, IND = 3, N1 = 9, N2 = 12, QID = 1127, isHeu = 1, limitDoms = 1, kl = 9, ku = 11, Elapsed Time = 4,131,120
Rank 1 : Found Solution : Querry Id = 15, IND = 4, N1 = 9, N2 = 12, QID = 1127, isHeu = 1, limitDoms = 1, kl = 9, ku = 11, Elapsed Time = 4,147,235
Rank 1 : Found Solution : Querry Id = 16, IND = 5, N1 = 9, N2 = 12, QID = 1127, isHeu = 1, limitDoms = 1, kl = 9, ku = 11, Elapsed Time = 4,172,175
Rank 1 : Found Solution : Querry Id = 17, IND = 6, N1 = 9, N2 = 12, QID = 1127, isHeu = 1, limitDoms = 1, kl = 9, ku = 11, Elapsed Time = 4,204,216
