N1|N2|QID|Time|Degree|Overtime|Heu|TotalTime
18|21|1876|625,819|17|0|0|0
18|21|1876|626,040|17|0|0|0
18|21|1876|621,698|17|0|0|0
18|21|1876|617,397|17|0|0|0
18|21|1876|613,081|17|0|0|0
18|21|1876|608,792|17|0|0|0
18|21|1876|604,463|17|0|0|0
18|21|1876|600,165|17|0|0|0
18|21|1876|595,888|17|0|0|0
18|21|1876|591,587|17|0|0|0
18|21|1876|624,466|17|0|0|0
18|21|1876|620,167|17|0|0|0
18|21|1876|615,897|17|0|0|0
18|21|1876|611,655|17|0|0|0
18|21|1876|607,408|17|0|0|0
18|21|1876|603,166|17|0|0|0
18|21|1876|598,908|17|0|0|0
18|21|1876|594,665|17|0|0|0
18|21|1876|590,398|17|0|0|0
18|21|1876|586,117|17|0|0|0
18|21|1876|625,090|17|0|0|0
18|21|1876|620,668|17|0|0|0
18|21|1876|616,332|17|0|0|0
18|21|1876|612,073|17|0|0|0
18|21|1876|607,800|17|0|0|0
18|21|1876|603,521|17|0|0|0
18|21|1876|599,245|17|0|0|0
18|21|1876|594,977|17|0|0|0
18|21|1876|590,704|17|0|0|0
18|21|1876|586,445|17|0|0|0
18|21|1876|624,773|17|0|0|0
18|21|1876|620,418|17|0|0|0
18|21|1876|616,056|17|0|0|0
18|21|1876|611,791|17|0|0|0
18|21|1876|607,509|17|0|0|0
18|21|1876|603,235|17|0|0|0
18|21|1876|598,965|17|0|0|0
18|21|1876|594,710|17|0|0|0
18|21|1876|590,424|17|0|0|0
18|21|1876|586,116|17|0|0|0
18|21|1876|624,701|17|0|0|0
18|21|1876|620,366|17|0|0|0
18|21|1876|616,031|17|0|0|0
18|21|1876|611,779|17|0|0|0
18|21|1876|607,516|17|0|0|0
18|21|1876|603,250|17|0|0|0
18|21|1876|598,992|17|0|0|0
18|21|1876|594,745|17|0|0|0
18|21|1876|590,490|17|0|0|0
18|21|1876|586,232|17|0|0|0
18|21|1876|624,710|17|0|0|0
18|21|1876|620,392|17|0|0|0
18|21|1876|616,111|17|0|0|0
18|21|1876|611,847|17|0|0|0
18|21|1876|607,520|17|0|0|0
18|21|1876|603,259|17|0|0|0
18|21|1876|598,985|17|0|0|0
18|21|1876|594,710|17|0|0|0
18|21|1876|590,451|17|0|0|0
18|21|1876|586,212|17|0|0|0
18|21|1876|624,980|17|0|0|0
18|21|1876|620,698|17|0|0|0
18|21|1876|616,436|17|0|0|0
18|21|1876|612,172|17|0|0|0
18|21|1876|607,920|17|0|0|0
18|21|1876|603,658|17|0|0|0
18|21|1876|599,395|17|0|0|0
18|21|1876|595,147|17|0|0|0
18|21|1876|590,901|17|0|0|0
18|21|1876|586,640|17|0|0|0
18|21|1876|624,813|17|0|0|0
18|21|1876|620,401|17|0|0|0
18|21|1876|616,142|17|0|0|0
18|21|1876|611,858|17|0|0|0
18|21|1876|607,609|17|0|0|0
18|21|1876|603,364|17|0|0|0
18|21|1876|599,100|17|0|0|0
18|21|1876|594,856|17|0|0|0
18|21|1876|590,606|17|0|0|0
18|21|1876|586,282|17|0|0|0
18|21|1876|624,523|17|0|0|0
18|21|1876|620,221|17|0|0|0
18|21|1876|615,950|17|0|0|0
18|21|1876|611,681|17|0|0|0
18|21|1876|607,431|17|0|0|0
18|21|1876|603,168|17|0|0|0
18|21|1876|598,909|17|0|0|0
18|21|1876|594,649|17|0|0|0
18|21|1876|590,387|17|0|0|0
18|21|1876|586,130|17|0|0|0
18|21|1876|625,326|17|0|0|0
18|21|1876|621,022|17|0|0|0
18|21|1876|616,203|17|0|0|0
18|21|1876|611,912|17|0|0|0
18|21|1876|607,617|17|0|0|0
18|21|1876|603,356|17|0|0|0
18|21|1876|599,092|17|0|0|0
18|21|1876|594,796|17|0|0|0
18|21|1876|590,529|17|0|0|0
18|21|1876|586,271|17|0|0|0
18|21|1876|624,847|17|0|0|0
18|21|1876|620,524|17|0|0|0
18|21|1876|616,184|17|0|0|0
18|21|1876|611,845|17|0|0|0
18|21|1876|607,569|17|0|0|0
18|21|1876|603,279|17|0|0|0
18|21|1876|599,019|17|0|0|0
18|21|1876|594,739|17|0|0|0
18|21|1876|590,472|17|0|0|0
18|21|1876|586,126|17|0|0|0
18|21|1876|624,848|17|0|0|0
18|21|1876|620,559|17|0|0|0
18|21|1876|616,270|17|0|0|0
18|21|1876|611,988|17|0|0|0
18|21|1876|607,708|17|0|0|0
18|21|1876|603,450|17|0|0|0
18|21|1876|599,167|17|0|0|0
18|21|1876|594,875|17|0|0|0
18|21|1876|590,525|17|0|0|0
18|21|1876|586,205|17|0|0|0
18|21|1876|624,411|17|0|0|0
18|21|1876|620,102|17|0|0|0
18|21|1876|615,835|17|0|0|0
18|21|1876|611,572|17|0|0|0
18|21|1876|607,320|17|0|0|0
18|21|1876|603,057|17|0|0|0
18|21|1876|598,799|17|0|0|0
18|21|1876|594,541|17|0|0|0
18|21|1876|590,261|17|0|0|0
18|21|1876|586,002|17|0|0|0
18|21|1876|624,807|17|0|0|0
18|21|1876|620,508|17|0|0|0
18|21|1876|616,248|17|0|0|0
18|21|1876|611,982|17|0|0|0
18|21|1876|607,690|17|0|0|0
18|21|1876|603,448|17|0|0|0
18|21|1876|599,184|17|0|0|0
18|21|1876|594,912|17|0|0|0
18|21|1876|590,650|17|0|0|0
18|21|1876|586,388|17|0|0|0
18|21|1876|624,599|17|0|0|0
18|21|1876|621,694|17|0|0|0
18|21|1876|617,412|17|0|0|0
18|21|1876|613,150|17|0|0|0
18|21|1876|608,890|17|0|0|0
18|21|1876|604,629|17|0|0|0
18|21|1876|600,381|17|0|0|0
18|21|1876|596,129|17|0|0|0
18|21|1876|591,874|17|0|0|0
18|21|1876|587,645|17|0|0|0
18|21|1876|624,435|17|0|0|0
18|21|1876|620,161|17|0|0|0
18|21|1876|615,883|17|0|0|0
18|21|1876|611,622|17|0|0|0
18|21|1876|607,367|17|0|0|0
18|21|1876|603,114|17|0|0|0
18|21|1876|598,866|17|0|0|0
18|21|1876|594,612|17|0|0|0
18|21|1876|590,354|17|0|0|0
18|21|1876|586,087|17|0|0|0
18|21|1876|624,326|17|0|0|0
18|21|1876|620,043|17|0|0|0
18|21|1876|615,784|17|0|0|0
18|21|1876|611,521|17|0|0|0
18|21|1876|607,258|17|0|0|0
18|21|1876|602,991|17|0|0|0
18|21|1876|598,733|17|0|0|0
18|21|1876|594,484|17|0|0|0
18|21|1876|590,228|17|0|0|0
18|21|1876|585,956|17|0|0|0
18|21|1876|624,382|17|0|0|0
18|21|1876|620,073|17|0|0|0
18|21|1876|615,812|17|0|0|0
18|21|1876|611,554|17|0|0|0
18|21|1876|607,295|17|0|0|0
18|21|1876|603,038|17|0|0|0
18|21|1876|598,759|17|0|0|0
18|21|1876|594,499|17|0|0|0
18|21|1876|590,250|17|0|0|0
