N1|N2|QID|Time|Degree|Overtime|Heu|TotalTime
9|12|6876|1,293,290|8|0|0|0
9|12|6876|1,292,027|8|0|0|0
9|12|6876|1,290,831|8|0|0|0
9|12|6876|1,289,667|8|0|0|0
9|12|6876|1,288,497|8|0|0|0
9|12|6876|1,287,337|8|0|0|0
9|12|6876|1,286,181|8|0|0|0
9|12|6876|1,285,031|8|0|0|0
9|12|6876|1,283,883|8|0|0|0
9|12|6876|1,282,731|8|0|0|0
9|12|6876|1,281,586|8|0|0|0
9|12|6876|1,280,583|8|0|0|0
9|12|6876|1,279,472|8|0|0|0
9|12|6876|1,278,337|8|0|0|0
9|12|6876|1,277,201|8|0|0|0
9|12|6876|1,276,060|8|0|0|0
9|12|6876|1,274,908|8|0|0|0
9|12|6876|1,273,763|8|0|0|0
9|12|6876|1,272,616|8|0|0|0
9|12|6876|1,271,473|8|0|0|0
9|12|6876|1,270,334|8|0|0|0
9|12|6876|1,269,193|8|0|0|0
9|12|6876|1,268,053|8|0|0|0
9|12|6876|1,266,908|8|0|0|0
9|12|6876|1,265,755|8|0|0|0
9|12|6876|1,264,608|8|0|0|0
9|12|6876|1,263,462|8|0|0|0
9|12|6876|1,262,319|8|0|0|0
9|12|6876|1,261,182|8|0|0|0
9|12|6876|1,260,058|8|0|0|0
9|12|6876|1,258,916|8|0|0|0
9|12|6876|1,257,778|8|0|0|0
9|12|6876|1,256,639|8|0|0|0
9|12|6876|1,255,501|8|0|0|0
9|12|6876|1,254,365|8|0|0|0
9|12|6876|1,253,221|8|0|0|0
9|12|6876|1,252,058|8|0|0|0
9|12|6876|1,250,920|8|0|0|0
9|12|6876|1,249,785|8|0|0|0
9|12|6876|1,248,651|8|0|0|0
9|12|6876|1,247,512|8|0|0|0
9|12|6876|1,246,377|8|0|0|0
9|12|6876|1,245,267|8|0|0|0
9|12|6876|1,244,154|8|0|0|0
9|12|6876|1,242,860|8|0|0|0
9|12|6876|1,241,719|8|0|0|0
9|12|6876|1,240,573|8|0|0|0
9|12|6876|1,239,433|8|0|0|0
9|12|6876|1,238,298|8|0|0|0
9|12|6876|1,237,160|8|0|0|0
9|12|6876|1,236,020|8|0|0|0
9|12|6876|1,234,849|8|0|0|0
9|12|6876|1,233,705|8|0|0|0
9|12|6876|1,232,564|8|0|0|0
9|12|6876|1,231,410|8|0|0|0
9|12|6876|1,230,263|8|0|0|0
9|12|6876|1,229,121|8|0|0|0
9|12|6876|1,227,981|8|0|0|0
9|12|6876|1,226,835|8|0|0|0
9|12|6876|1,225,689|8|0|0|0
9|12|6876|1,224,541|8|0|0|0
9|12|6876|1,223,398|8|0|0|0
9|12|6876|1,222,254|8|0|0|0
9|12|6876|1,221,112|8|0|0|0
9|12|6876|1,219,972|8|0|0|0
9|12|6876|1,218,835|8|0|0|0
9|12|6876|1,217,694|8|0|0|0
9|12|6876|1,216,556|8|0|0|0
9|12|6876|1,215,413|8|0|0|0
9|12|6876|1,214,272|8|0|0|0
9|12|6876|1,213,146|8|0|0|0
9|12|6876|1,212,014|8|0|0|0
9|12|6876|1,210,913|8|0|0|0
9|12|6876|1,209,798|8|0|0|0
9|12|6876|1,208,659|8|0|0|0
9|12|6876|1,207,526|8|0|0|0
9|12|6876|1,206,393|8|0|0|0
9|12|6876|1,205,256|8|0|0|0
9|12|6876|1,204,116|8|0|0|0
9|12|6876|1,202,976|8|0|0|0
9|12|6876|1,201,837|8|0|0|0
9|12|6876|1,200,696|8|0|0|0
9|12|6876|1,199,554|8|0|0|0
9|12|6876|1,198,406|8|0|0|0
9|12|6876|1,197,264|8|0|0|0
9|12|6876|1,196,115|8|0|0|0
9|12|6876|1,194,975|8|0|0|0
9|12|6876|1,193,836|8|0|0|0
9|12|6876|1,192,698|8|0|0|0
9|12|6876|1,191,555|8|0|0|0
9|12|6876|1,190,417|8|0|0|0
9|12|6876|1,189,278|8|0|0|0
9|12|6876|1,188,140|8|0|0|0
9|12|6876|1,187,000|8|0|0|0
9|12|6876|1,185,894|8|0|0|0
9|12|6876|1,184,780|8|0|0|0
9|12|6876|1,183,643|8|0|0|0
9|12|6876|1,182,510|8|0|0|0
9|12|6876|1,181,373|8|0|0|0
9|12|6876|1,180,234|8|0|0|0
-1|-1|-1|-1|-1|-1|-1|1,332,717
