N1|N2|QID|Time|Degree|Overtime|Heu|TotalTime
9|12|6876|1,555,827|8|0|0|0
9|12|6876|1,553,641|8|0|0|0
9|12|6876|148,562,157|8|1|0|0
9|12|6876|148,562,756|8|1|0|0
9|12|6876|148,561,547|8|1|0|0
9|12|6876|148,560,350|8|1|0|0
9|12|6876|148,559,154|8|1|0|0
9|12|6876|148,557,959|8|1|0|0
9|12|6876|148,556,783|8|1|0|0
9|12|6876|148,555,608|8|1|0|0
9|12|6876|148,554,425|8|1|0|0
9|12|6876|148,553,252|8|1|0|0
9|12|6876|148,552,082|8|1|0|0
9|12|6876|148,550,914|8|1|0|0
9|12|6876|148,549,742|8|1|0|0
9|12|6876|148,548,579|8|1|0|0
9|12|6876|148,547,410|8|1|0|0
9|12|6876|148,546,244|8|1|0|0
9|12|6876|148,545,079|8|1|0|0
9|12|6876|148,543,911|8|1|0|0
9|12|6876|148,542,746|8|1|0|0
9|12|6876|148,541,600|8|1|0|0
9|12|6876|148,540,436|8|1|0|0
9|12|6876|148,539,274|8|1|0|0
9|12|6876|148,538,104|8|1|0|0
9|12|6876|148,536,944|8|1|0|0
9|12|6876|148,535,782|8|1|0|0
9|12|6876|148,534,618|8|1|0|0
9|12|6876|148,533,457|8|1|0|0
9|12|6876|148,532,295|8|1|0|0
9|12|6876|148,531,135|8|1|0|0
9|12|6876|148,529,972|8|1|0|0
9|12|6876|148,528,805|8|1|0|0
9|12|6876|148,527,696|8|1|0|0
9|12|6876|148,526,553|8|1|0|0
9|12|6876|148,525,387|8|1|0|0
9|12|6876|148,524,222|8|1|0|0
9|12|6876|148,523,061|8|1|0|0
9|12|6876|148,521,900|8|1|0|0
9|12|6876|148,520,747|8|1|0|0
9|12|6876|148,519,592|8|1|0|0
9|12|6876|148,518,433|8|1|0|0
9|12|6876|148,517,263|8|1|0|0
9|12|6876|148,516,103|8|1|0|0
9|12|6876|148,514,939|8|1|0|0
9|12|6876|148,513,769|8|1|0|0
9|12|6876|148,512,604|8|1|0|0
9|12|6876|148,511,438|8|1|0|0
9|12|6876|148,510,288|8|1|0|0
9|12|6876|148,509,132|8|1|0|0
9|12|6876|148,507,968|8|1|0|0
9|12|6876|148,506,805|7|1|0|0
9|12|6876|148,505,637|8|1|0|0
9|12|6876|148,504,470|7|1|0|0
9|12|6876|148,503,307|7|1|0|0
9|12|6876|148,502,143|8|1|0|0
9|12|6876|148,500,978|7|1|0|0
9|12|6876|148,499,818|8|1|0|0
9|12|6876|148,498,657|8|1|0|0
9|12|6876|148,497,549|8|1|0|0
9|12|6876|148,496,439|8|1|0|0
9|12|6876|148,495,303|8|1|0|0
9|12|6876|148,494,146|7|1|0|0
9|12|6876|148,492,991|7|1|0|0
9|12|6876|148,491,835|8|1|0|0
9|12|6876|148,490,670|8|1|0|0
9|12|6876|148,489,511|7|1|0|0
9|12|6876|148,488,348|8|1|0|0
9|12|6876|148,487,193|8|1|0|0
9|12|6876|148,486,040|8|1|0|0
9|12|6876|148,484,878|8|1|0|0
9|12|6876|148,483,718|8|1|0|0
9|12|6876|148,482,534|8|1|0|0
9|12|6876|148,481,373|8|1|0|0
9|12|6876|148,480,224|8|1|0|0
9|12|6876|148,479,074|7|1|0|0
9|12|6876|148,477,910|8|1|0|0
9|12|6876|148,476,744|8|1|0|0
9|12|6876|148,475,585|8|1|0|0
9|12|6876|148,474,426|8|1|0|0
9|12|6876|148,473,274|8|1|0|0
9|12|6876|148,472,105|8|1|0|0
9|12|6876|148,470,949|8|1|0|0
9|12|6876|148,469,792|8|1|0|0
9|12|6876|148,468,631|8|1|0|0
9|12|6876|148,467,567|8|1|0|0
9|12|6876|148,466,464|8|1|0|0
9|12|6876|148,465,331|8|1|0|0
9|12|6876|148,464,173|8|1|0|0
9|12|6876|148,463,016|8|1|0|0
9|12|6876|148,461,861|8|1|0|0
9|12|6876|148,460,693|8|1|0|0
9|12|6876|148,459,533|8|1|0|0
9|12|6876|148,458,369|7|1|0|0
9|12|6876|148,457,209|8|1|0|0
9|12|6876|148,456,058|8|1|0|0
9|12|6876|148,454,900|8|1|0|0
9|12|6876|148,453,739|8|1|0|0
9|12|6876|148,451,382|8|1|0|0
9|12|6876|148,449,026|8|1|0|0
-1|-1|-1|-1|-1|-1|-1|148,580,440
