N1|N2|QID|Time|Degree|Overtime|Heu|TotalTime
9|12|6876|254,533|8|0|0|0
9|12|6876|252,869|8|0|0|0
9|12|6876|251,494|8|0|0|0
9|12|6876|250,150|8|0|0|0
9|12|6876|248,807|8|0|0|0
9|12|6876|247,476|8|0|0|0
9|12|6876|246,291|8|0|0|0
9|12|6876|245,003|8|0|0|0
9|12|6876|243,677|8|0|0|0
9|12|6876|242,358|8|0|0|0
9|12|6876|241,034|8|0|0|0
9|12|6876|239,693|8|0|0|0
9|12|6876|238,370|8|0|0|0
9|12|6876|237,052|8|0|0|0
9|12|6876|235,730|8|0|0|0
9|12|6876|234,410|8|0|0|0
9|12|6876|233,090|8|0|0|0
9|12|6876|231,768|8|0|0|0
9|12|6876|230,441|8|0|0|0
9|12|6876|229,128|8|0|0|0
9|12|6876|227,804|8|0|0|0
9|12|6876|226,489|8|0|0|0
9|12|6876|225,164|8|0|0|0
9|12|6876|223,848|8|0|0|0
9|12|6876|222,531|8|0|0|0
9|12|6876|221,226|8|0|0|0
9|12|6876|219,905|8|0|0|0
9|12|6876|218,590|8|0|0|0
9|12|6876|217,270|8|0|0|0
9|12|6876|215,946|8|0|0|0
9|12|6876|214,622|8|0|0|0
9|12|6876|213,302|8|0|0|0
9|12|6876|211,992|8|0|0|0
9|12|6876|210,672|8|0|0|0
9|12|6876|209,353|8|0|0|0
9|12|6876|208,035|8|0|0|0
9|12|6876|206,718|8|0|0|0
9|12|6876|205,434|8|0|0|0
9|12|6876|204,143|8|0|0|0
9|12|6876|202,833|8|0|0|0
9|12|6876|201,521|8|0|0|0
9|12|6876|200,205|8|0|0|0
9|12|6876|198,889|8|0|0|0
9|12|6876|197,571|8|0|0|0
9|12|6876|196,254|8|0|0|0
9|12|6876|195,143|8|0|0|0
9|12|6876|193,829|8|0|0|0
9|12|6876|192,510|8|0|0|0
9|12|6876|191,196|8|0|0|0
9|12|6876|189,884|8|0|0|0
9|12|6876|188,571|8|0|0|0
9|12|6876|187,259|8|0|0|0
9|12|6876|185,941|8|0|0|0
9|12|6876|184,623|8|0|0|0
9|12|6876|183,307|8|0|0|0
9|12|6876|181,993|8|0|0|0
9|12|6876|180,679|8|0|0|0
9|12|6876|179,369|8|0|0|0
9|12|6876|178,056|8|0|0|0
9|12|6876|176,741|8|0|0|0
9|12|6876|175,426|8|0|0|0
9|12|6876|174,106|8|0|0|0
9|12|6876|172,786|8|0|0|0
9|12|6876|171,673|8|0|0|0
9|12|6876|170,357|8|0|0|0
9|12|6876|169,037|8|0|0|0
9|12|6876|167,725|8|0|0|0
9|12|6876|166,451|8|0|0|0
9|12|6876|165,158|8|0|0|0
9|12|6876|163,848|8|0|0|0
9|12|6876|162,534|8|0|0|0
9|12|6876|161,220|8|0|0|0
9|12|6876|159,901|8|0|0|0
9|12|6876|158,587|8|0|0|0
9|12|6876|157,273|8|0|0|0
9|12|6876|155,762|8|0|0|0
9|12|6876|154,448|8|0|0|0
9|12|6876|153,126|8|0|0|0
9|12|6876|151,806|8|0|0|0
9|12|6876|150,491|8|0|0|0
9|12|6876|149,180|8|0|0|0
9|12|6876|147,867|8|0|0|0
9|12|6876|146,545|8|0|0|0
9|12|6876|145,232|8|0|0|0
9|12|6876|143,907|8|0|0|0
9|12|6876|142,562|8|0|0|0
9|12|6876|141,246|8|0|0|0
9|12|6876|139,931|8|0|0|0
9|12|6876|138,610|8|0|0|0
9|12|6876|137,290|8|0|0|0
9|12|6876|135,974|8|0|0|0
9|12|6876|134,659|8|0|0|0
9|12|6876|133,345|8|0|0|0
9|12|6876|132,030|8|0|0|0
9|12|6876|130,739|8|0|0|0
9|12|6876|129,442|8|0|0|0
9|12|6876|128,173|8|0|0|0
9|12|6876|126,877|8|0|0|0
9|12|6876|125,567|8|0|0|0
9|12|6876|124,257|8|0|0|0
-1|-1|-1|-1|-1|-1|-1|338,636
