N1|N2|QID|Time|Degree|Overtime|Heu|TotalTime
9|12|6876|255,027|8|0|0|0
9|12|6876|253,376|8|0|0|0
9|12|6876|251,986|8|0|0|0
9|12|6876|250,627|8|0|0|0
9|12|6876|249,277|8|0|0|0
9|12|6876|247,930|8|0|0|0
9|12|6876|246,597|8|0|0|0
9|12|6876|245,264|8|0|0|0
9|12|6876|243,930|8|0|0|0
9|12|6876|242,597|8|0|0|0
9|12|6876|241,272|8|0|0|0
9|12|6876|239,941|8|0|0|0
9|12|6876|238,605|8|0|0|0
9|12|6876|237,270|8|0|0|0
9|12|6876|235,938|8|0|0|0
9|12|6876|234,608|8|0|0|0
9|12|6876|233,278|8|0|0|0
9|12|6876|231,951|8|0|0|0
9|12|6876|230,812|8|0|0|0
9|12|6876|229,491|8|0|0|0
9|12|6876|228,167|8|0|0|0
9|12|6876|226,844|8|0|0|0
9|12|6876|225,521|8|0|0|0
9|12|6876|224,203|8|0|0|0
9|12|6876|222,877|8|0|0|0
9|12|6876|221,554|8|0|0|0
9|12|6876|220,226|8|0|0|0
9|12|6876|218,896|8|0|0|0
9|12|6876|217,571|8|0|0|0
9|12|6876|216,241|8|0|0|0
9|12|6876|214,914|8|0|0|0
9|12|6876|213,587|8|0|0|0
9|12|6876|212,262|8|0|0|0
9|12|6876|210,937|8|0|0|0
9|12|6876|209,607|8|0|0|0
9|12|6876|208,278|8|0|0|0
9|12|6876|206,963|8|0|0|0
9|12|6876|205,639|8|0|0|0
9|12|6876|204,314|8|0|0|0
9|12|6876|202,985|8|0|0|0
9|12|6876|201,657|8|0|0|0
9|12|6876|200,331|8|0|0|0
9|12|6876|199,008|8|0|0|0
9|12|6876|197,679|8|0|0|0
9|12|6876|196,356|8|0|0|0
9|12|6876|195,035|8|0|0|0
9|12|6876|193,708|8|0|0|0
9|12|6876|192,353|8|0|0|0
9|12|6876|191,049|8|0|0|0
9|12|6876|189,749|8|0|0|0
9|12|6876|188,424|8|0|0|0
9|12|6876|187,099|8|0|0|0
9|12|6876|185,759|8|0|0|0
9|12|6876|184,428|8|0|0|0
9|12|6876|183,100|8|0|0|0
9|12|6876|181,773|8|0|0|0
9|12|6876|180,444|8|0|0|0
9|12|6876|179,127|8|0|0|0
9|12|6876|177,805|8|0|0|0
9|12|6876|176,483|8|0|0|0
9|12|6876|175,161|8|0|0|0
9|12|6876|173,843|8|0|0|0
9|12|6876|172,523|8|0|0|0
9|12|6876|171,204|8|0|0|0
9|12|6876|169,885|8|0|0|0
9|12|6876|168,560|8|0|0|0
9|12|6876|167,231|8|0|0|0
9|12|6876|165,904|8|0|0|0
9|12|6876|164,583|8|0|0|0
9|12|6876|163,256|8|0|0|0
9|12|6876|161,931|8|0|0|0
9|12|6876|160,609|8|0|0|0
9|12|6876|159,288|8|0|0|0
9|12|6876|157,958|8|0|0|0
9|12|6876|156,632|8|0|0|0
9|12|6876|155,312|8|0|0|0
9|12|6876|153,992|8|0|0|0
9|12|6876|152,663|8|0|0|0
9|12|6876|151,369|8|0|0|0
9|12|6876|150,111|8|0|0|0
9|12|6876|148,809|8|0|0|0
9|12|6876|147,485|8|0|0|0
9|12|6876|146,161|8|0|0|0
9|12|6876|144,838|8|0|0|0
9|12|6876|143,504|8|0|0|0
9|12|6876|142,182|8|0|0|0
9|12|6876|140,852|8|0|0|0
9|12|6876|139,529|8|0|0|0
9|12|6876|138,203|8|0|0|0
9|12|6876|136,880|8|0|0|0
9|12|6876|135,563|8|0|0|0
9|12|6876|134,240|8|0|0|0
9|12|6876|132,915|8|0|0|0
9|12|6876|131,587|8|0|0|0
9|12|6876|130,261|8|0|0|0
9|12|6876|128,935|8|0|0|0
9|12|6876|127,615|8|0|0|0
9|12|6876|126,297|8|0|0|0
9|12|6876|124,976|8|0|0|0
9|12|6876|123,648|8|0|0|0
-1|-1|-1|-1|-1|-1|-1|288,745
