N1|N2|QID|Time|Degree|Overtime|Heu|TotalTime
9|12|1452|2,615,446|9|0|0|0
9|12|1452|2,981,894|9|0|0|0
9|12|1452|3,282,903|9|0|0|0
9|12|1452|3,310,997|9|0|0|0
9|12|1452|3,306,097|9|0|0|0
9|12|1452|3,296,402|9|0|0|0
9|12|1452|3,324,745|9|0|0|0
9|12|1452|3,311,544|9|0|0|0
9|12|1452|3,328,914|9|0|0|0
9|12|1452|3,337,885|9|0|0|0
9|12|1452|3,345,225|9|0|0|0
9|12|1452|3,336,845|9|0|0|0
9|12|1452|3,324,684|9|0|0|0
9|12|1452|3,324,752|9|0|0|0
9|12|1452|3,324,719|9|0|0|0
9|12|1452|3,324,631|9|0|0|0
9|12|1452|3,324,525|9|0|0|0
9|12|1452|3,324,480|9|0|0|0
9|12|1452|3,324,539|9|0|0|0
9|12|1452|3,324,637|9|0|0|0
9|12|1452|3,324,807|9|0|0|0
9|12|1452|3,324,850|9|0|0|0
9|12|1452|3,324,841|9|0|0|0
9|12|1452|3,324,837|9|0|0|0
9|12|1452|3,324,677|9|0|0|0
9|12|1452|3,324,791|9|0|0|0
9|12|1452|3,324,774|9|0|0|0
9|12|1452|3,324,719|9|0|0|0
9|12|1452|3,324,668|9|0|0|0
9|12|1452|3,324,602|9|0|0|0
9|12|1452|3,324,614|9|0|0|0
9|12|1452|3,324,647|9|0|0|0
9|12|1452|3,324,731|9|0|0|0
9|12|1452|3,324,846|9|0|0|0
9|12|1452|3,324,925|9|0|0|0
9|12|1452|3,324,959|9|0|0|0
9|12|1452|3,324,857|9|0|0|0
9|12|1452|3,324,741|9|0|0|0
9|12|1452|3,324,733|9|0|0|0
9|12|1452|3,324,794|9|0|0|0
9|12|1452|3,324,797|9|0|0|0
9|12|1452|3,324,799|9|0|0|0
9|12|1452|3,324,867|9|0|0|0
9|12|1452|3,324,833|9|0|0|0
9|12|1452|3,324,740|9|0|0|0
9|12|1452|3,328,009|9|0|0|0
9|12|1452|3,327,946|9|0|0|0
9|12|1452|3,327,896|9|0|0|0
9|12|1452|3,324,597|9|0|0|0
9|12|1452|3,324,772|9|0|0|0
9|12|1452|3,324,839|9|0|0|0
9|12|1452|3,324,886|9|0|0|0
9|12|1452|3,324,867|9|0|0|0
9|12|1452|3,324,897|9|0|0|0
9|12|1452|3,324,825|9|0|0|0
9|12|1452|3,324,698|9|0|0|0
9|12|1452|3,324,662|9|0|0|0
9|12|1452|3,324,533|9|0|0|0
9|12|1452|3,324,523|9|0|0|0
9|12|1452|3,324,623|9|0|0|0
9|12|1452|3,324,714|9|0|0|0
9|12|1452|3,328,535|9|0|0|0
9|12|1452|3,328,538|9|0|0|0
9|12|1452|3,331,707|9|0|0|0
9|12|1452|3,327,960|9|0|0|0
9|12|1452|3,331,198|9|0|0|0
9|12|1452|3,331,153|9|0|0|0
9|12|1452|3,331,088|9|0|0|0
9|12|1452|3,327,860|9|0|0|0
9|12|1452|3,324,652|9|0|0|0
9|12|1452|3,324,712|9|0|0|0
9|12|1452|3,324,790|9|0|0|0
9|12|1452|3,324,790|9|0|0|0
9|12|1452|3,324,815|9|0|0|0
9|12|1452|3,324,797|9|0|0|0
9|12|1452|3,324,718|9|0|0|0
9|12|1452|3,324,589|9|0|0|0
9|12|1452|3,324,533|9|0|0|0
9|12|1452|3,324,444|9|0|0|0
9|12|1452|3,324,434|9|0|0|0
9|12|1452|3,324,421|9|0|0|0
9|12|1452|3,324,450|9|0|0|0
9|12|1452|3,324,517|9|0|0|0
9|12|1452|3,324,595|9|0|0|0
9|12|1452|3,324,668|9|0|0|0
9|12|1452|3,324,875|9|0|0|0
9|12|1452|3,324,935|9|0|0|0
9|12|1452|3,324,972|9|0|0|0
9|12|1452|3,324,914|9|0|0|0
9|12|1452|3,324,839|9|0|0|0
9|12|1452|3,324,750|9|0|0|0
9|12|1452|3,324,721|9|0|0|0
9|12|1452|3,324,648|9|0|0|0
9|12|1452|3,324,643|9|0|0|0
9|12|1452|3,324,756|9|0|0|0
9|12|1452|3,324,835|9|0|0|0
9|12|1452|3,324,792|9|0|0|0
9|12|1452|3,324,727|9|0|0|0
9|12|1452|3,324,610|9|0|0|0
9|12|1452|3,324,601|9|0|0|0
9|12|1452|3,324,604|9|0|0|0
9|12|1452|3,324,618|9|0|0|0
9|12|1452|3,324,607|9|0|0|0
9|12|1452|3,324,596|9|0|0|0
9|12|1452|3,324,546|9|0|0|0
9|12|1452|3,324,472|9|0|0|0
9|12|1452|3,324,447|9|0|0|0
9|12|1452|3,324,405|9|0|0|0
9|12|1452|3,324,438|9|0|0|0
9|12|1452|3,324,564|9|0|0|0
9|12|1452|3,324,680|9|0|0|0
9|12|1452|3,324,875|9|0|0|0
9|12|1452|3,324,975|9|0|0|0
9|12|1452|3,325,044|9|0|0|0
9|12|1452|3,325,114|9|0|0|0
9|12|1452|3,325,134|9|0|0|0
9|12|1452|3,325,275|9|0|0|0
9|12|1452|3,325,257|9|0|0|0
9|12|1452|3,325,234|9|0|0|0
9|12|1452|3,325,121|9|0|0|0
9|12|1452|3,324,997|9|0|0|0
9|12|1452|3,325,182|9|0|0|0
9|12|1452|3,325,048|9|0|0|0
9|12|1452|3,325,089|9|0|0|0
9|12|1452|3,324,964|9|0|0|0
9|12|1452|3,324,952|9|0|0|0
9|12|1452|3,324,949|9|0|0|0
9|12|1452|3,324,980|9|0|0|0
9|12|1452|3,325,016|9|0|0|0
9|12|1452|3,325,040|9|0|0|0
