N1|N2|QID|Time|Degree|Overtime|Heu|TotalTime
9|12|1452|262,475,974|9|0|0|0
9|12|1452|262,469,774|9|0|0|0
9|12|1452|262,463,160|9|0|0|0
9|12|1452|262,456,544|9|0|0|0
9|12|1452|262,449,887|9|0|0|0
9|12|1452|262,443,270|9|0|0|0
9|12|1452|262,436,676|9|0|0|0
9|12|1452|262,430,082|9|0|0|0
9|12|1452|262,423,470|9|0|0|0
9|12|1452|262,416,842|9|0|0|0
9|12|1452|262,410,237|9|0|0|0
9|12|1452|262,403,649|9|0|0|0
9|12|1452|262,396,990|9|0|0|0
9|12|1452|262,390,395|9|0|0|0
9|12|1452|262,383,778|9|0|0|0
9|12|1452|262,377,168|9|0|0|0
9|12|1452|262,370,577|9|0|0|0
9|12|1452|262,363,909|9|0|0|0
9|12|1452|262,357,307|9|0|0|0
9|12|1452|262,350,705|9|0|0|0
9|12|1452|262,344,090|9|0|0|0
9|12|1452|262,337,500|9|0|0|0
9|12|1452|262,330,912|9|0|0|0
9|12|1452|262,324,327|9|0|0|0
9|12|1452|262,317,716|9|0|0|0
9|12|1452|262,311,134|9|0|0|0
9|12|1452|262,304,537|9|0|0|0
9|12|1452|262,297,939|9|0|0|0
9|12|1452|262,291,351|9|0|0|0
9|12|1452|262,284,755|9|0|0|0
9|12|1452|262,278,126|9|0|0|0
9|12|1452|262,271,542|9|0|0|0
9|12|1452|262,264,945|9|0|0|0
9|12|1452|262,258,383|9|0|0|0
9|12|1452|262,251,787|9|0|0|0
9|12|1452|262,245,173|9|0|0|0
9|12|1452|262,238,547|9|0|0|0
9|12|1452|262,231,917|9|0|0|0
9|12|1452|262,225,326|9|0|0|0
9|12|1452|262,218,717|9|0|0|0
9|12|1452|262,212,092|9|0|0|0
9|12|1452|262,205,497|9|0|0|0
9|12|1452|262,198,906|9|0|0|0
9|12|1452|262,192,301|9|0|0|0
9|12|1452|262,185,705|9|0|0|0
9|12|1452|262,179,118|9|0|0|0
9|12|1452|262,172,462|9|0|0|0
9|12|1452|262,165,855|9|0|0|0
9|12|1452|262,159,262|9|0|0|0
9|12|1452|262,152,654|9|0|0|0
9|12|1452|262,146,062|9|0|0|0
9|12|1452|262,139,463|9|0|0|0
9|12|1452|262,132,840|9|0|0|0
9|12|1452|262,126,246|9|0|0|0
9|12|1452|262,119,651|9|0|0|0
9|12|1452|262,113,045|9|0|0|0
9|12|1452|262,106,413|9|0|0|0
9|12|1452|262,099,816|9|0|0|0
9|12|1452|262,093,223|9|0|0|0
9|12|1452|262,086,562|9|0|0|0
9|12|1452|262,080,003|9|0|0|0
9|12|1452|262,073,409|9|0|0|0
9|12|1452|262,066,819|9|0|0|0
9|12|1452|262,060,237|9|0|0|0
9|12|1452|262,053,434|9|0|0|0
9|12|1452|262,046,811|9|0|0|0
9|12|1452|262,040,187|9|0|0|0
9|12|1452|262,033,578|9|0|0|0
9|12|1452|262,026,947|9|0|0|0
9|12|1452|262,020,359|9|0|0|0
9|12|1452|262,013,748|9|0|0|0
9|12|1452|262,007,162|9|0|0|0
9|12|1452|262,000,562|9|0|0|0
9|12|1452|261,993,926|9|0|0|0
9|12|1452|261,987,331|9|0|0|0
9|12|1452|261,980,738|9|0|0|0
9|12|1452|261,974,145|9|0|0|0
9|12|1452|261,967,553|9|0|0|0
9|12|1452|261,960,999|9|0|0|0
9|12|1452|261,954,424|9|0|0|0
9|12|1452|261,947,823|9|0|0|0
9|12|1452|261,941,182|9|0|0|0
9|12|1452|261,934,582|9|0|0|0
9|12|1452|261,927,982|9|0|0|0
9|12|1452|261,921,396|9|0|0|0
9|12|1452|261,914,778|9|0|0|0
9|12|1452|261,908,177|9|0|0|0
9|12|1452|261,901,576|9|0|0|0
9|12|1452|261,894,972|9|0|0|0
9|12|1452|261,888,421|9|0|0|0
9|12|1452|261,881,854|9|0|0|0
9|12|1452|261,875,261|9|0|0|0
9|12|1452|261,868,669|9|0|0|0
9|12|1452|261,862,041|9|0|0|0
9|12|1452|261,855,406|9|0|0|0
9|12|1452|261,848,776|9|0|0|0
9|12|1452|261,842,168|9|0|0|0
9|12|1452|261,835,563|9|0|0|0
9|12|1452|261,828,965|9|0|0|0
9|12|1452|262,542,217|9|0|0|0
-1|-1|-1|-1|-1|-1|-1|263,236,323
