N1|N2|QID|Time|Degree|Overtime|Heu|TotalTime
9|12|1452|257,808,074|9|0|0|0
9|12|1452|257,801,777|9|0|0|0
9|12|1452|257,795,115|9|0|0|0
9|12|1452|257,788,438|9|0|0|0
9|12|1452|257,781,818|9|0|0|0
9|12|1452|257,775,172|9|0|0|0
9|12|1452|257,768,538|9|0|0|0
9|12|1452|257,761,902|9|0|0|0
9|12|1452|257,755,263|9|0|0|0
9|12|1452|257,748,622|9|0|0|0
9|12|1452|257,741,990|9|0|0|0
9|12|1452|257,735,343|9|0|0|0
9|12|1452|257,728,521|9|0|0|0
9|12|1452|257,721,873|9|0|0|0
9|12|1452|257,715,233|9|0|0|0
9|12|1452|257,708,616|9|0|0|0
9|12|1452|257,701,963|9|0|0|0
9|12|1452|257,695,258|9|0|0|0
9|12|1452|257,688,629|9|0|0|0
9|12|1452|257,682,004|9|0|0|0
9|12|1452|257,675,375|9|0|0|0
9|12|1452|257,668,726|9|0|0|0
9|12|1452|257,662,086|9|0|0|0
9|12|1452|257,655,454|9|0|0|0
9|12|1452|257,648,816|9|0|0|0
9|12|1452|257,642,190|9|0|0|0
9|12|1452|257,635,501|9|0|0|0
9|12|1452|257,628,835|9|0|0|0
9|12|1452|257,622,201|9|0|0|0
9|12|1452|257,615,571|9|0|0|0
9|12|1452|257,608,909|9|0|0|0
9|12|1452|257,602,284|9|0|0|0
9|12|1452|257,595,709|9|0|0|0
9|12|1452|257,589,099|9|0|0|0
9|12|1452|257,582,443|9|0|0|0
9|12|1452|257,575,824|9|0|0|0
9|12|1452|257,569,171|9|0|0|0
9|12|1452|257,562,546|9|0|0|0
9|12|1452|257,555,919|9|0|0|0
9|12|1452|257,549,296|9|0|0|0
9|12|1452|257,542,650|9|0|0|0
9|12|1452|257,536,013|9|0|0|0
9|12|1452|257,529,345|9|0|0|0
9|12|1452|257,522,700|9|0|0|0
9|12|1452|257,516,082|9|0|0|0
9|12|1452|257,509,445|9|0|0|0
9|12|1452|257,502,780|9|0|0|0
9|12|1452|257,496,154|9|0|0|0
9|12|1452|257,489,534|9|0|0|0
9|12|1452|257,482,909|9|0|0|0
9|12|1452|257,476,215|9|0|0|0
9|12|1452|257,469,569|9|0|0|0
9|12|1452|257,462,914|9|0|0|0
9|12|1452|257,456,228|9|0|0|0
9|12|1452|257,449,595|9|0|0|0
9|12|1452|257,442,952|9|0|0|0
9|12|1452|257,436,308|9|0|0|0
9|12|1452|257,429,667|9|0|0|0
9|12|1452|257,423,033|9|0|0|0
9|12|1452|257,416,403|9|0|0|0
9|12|1452|257,409,798|9|0|0|0
9|12|1452|257,403,191|9|0|0|0
9|12|1452|257,396,522|9|0|0|0
9|12|1452|257,389,898|9|0|0|0
9|12|1452|257,383,262|9|0|0|0
9|12|1452|257,376,602|9|0|0|0
9|12|1452|257,369,972|9|0|0|0
9|12|1452|257,363,285|9|0|0|0
9|12|1452|257,356,636|9|0|0|0
9|12|1452|257,349,998|9|0|0|0
9|12|1452|257,343,345|9|0|0|0
9|12|1452|257,336,713|9|0|0|0
9|12|1452|257,330,057|9|0|0|0
9|12|1452|257,323,421|9|0|0|0
9|12|1452|257,316,792|9|0|0|0
9|12|1452|257,310,185|9|0|0|0
9|12|1452|257,303,577|9|0|0|0
9|12|1452|257,296,905|9|0|0|0
9|12|1452|257,290,258|9|0|0|0
9|12|1452|257,283,628|9|0|0|0
9|12|1452|257,276,993|9|0|0|0
9|12|1452|257,270,363|9|0|0|0
9|12|1452|257,263,735|9|0|0|0
9|12|1452|257,257,090|9|0|0|0
9|12|1452|257,250,460|9|0|0|0
9|12|1452|257,243,748|9|0|0|0
9|12|1452|257,237,127|9|0|0|0
9|12|1452|257,230,478|9|0|0|0
9|12|1452|257,223,841|9|0|0|0
9|12|1452|258,134,345|9|0|0|0
9|12|1452|258,127,723|9|0|0|0
9|12|1452|258,121,093|9|0|0|0
9|12|1452|258,114,459|9|0|0|0
9|12|1452|258,107,841|9|0|0|0
9|12|1452|258,101,175|9|0|0|0
9|12|1452|258,094,551|9|0|0|0
9|12|1452|258,087,925|9|0|0|0
9|12|1452|258,081,296|9|0|0|0
9|12|1452|258,607,394|9|0|0|0
9|12|1452|258,600,790|9|0|0|0
-1|-1|-1|-1|-1|-1|-1|259,286,925
