N1|N2|QID|Time|Degree|Overtime|Heu|TotalTime
9|12|1452|4,425,692|9|0|0|0
9|12|1452|4,418,465|9|0|0|0
9|12|1452|4,411,370|9|0|0|0
9|12|1452|4,404,305|9|0|0|0
9|12|1452|4,397,231|9|0|0|0
9|12|1452|4,390,185|9|0|0|0
9|12|1452|4,383,083|9|0|0|0
9|12|1452|4,376,009|9|0|0|0
9|12|1452|4,368,966|9|0|0|0
9|12|1452|4,361,906|9|0|0|0
9|12|1452|4,354,858|9|0|0|0
9|12|1452|4,347,817|9|0|0|0
9|12|1452|4,340,774|9|0|0|0
9|12|1452|4,333,697|9|0|0|0
9|12|1452|4,326,659|9|0|0|0
9|12|1452|4,319,591|9|0|0|0
9|12|1452|4,312,568|9|0|0|0
9|12|1452|4,305,536|9|0|0|0
9|12|1452|4,298,464|9|0|0|0
9|12|1452|4,291,450|9|0|0|0
9|12|1452|4,284,416|9|0|0|0
9|12|1452|4,277,350|9|0|0|0
9|12|1452|4,270,426|9|0|0|0
9|12|1452|4,263,381|9|0|0|0
9|12|1452|4,256,333|9|0|0|0
9|12|1452|4,249,274|9|0|0|0
9|12|1452|4,242,199|9|0|0|0
9|12|1452|4,235,105|9|0|0|0
9|12|1452|4,228,033|9|0|0|0
9|12|1452|4,220,999|9|0|0|0
9|12|1452|4,213,962|9|0|0|0
9|12|1452|4,206,929|9|0|0|0
9|12|1452|4,197,398|9|0|0|0
9|12|1452|4,189,460|9|0|0|0
9|12|1452|4,182,426|9|0|0|0
9|12|1452|4,175,340|9|0|0|0
9|12|1452|4,168,292|9|0|0|0
9|12|1452|4,161,253|9|0|0|0
9|12|1452|4,154,221|9|0|0|0
9|12|1452|4,147,191|9|0|0|0
9|12|1452|4,140,163|9|0|0|0
9|12|1452|4,133,097|9|0|0|0
9|12|1452|4,126,030|9|0|0|0
9|12|1452|4,118,992|9|0|0|0
9|12|1452|4,111,958|9|0|0|0
9|12|1452|4,104,908|9|0|0|0
9|12|1452|4,097,860|9|0|0|0
9|12|1452|4,090,833|9|0|0|0
9|12|1452|4,083,773|9|0|0|0
9|12|1452|4,076,736|9|0|0|0
9|12|1452|4,069,701|9|0|0|0
9|12|1452|4,062,672|9|0|0|0
9|12|1452|4,055,618|9|0|0|0
9|12|1452|4,048,582|9|0|0|0
9|12|1452|4,041,551|9|0|0|0
9|12|1452|4,034,501|9|0|0|0
9|12|1452|4,027,471|9|0|0|0
9|12|1452|4,020,436|9|0|0|0
9|12|1452|4,013,398|9|0|0|0
9|12|1452|4,006,357|9|0|0|0
9|12|1452|3,999,314|9|0|0|0
9|12|1452|3,992,284|9|0|0|0
9|12|1452|3,985,294|9|0|0|0
9|12|1452|3,978,279|9|0|0|0
9|12|1452|3,971,276|9|0|0|0
9|12|1452|3,964,273|9|0|0|0
9|12|1452|3,957,226|9|0|0|0
9|12|1452|3,950,191|9|0|0|0
9|12|1452|3,943,150|9|0|0|0
9|12|1452|3,936,072|9|0|0|0
9|12|1452|3,929,001|9|0|0|0
9|12|1452|3,921,973|9|0|0|0
9|12|1452|3,914,928|9|0|0|0
9|12|1452|3,907,870|9|0|0|0
9|12|1452|3,900,854|9|0|0|0
9|12|1452|3,893,795|9|0|0|0
9|12|1452|3,886,730|9|0|0|0
9|12|1452|3,879,708|9|0|0|0
9|12|1452|3,872,676|9|0|0|0
9|12|1452|3,865,646|9|0|0|0
9|12|1452|3,858,613|9|0|0|0
9|12|1452|3,851,567|9|0|0|0
9|12|1452|3,844,493|9|0|0|0
9|12|1452|3,837,451|9|0|0|0
9|12|1452|3,830,372|9|0|0|0
9|12|1452|3,823,316|9|0|0|0
9|12|1452|3,816,272|9|0|0|0
9|12|1452|3,809,249|9|0|0|0
9|12|1452|3,802,211|9|0|0|0
9|12|1452|3,795,181|9|0|0|0
9|12|1452|3,788,153|9|0|0|0
9|12|1452|3,781,169|9|0|0|0
9|12|1452|3,774,155|9|0|0|0
9|12|1452|3,767,148|9|0|0|0
9|12|1452|3,760,157|9|0|0|0
9|12|1452|3,753,117|9|0|0|0
9|12|1452|3,746,084|9|0|0|0
9|12|1452|3,739,048|9|0|0|0
9|12|1452|3,731,990|9|0|0|0
9|12|1452|3,724,948|9|0|0|0
-1|-1|-1|-1|-1|-1|-1|4,535,835
