N1|N2|QID|Time|Degree|Overtime|Heu|TotalTime
9|12|1452|4,391,287|9|0|0|0
9|12|1452|4,383,871|9|0|0|0
9|12|1452|4,376,709|9|0|0|0
9|12|1452|4,369,601|9|0|0|0
9|12|1452|4,362,491|9|0|0|0
9|12|1452|4,355,359|9|0|0|0
9|12|1452|4,348,261|9|0|0|0
9|12|1452|4,341,174|9|0|0|0
9|12|1452|4,334,036|9|0|0|0
9|12|1452|4,326,929|9|0|0|0
9|12|1452|4,319,965|9|0|0|0
9|12|1452|4,312,904|9|0|0|0
9|12|1452|4,305,826|9|0|0|0
9|12|1452|4,298,730|9|0|0|0
9|12|1452|4,291,646|9|0|0|0
9|12|1452|4,284,540|9|0|0|0
9|12|1452|4,277,448|9|0|0|0
9|12|1452|4,270,354|9|0|0|0
9|12|1452|4,263,262|9|0|0|0
9|12|1452|4,256,148|9|0|0|0
9|12|1452|4,249,046|9|0|0|0
9|12|1452|4,241,955|9|0|0|0
9|12|1452|4,234,869|9|0|0|0
9|12|1452|4,227,785|9|0|0|0
9|12|1452|4,220,706|9|0|0|0
9|12|1452|4,213,609|9|0|0|0
9|12|1452|4,206,527|9|0|0|0
9|12|1452|4,199,445|9|0|0|0
9|12|1452|4,192,356|9|0|0|0
9|12|1452|4,185,266|9|0|0|0
9|12|1452|4,178,184|9|0|0|0
9|12|1452|4,171,090|9|0|0|0
9|12|1452|4,163,983|9|0|0|0
9|12|1452|4,156,885|9|0|0|0
9|12|1452|4,149,790|9|0|0|0
9|12|1452|4,142,690|9|0|0|0
9|12|1452|4,135,778|9|0|0|0
9|12|1452|4,128,633|9|0|0|0
9|12|1452|4,121,555|9|0|0|0
9|12|1452|4,114,441|9|0|0|0
9|12|1452|4,107,356|9|0|0|0
9|12|1452|4,100,292|9|0|0|0
9|12|1452|4,093,231|9|0|0|0
9|12|1452|4,086,144|9|0|0|0
9|12|1452|4,079,059|9|0|0|0
9|12|1452|4,071,961|9|0|0|0
9|12|1452|4,064,870|9|0|0|0
9|12|1452|4,057,800|9|0|0|0
9|12|1452|4,050,700|9|0|0|0
9|12|1452|4,043,593|9|0|0|0
9|12|1452|4,036,509|9|0|0|0
9|12|1452|4,029,401|9|0|0|0
9|12|1452|4,022,331|9|0|0|0
9|12|1452|4,015,223|9|0|0|0
9|12|1452|4,008,121|9|0|0|0
9|12|1452|4,001,034|9|0|0|0
9|12|1452|3,993,945|9|0|0|0
9|12|1452|3,986,853|9|0|0|0
9|12|1452|3,979,748|9|0|0|0
9|12|1452|3,972,654|9|0|0|0
9|12|1452|3,965,554|9|0|0|0
9|12|1452|3,958,456|9|0|0|0
9|12|1452|3,951,349|9|0|0|0
9|12|1452|3,944,269|9|0|0|0
9|12|1452|3,937,200|9|0|0|0
9|12|1452|3,930,116|9|0|0|0
9|12|1452|3,923,019|9|0|0|0
9|12|1452|3,915,919|9|0|0|0
9|12|1452|3,908,816|9|0|0|0
9|12|1452|3,901,737|9|0|0|0
9|12|1452|3,894,638|9|0|0|0
9|12|1452|3,887,556|9|0|0|0
9|12|1452|3,880,482|9|0|0|0
9|12|1452|3,873,392|9|0|0|0
9|12|1452|3,866,315|9|0|0|0
9|12|1452|3,859,213|9|0|0|0
9|12|1452|3,852,107|9|0|0|0
9|12|1452|3,845,013|9|0|0|0
9|12|1452|3,837,899|9|0|0|0
9|12|1452|3,830,819|9|0|0|0
9|12|1452|3,823,708|9|0|0|0
9|12|1452|3,816,622|9|0|0|0
9|12|1452|3,809,530|9|0|0|0
9|12|1452|3,802,443|9|0|0|0
9|12|1452|3,795,356|9|0|0|0
9|12|1452|3,788,284|9|0|0|0
9|12|1452|3,781,207|9|0|0|0
9|12|1452|3,774,110|9|0|0|0
9|12|1452|3,767,012|9|0|0|0
9|12|1452|3,759,931|9|0|0|0
9|12|1452|3,752,812|9|0|0|0
9|12|1452|3,745,734|9|0|0|0
9|12|1452|3,738,675|9|0|0|0
9|12|1452|3,731,606|9|0|0|0
9|12|1452|3,724,513|9|0|0|0
9|12|1452|3,717,431|9|0|0|0
9|12|1452|3,710,328|9|0|0|0
9|12|1452|3,703,219|9|0|0|0
9|12|1452|3,696,138|9|0|0|0
9|12|1452|3,689,042|9|0|0|0
-1|-1|-1|-1|-1|-1|-1|4,453,767
