N1,N2,QID,Time,Degree,Overtime,Heu,Graph
3,6,3,82,4,0,1,graph7
6,9,3,206,0,0,0,graph7
9,12,3,164,0,0,0,graph7
12,15,2,163,0,0,0,graph7
15,18,4,163,0,0,0,graph7
18,21,4,173,0,0,0,graph7
21,24,4,161,0,0,0,graph7
3,6,30,85,4,0,1,graph8.txt
6,9,5,94,2,0,1,graph8.txt
9,12,34,105,3,0,1,graph8.txt
12,15,27,110,4,0,1,graph8.txt
15,18,43,116,3,0,1,graph8.txt
18,21,43,123,3,0,1,graph8.txt
21,24,22,"5,582",3,0,0,graph8.txt
3,6,56,200,5,0,1,fat200
6,9,44,246,8,0,1,fat200
9,12,32,341,9,0,0,fat200
12,15,144,961,9,0,0,fat200
15,18,54,"1,038",9,0,0,fat200
18,21,164,"109,937",9,0,0,fat200
21,24,24,"309,079",9,0,0,fat200
3,6,206,585,5,0,1,GSE1730_q
6,9,933,602,1,0,1,GSE1730_q
9,12,689,"1,633",2,0,0,GSE1730_q
12,15,674,"36,267",7,0,0,GSE1730_q
15,18,29,790,4,0,1,GSE1730_q
18,21,892,730,1,0,1,GSE1730_q
21,24,520,"2,217",4,0,0,GSE1730_q
3,6,192,723,5,0,1,GSE10158_q
6,9,467,546,1,0,1,GSE10158_q
9,12,749,"2,526,521",5,0,0,GSE10158_q
12,15,1396,532,0,0,0,GSE10158_q
15,18,820,719,1,0,1,GSE10158_q
18,21,15,"1,182",20,0,1,GSE10158_q
21,24,446,"1,800,089,180",6,1,0,GSE10158_q
3,6,2485,"8,867",2,0,0,orani
6,9,1490,"1,800,092,403",3,1,0,orani
9,12,1452,"17,736",9,0,0,orani
12,15,2093,"71,150",3,0,0,orani
15,18,219,"11,806",17,0,1,orani
18,21,1760,"1,800,120,301",8,1,0,orani
21,24,1266,"75,149",3,0,0,orani
3,6,1822,"5,118",5,0,1,ego-facebook
6,9,1518,"21,019",6,0,0,ego-facebook
9,12,2457,"6,652",1,0,1,ego-facebook
12,15,1277,"7,169",14,0,1,ego-facebook
15,18,3247,"6,540",17,0,1,ego-facebook
18,21,2137,"8,346",20,0,1,ego-facebook
21,24,3568,"6,169,939",12,0,0,ego-facebook
3,6,2490,"1,380",5,0,1,grqc_q
6,9,5181,"1,338",1,0,1,grqc_q
9,12,2015,"1,387",1,0,1,grqc_q
12,15,3934,"1,413",6,0,1,grqc_q
15,18,3179,"1,232",0,0,0,grqc_q
18,21,3756,"1,309",2,0,1,grqc_q
21,24,1824,"1,800,086,652",4,1,0,grqc_q
3,6,6640,"11,005",5,0,1,uc64
6,9,2729,"11,939",8,0,1,uc64
9,12,3927,"7,201,837",4,0,0,uc64
12,15,2589,"1,800,087,397",3,1,0,uc64
15,18,4393,"1,607,769",13,0,0,uc64
18,21,4465,"1,800,119,691",6,1,0,uc64
21,24,441,"1,800,117,832",7,1,0,uc64
3,6,1609,"6,824",5,0,1,government
6,9,4018,"8,100",8,0,1,government
9,12,909,"12,650",3,0,0,government
12,15,6398,"344,413",10,0,0,government
15,18,5073,"1,800,094,917",7,1,0,government
18,21,3713,"1,800,088,309",6,1,0,government
21,24,5989,"745,887,473",18,0,0,government
3,6,3989,"7,689",2,0,1,wiki-elec
6,9,4824,"8,753",1,0,1,wiki-elec
9,12,1858,"9,160",1,0,1,wiki-elec
12,15,5104,"6,105",0,0,0,wiki-elec
15,18,458,"1,800,093,424",8,1,0,wiki-elec
18,21,596,"26,320",2,0,0,wiki-elec
21,24,6332,"1,800,102,821",12,1,0,wiki-elec
3,6,6030,"2,413",2,0,1,lastfm
6,9,578,"2,656",1,0,1,lastfm
9,12,4744,"286,614",3,0,0,lastfm
12,15,633,"33,239,832",5,0,0,lastfm
15,18,5360,"1,705,362,722",4,0,0,lastfm
18,21,6290,"2,900",5,0,1,lastfm
21,24,4037,"2,742",1,0,1,lastfm
3,6,4245,"7,540",5,0,1,hepPh
6,9,3583,"8,843",3,0,1,hepPh
9,12,10712,"134,044",3,0,0,hepPh
12,15,8470,"51,482",5,0,0,hepPh
15,18,1962,"8,319",2,0,1,hepPh
18,21,157,"1,800,080,621",4,1,0,hepPh
21,24,4672,"171,409",3,0,0,hepPh
3,6,1443,"15,083",3,0,1,astroPh
6,9,3433,"16,459",3,0,1,astroPh
9,12,5553,"16,332",11,0,1,astroPh
12,15,7938,"18,563",9,0,0,astroPh
15,18,8457,"1,800,080,239",7,1,0,astroPh
18,21,11592,"16,328",20,0,1,astroPh
21,24,54,"15,552",1,0,1,astroPh
3,6,1500,"8,231",1,0,1,condmat
6,9,4321,"8,667",2,0,1,condmat
9,12,21129,"8,424",11,0,1,condmat
12,15,14499,"8,718",2,0,1,condmat
15,18,17406,"8,679",1,0,1,condmat
18,21,10487,"8,879",2,0,1,condmat
21,24,9593,"8,272",3,0,1,condmat
3,6,24498,"16,207",4,0,1,Enron_q
6,9,31960,"17,997",1,0,1,Enron_q
9,12,1512,"20,628",1,0,1,Enron_q
12,15,32767,"19,109",1,0,1,Enron_q
15,18,6161,"1,800,100,881",6,1,0,Enron_q
18,21,9647,"58,341,539",6,0,0,Enron_q
21,24,16327,"91,521",2,0,0,Enron_q
3,6,48244,"91,865",5,0,1,fb-pages
6,9,46288,"131,777",3,0,0,fb-pages
9,12,19721,"117,799",5,0,0,fb-pages
12,15,42609,"96,110",1,0,1,fb-pages
15,18,12870,"1,800,135,149",5,1,0,fb-pages
18,21,1713,"1,800,134,382",3,1,0,fb-pages
21,24,6012,"1,800,094,047",10,1,0,fb-pages
3,6,52326,"21,076",1,0,1,brightkite
6,9,48320,"21,182",1,0,1,brightkite
9,12,39145,"51,343",2,0,0,brightkite
12,15,21422,"1,800,077,744",4,1,0,brightkite
15,18,41703,"48,803",2,0,0,brightkite
18,21,32822,"1,800,082,578",10,1,0,brightkite
21,24,4534,"1,800,112,720",7,1,0,brightkite
3,6,103280,"1,273,818",2,0,0,livemocha
6,9,1225,"555,152",6,0,0,livemocha
9,12,9139,"415,692",2,0,0,livemocha
12,15,84042,"1,800,160,021",3,1,0,livemocha
15,18,102388,"1,800,230,896",7,1,0,livemocha
