,graph,N1,N2,QID,Query Limit,Total Queries,Degree,Overtime,Min Time,Max Time,Time
0,amazon_q,9,12,321,1,100,6,0,89573,94699,"9,113,635"
1,amazon_q,9,12,321,10,100,6,0,90255,407634,"4,172,601"
2,amazon_q,9,12,321,100,100,6,0,95021,3539574,"3,579,726"
3,amazon_q,9,12,321,20,100,6,0,90783,757801,"3,814,124"
4,amazon_q,9,12,321,30,100,6,0,90152,1105507,"3,765,885"
5,amazon_q,9,12,321,40,100,6,0,90823,1454439,"3,694,506"
6,amazon_q,9,12,321,50,100,6,0,92469,1804490,"3,667,064"
7,amazon_q,9,12,321,60,100,6,0,91754,2146205,"3,614,067"
8,amazon_q,9,12,321,70,100,6,0,91674,2506246,"3,682,433"
9,amazon_q,9,12,321,80,100,6,0,90731,2851445,"3,632,418"
10,amazon_q,9,12,321,90,100,6,0,90083,3194742,"3,672,405"
11,com-dblp,9,12,79920,1,100,11,0,446,1277,"128,539"
12,com-dblp,9,12,79920,10,100,11,0,446,1269,"63,054"
13,com-dblp,9,12,79920,100,100,11,0,446,1280,"106,973"
14,com-dblp,9,12,79920,20,100,11,0,446,1271,"73,160"
15,com-dblp,9,12,79920,30,100,11,0,446,1268,"90,050"
16,com-dblp,9,12,79920,40,100,11,0,446,1267,"106,437"
17,com-dblp,9,12,79920,50,100,11,0,448,1274,"128,291"
18,com-dblp,9,12,79920,60,100,11,0,446,1270,"73,135"
19,com-dblp,9,12,79920,70,100,11,0,446,1287,"62,758"
20,com-dblp,9,12,79920,80,100,11,0,447,1290,"95,529"
21,com-dblp,9,12,79920,90,100,11,0,446,1262,"95,245"
22,ego-facebook,9,12,1127,1,100,9,0,2858641,2859260,"285,959,412"
23,ego-facebook,9,12,1127,10,100,9,0,3408088,3425132,"34,302,683"
24,ego-facebook,9,12,1127,100,100,9,0,3839504,4016790,"4,090,757"
25,ego-facebook,9,12,1127,20,100,9,0,3673634,3709219,"18,562,243"
26,ego-facebook,9,12,1127,30,100,9,0,3380957,3839556,"14,941,870"
27,ego-facebook,9,12,1127,40,100,9,0,3678838,3881004,"11,485,793"
28,ego-facebook,9,12,1127,50,100,9,0,3859572,3948006,"7,926,044"
29,ego-facebook,9,12,1127,60,100,9,0,3810156,3960652,"7,901,398"
30,ego-facebook,9,12,1127,70,100,9,0,3786907,3975263,"7,833,731"
31,ego-facebook,9,12,1127,80,100,9,0,3688700,4053348,"7,829,812"
32,ego-facebook,9,12,1127,90,100,9,0,3405589,4006428,"7,449,067"
33,government,9,12,6876,1,100,8,0,120695,121205,"12,169,890"
34,government,9,12,6876,10,100,8,0,122389,137482,"1,375,753"
35,government,9,12,6876,100,100,8,0,142757,348742,"374,644"
36,government,9,12,6876,20,100,8,0,124191,152695,"802,401"
37,government,9,12,6876,30,100,8,0,123635,168223,"707,839"
38,government,9,12,6876,40,100,8,0,124066,179158,"547,663"
39,government,9,12,6876,50,100,8,0,127635,193454,"489,677"
40,government,9,12,6876,60,100,8,0,129007,210836,"431,487"
41,government,9,12,6876,70,100,8,0,128005,235012,"425,057"
42,government,9,12,6876,80,100,8,0,126016,252163,"508,235"
43,government,9,12,6876,90,100,8,0,131896,327598,"522,748"
44,orani,9,12,1452,1,100,9,0,2264570,2266192,"226,580,952"
45,orani,9,12,1452,10,100,9,0,2575940,2652356,"26,489,165"
46,orani,9,12,1452,100,100,9,0,3160210,3858538,"3,941,155"
47,orani,9,12,1452,20,100,9,0,2785231,2921160,"14,702,861"
48,orani,9,12,1452,30,100,9,0,2555287,3222300,"12,320,349"
49,orani,9,12,1452,40,100,9,0,2784863,3410319,"9,791,647"
50,orani,9,12,1452,50,100,9,0,3160601,3506870,"7,053,705"
51,orani,9,12,1452,60,100,9,0,3149094,3585717,"7,157,004"
52,orani,9,12,1452,70,100,9,0,3034848,3670239,"6,955,935"
53,orani,9,12,1452,80,100,9,0,2772884,3744991,"6,729,143"
54,orani,9,12,1452,90,100,9,0,2576374,3807505,"6,524,098"
