,graph,N1,N2,QID,Query Limit,Total Queries,Degree,Overtime,Min Time,Max Time,Time
0,amazon_q,3,12,238357,100,100,1,0,154,842,"65,186"
1,amazon_q,3,15,238357,100,100,1,0,165,858,"187,323"
2,amazon_q,3,18,238357,100,100,1,0,185,895,"57,207"
3,amazon_q,3,21,238357,100,100,1,0,201,963,"59,206"
4,amazon_q,3,6,238357,100,100,1,0,133,803,"40,921"
5,amazon_q,3,9,238357,100,100,1,0,143,816,"129,354"
6,com-dblp,3,12,5367,100,100,11,0,1965,2896,"250,865"
7,com-dblp,3,15,5367,100,100,14,0,2051,3103,"326,860"
8,com-dblp,3,18,5367,100,100,17,0,2116,3039,"243,488"
9,com-dblp,3,21,5367,100,100,20,0,2169,3143,"248,966"
10,com-dblp,3,6,5367,100,100,5,0,1647,2534,"196,257"
11,com-dblp,3,9,5367,100,100,8,0,1809,2715,"223,144"
12,ego-facebook,3,12,1473,100,100,11,0,1342,1514,"314,159"
13,ego-facebook,3,15,1473,100,100,13,0,714074,937723,"1,021,124"
14,ego-facebook,3,18,1473,100,100,13,0,11243176,12612375,"12,706,642"
15,ego-facebook,3,21,1473,100,100,13,0,116684653,117032469,"117,164,701"
16,ego-facebook,3,6,1473,100,100,5,0,1106,1268,"171,851"
17,ego-facebook,3,9,1473,100,100,8,0,1253,1412,"199,388"
18,government,3,12,5387,100,100,11,0,1224037,1506866,"1,602,341"
19,government,3,15,5387,100,100,12,0,9840651,10133017,"10,206,407"
20,government,3,18,5387,100,100,13,0,7141566,7450248,"7,512,494"
21,government,3,21,5387,100,100,13,0,126846371,127215731,"127,265,625"
22,government,3,6,5387,100,100,5,1,-1,1015,"139,006"
23,government,3,9,5387,100,100,8,0,1352,1515,"187,058"
24,orani,3,12,1266,100,100,3,0,8632392,9312056,"9,449,263"
25,orani,3,15,1266,100,100,3,0,33030827,33837494,"33,880,245"
26,orani,3,18,1266,100,100,3,0,31446973,32435108,"32,463,804"
27,orani,3,21,1266,100,100,3,0,31279500,32430638,"32,460,247"
28,orani,3,6,1266,100,100,2,0,773377,1131769,"1,171,572"
29,orani,3,9,1266,100,100,3,0,4376334,4894526,"4,951,956"
