,graph,N1,N2,QID,Query Limit,Total Queries,Degree,Overtime,Min Time,Max Time,Time
0,amazon_q,12,21,238357,100,100,1,0,199,956,"58,813"
1,amazon_q,15,21,238357,100,100,1,0,198,947,"59,305"
2,amazon_q,18,21,238357,100,100,1,0,197,964,"45,854"
3,amazon_q,3,21,238357,100,100,1,0,200,954,"47,650"
4,amazon_q,6,21,238357,100,100,1,0,200,951,"81,943"
5,amazon_q,9,21,238357,100,100,1,0,200,971,"70,095"
6,com-dblp,12,21,5367,100,100,20,0,2141,3109,"246,314"
7,com-dblp,15,21,5367,100,100,20,0,2130,3049,"278,238"
8,com-dblp,18,21,5367,100,100,20,0,2123,3134,"370,222"
9,com-dblp,3,21,5367,100,100,20,0,2166,3113,"270,312"
10,com-dblp,6,21,5367,100,100,20,0,2162,3119,"263,682"
11,com-dblp,9,21,5367,100,100,20,0,2152,3133,"259,043"
12,ego-facebook,12,21,1473,100,100,13,0,116895801,117241810,"117,336,529"
13,ego-facebook,15,21,1473,100,100,13,0,116762228,117106770,"117,200,545"
14,ego-facebook,18,21,1473,100,100,13,0,502509712,502741562,"502,928,582"
15,ego-facebook,3,21,1473,100,100,13,0,116889630,117237463,"117,321,641"
16,ego-facebook,6,21,1473,100,100,13,0,116900392,117247497,"117,364,747"
17,ego-facebook,9,21,1473,100,100,13,0,116865472,117211965,"117,295,620"
18,government,12,21,5387,100,100,13,0,126717206,127084368,"127,178,792"
19,government,15,21,5387,100,100,13,0,126572242,126938091,"127,010,657"
20,government,18,21,5387,100,100,13,0,126745022,127110790,"127,138,888"
21,government,3,21,5387,100,100,13,0,126867656,127237060,"127,286,889"
22,government,6,21,5387,100,100,13,0,126647437,127016376,"127,110,148"
23,government,9,21,5387,100,100,13,0,126769491,127137852,"127,231,703"
24,orani,12,21,1266,100,100,3,0,31280326,32429294,"32,470,960"
25,orani,15,21,1266,100,100,3,0,38939758,40090072,"40,185,758"
26,orani,18,21,1266,100,100,3,0,119562383,120710915,"120,741,415"
27,orani,3,21,1266,100,100,3,0,31288222,32430324,"32,480,995"
28,orani,6,21,1266,100,100,3,0,31298971,32450551,"32,514,657"
29,orani,9,21,1266,100,100,3,0,31273207,32426703,"32,456,378"
