,graph,N1,N2,QID,Query Limit,Total Queries,World Size,Degree,Overtime,Time
0,ego-facebook,18,21,0,100,1000,1,18,0,209436942
1,ego-facebook,18,21,0,100,1000,2,18,0,146650626
2,ego-facebook,18,21,0,100,1000,3,18,0,108266628
3,ego-facebook,18,21,0,100,1000,4,18,0,87083864
4,government,18,21,1876,100,1000,1,17,0,62785474
5,government,18,21,1876,100,1000,2,17,0,43782892
6,government,18,21,1876,100,1000,3,17,0,33698054
7,government,18,21,1876,100,1000,4,17,0,27186088
8,amazon_q,9,12,321,100,1000,1,6,0,40853741
9,amazon_q,9,12,321,100,1000,2,6,0,34469334
10,amazon_q,9,12,321,100,1000,3,6,0,19688903
11,amazon_q,9,12,321,100,1000,4,6,0,16130726
